Mbappé,ATT,75,9.130512,France,ok,19440000.0,110000.0,"[16, 9, None, None, None]",0.7,0,7.83,352
Messi,ATT,51,9.41003,Argentina,ok,18460000.0,90000.0,"[9, 5, None, None, None]",0.7,0.1,8.15,257
Lewandowski,ATT,51,7.816464,Poland,ok,11490000.0,-40000.0,"[9, -2, None, None, None]",0.7,0.1,7.44,-257
Harry Kane,ATT,50,8.416836,England,ok,13930000.0,100000.0,"[2, 6, None, None, None]",0.7,0,7.39,202
Neymar,ATT,50,9.464652000000001,Brazil,injured,13950000.0,-310000.0,"['injured', 6, None, None, None]",0.7,0.1,7.69,574
Vinícius Jr,ATT,50,7.993116,Brazil,ok,15570000.0,100000.0,"[2, 10, None, None, None]",0,0,7.17,574
Memphis Depay,ATT,46,8.562683999999999,Netherlands,ok,7540000.0,-130000.0,"[2, 2, None, None, None]",0.7,0.1,7.06,447
Frenkie De Jong,MID,44,7.680269999999999,Netherlands,ok,10710000.0,160000.0,"[6, 6, None, None, None]",0,0,7.05,447
Lautaro Martínez,ATT,40,7.528024000000001,Argentina,ok,10560000.0,0.0,"[2, 2, None, None, None]",0,0,7.16,257
Lukaku,ATT,40,7.584548,Belgium,ok,5510000.0,-60000.0,"[2, 'injured', None, None, None]",0.7,0,6.88,3
Kimmich,MID,38,8.136006,Germany,ok,10020000.0,-30000.0,"[2, 2, None, None, None]",0,0.1,7.77,169
De Bruyne,MID,38,7.914745999999999,Belgium,ok,12870000.0,-160000.0,"[-2, 6, None, None, None]",0,0.1,7.81,3
Sané,ATT,38,7.3709940000000005,Germany,ok,7360000.0,80000.0,"[6, 'doubt', None, None, None]",0,0,7.13,169
Bruno Fernandes,MID,37,7.866884,Portugal,ok,10740000.0,360000.0,"[17, 10, None, None, None]",0,0.1,7.33,294
Phil Foden,MID,37,7.563707999999999,England,ok,8810000.0,-200000.0,"[None, 2, None, None, None]",0,0,7.27,202
Bernardo Silva,MID,36,7.591596,Portugal,ok,10110000.0,70000.0,"[2, 2, None, None, None]",0,0.1,7.07,294
Dusan Vlahovic,ATT,36,7.004931999999999,Serbia,ok,6320000.0,-280000.0,"[None, -2, None, None, None]",0,0,7.06,-39
Son,ATT,36,7.266064,South Korea,ok,6430000.0,-170000.0,"[2, 2, None, None, None]",0.7,0.1,6.92,-294
Gabriel Jesus,ATT,35,7.926228,Brazil,ok,8170000.0,-140000.0,"[2, 0, None, None, None]",0,0,7.11,574
Rodri,MID,35,8.580319999999999,Spain,ok,7130000.0,110000.0,"[-2, 6, None, None, None]",0.7,0.1,7.35,264
Dani Olmo,ATT,34,7.348544,Spain,ok,6580000.0,320000.0,"[10, 13, None, None, None]",0,0,6.98,264
Sterling,ATT,34,7.189164,England,ok,9150000.0,120000.0,"[-2, 9, None, None, None]",0,0,6.91,202
Antony,ATT,33,8.271816,Brazil,ok,5730000.0,-60000.0,"[6, 0, None, None, None]",0,0,7.42,574
Cody Gakpo,ATT,33,8.344804,Netherlands,ok,6610000.0,240000.0,"[9, 9, None, None, None]",0,0,7.66,447
Jonathan David,ATT,33,6.804113999999999,Canada,ok,3670000.0,-170000.0,"[2, 2, None, None, None]",0,0,6.97,-119
Coman,MID,33,7.631952,France,ok,5540000.0,10000.0,"[2, 2, None, None, None]",0,0,7.13,352
Mason Mount,MID,33,7.563707999999999,England,ok,7320000.0,70000.0,"[-2, 2, None, None, None]",0,0,7.27,202
Jude Bellingham,MID,32,7.532496,England,ok,10090000.0,130000.0,"[2, 10, None, None, None]",0,0,7.24,202
Serge Gnabry,ATT,32,7.505388,Germany,ok,7130000.0,-40000.0,"[2, 2, None, None, None]",0,0,7.26,169
Milinković-Savić,MID,32,6.796569999999999,Serbia,ok,5570000.0,-20000.0,"[10, -2, None, None, None]",0,0.1,6.75,-39
Müller,ATT,32,7.412346,Germany,ok,7430000.0,50000.0,"[2, 6, None, None, None]",0,0,7.17,169
Aleksandar Mitrović,ATT,31,7.332357999999999,Serbia,ok,4450000.0,0.0,"[9, -2, None, None, None]",0,0,7.39,-39
Alexander-Arnold,DEF,31,7.865424,England,ok,4820000.0,-180000.0,"[None, None, None, None, None]",0,0.1,7.46,202
Morata,ATT,31,8.117087999999999,Spain,ok,9660000.0,160000.0,"[9, 9, None, None, None]",0.7,0,7.01,264
Griezmann,ATT,31,7.867439999999999,France,ok,11180000.0,360000.0,"[6, 6, None, None, None]",0,0.1,7.25,352
Cristiano Ronaldo,ATT,31,8.343344,Portugal,ok,12500000.0,230000.0,"[2, 9, None, None, None]",0.7,0.1,7.08,294
Darwin Núñez,ATT,31,7.622876000000001,Uruguay,ok,7970000.0,-120000.0,"[-2, 2, None, None, None]",0,0,7.22,279
Ferran Torres,ATT,31,7.664384,Spain,ok,7750000.0,210000.0,"[6, 16, None, None, None]",0.4,0,6.88,264
Jack Grealish,ATT,31,7.345224,England,ok,6190000.0,50000.0,"[0, 9, None, None, None]",0,0,7.06,202
James Maddison,MID,31,7.761384,England,doubt,3160000.0,-70000.0,"['doubt', 'doubt', None, None, None]",0,0,7.46,202
João Cancelo,DEF,31,7.6127720000000005,Portugal,ok,6740000.0,20000.0,"[2, -2, None, None, None]",0,0,7.19,294
João Félix,ATT,31,7.506892,Portugal,ok,7620000.0,180000.0,"[2, 13, None, None, None]",0,0,7.09,294
Mehdi Taremi,ATT,31,8.19836,Iran,ok,3950000.0,70000.0,"[6, 16, None, None, None]",0.7,0,7.5,-1
Dembélé,ATT,31,7.942368,France,ok,9450000.0,180000.0,"[6, 2, None, None, None]",0,0,7.42,352
Pedri,MID,31,7.622272,Spain,ok,11880000.0,160000.0,"[2, 10, None, None, None]",0,0,7.24,264
Rafael Leão,ATT,31,7.559831999999999,Portugal,ok,7320000.0,40000.0,"[-2, 9, None, None, None]",0,0,7.14,294
Raphinha,ATT,31,7.97082,Brazil,ok,7850000.0,140000.0,"[2, 2, None, None, None]",0,0.1,7.05,574
