Vinícius Júnior,"{'rating': 7.11, 'team': 'Real Madrid'}"
Rodrygo,"{'rating': 7.09, 'team': 'Real Madrid'}"
Joselu,"{'rating': 7.05, 'team': 'Real Madrid'}"
Luka Modrić,"{'rating': 7.04, 'team': 'Real Madrid'}"
Jude Bellingham,"{'rating': 7.45, 'team': 'Real Madrid'}"
Toni Kroos,"{'rating': 7.41, 'team': 'Real Madrid'}"
Federico Valverde,"{'rating': 7.3, 'team': 'Real Madrid'}"
Eduardo Camavinga,"{'rating': 6.95, 'team': 'Real Madrid'}"
Arda Güler,"{'rating': 7.39, 'team': 'Real Madrid'}"
Aurélien Tchouaméni,"{'rating': 7.04, 'team': 'Real Madrid'}"
Brahim Díaz,"{'rating': 6.83, 'team': 'Real Madrid'}"
Dani Ceballos,"{'rating': 6.98, 'team': 'Real Madrid'}"
Éder Militão,"{'rating': 7.14, 'team': 'Real Madrid'}"
David Alaba,"{'rating': 6.92, 'team': 'Real Madrid'}"
Antonio Rüdiger,"{'rating': 6.87, 'team': 'Real Madrid'}"
Daniel Carvajal,"{'rating': 6.79, 'team': 'Real Madrid'}"
Ferland Mendy,"{'rating': 6.65, 'team': 'Real Madrid'}"
Lucas Vázquez,"{'rating': 6.96, 'team': 'Real Madrid'}"
Nacho Fernández,"{'rating': 6.85, 'team': 'Real Madrid'}"
Fran García,"{'rating': 6.8, 'team': 'Real Madrid'}"
Thibaut Courtois,"{'rating': 7.12, 'team': 'Real Madrid'}"
Kepa Arrizabalaga,"{'rating': 7.06, 'team': 'Real Madrid'}"
Andriy Lunin,"{'rating': 7.0, 'team': 'Real Madrid'}"
Sávio,"{'rating': 7.19, 'team': 'Girona'}"
Artem Dovbyk,"{'rating': 6.95, 'team': 'Girona'}"
Cristhian Stuani,"{'rating': 6.77, 'team': 'Girona'}"
Pablo Torre,"{'rating': 6.82, 'team': 'Girona'}"
Viktor Tsygankov,"{'rating': 7.05, 'team': 'Girona'}"
Yangel Herrera,"{'rating': 6.79, 'team': 'Girona'}"
Aleix García,"{'rating': 7.31, 'team': 'Girona'}"
Yan Couto,"{'rating': 6.72, 'team': 'Girona'}"
Portu,"{'rating': 6.67, 'team': 'Girona'}"
Jhon Solís,"{'rating': 6.77, 'team': 'Girona'}"
Iván Martín,"{'rating': 6.65, 'team': 'Girona'}"
Toni Villa,"{'rating': 6.47, 'team': 'Girona'}"
Borja García,"{'rating': 6.75, 'team': 'Girona'}"
Ibrahima Kébé,"{'rating': 6.0, 'team': 'Girona'}"
Silvi Clúa,"{'rating': 6.0, 'team': 'Girona'}"
Eric García,"{'rating': 6.83, 'team': 'Girona'}"
Daley Blind,"{'rating': 6.83, 'team': 'Girona'}"
Miguel Gutiérrez,"{'rating': 6.66, 'team': 'Girona'}"
Arnau Martínez,"{'rating': 6.77, 'team': 'Girona'}"
Alexander Callens,"{'rating': 6.93, 'team': 'Girona'}"
David López Girona,"{'rating': 7.18, 'team': 'Girona'}"
Bernardo Espinosa,"{'rating': 6.71, 'team': 'Girona'}"
Valery Fernández,"{'rating': 6.62, 'team': 'Girona'}"
Juanpe,"{'rating': 6.59, 'team': 'Girona'}"
Eric Monjonell,"{'rating': 6.0, 'team': 'Girona'}"
Marc Aznar,"{'rating': 6.0, 'team': 'Girona'}"
Paulo Gazzaniga,"{'rating': 6.95, 'team': 'Girona'}"
Toni Fuidias,"{'rating': 6.0, 'team': 'Girona'}"
Juan Carlos,"{'rating': 6.0, 'team': 'Girona'}"
Kim Min-sung,"{'rating': 6.0, 'team': 'Girona'}"
Jastin,"{'rating': 6.0, 'team': 'Girona'}"
Jastin García,"{'rating': 6.0, 'team': 'Girona'}"
Selvi Clua Oya,"{'rating': 6.0, 'team': 'Girona'}"
Robert Lewandowski,"{'rating': 7.17, 'team': 'Barcelona'}"
Raphinha,"{'rating': 7.16, 'team': 'Barcelona'}"
João Félix,"{'rating': 6.9, 'team': 'Barcelona'}"
Lamine Yamal,"{'rating': 6.0, 'team': 'Barcelona'}"
Ferran Torres,"{'rating': 6.86, 'team': 'Barcelona'}"
Pedri,"{'rating': 7.2, 'team': 'Barcelona'}"
Frenkie de Jong,"{'rating': 7.21, 'team': 'Barcelona'}"
Gavi,"{'rating': 6.89, 'team': 'Barcelona'}"
İlkay Gündoğan,"{'rating': 7.14, 'team': 'Barcelona'}"
Oriol Romeu,"{'rating': 6.86, 'team': 'Barcelona'}"
João Cancelo,"{'rating': 6.91, 'team': 'Barcelona'}"
Ronald Araújo,"{'rating': 7.03, 'team': 'Barcelona'}"
Jules Koundé,"{'rating': 7.02, 'team': 'Barcelona'}"
Alejandro Baldé,"{'rating': 6.77, 'team': 'Barcelona'}"
Andreas Christensen,"{'rating': 6.98, 'team': 'Barcelona'}"
Marcos Alonso,"{'rating': 6.9, 'team': 'Barcelona'}"
Sergi Roberto,"{'rating': 6.8, 'team': 'Barcelona'}"
Iñigo Martínez,"{'rating': 6.95, 'team': 'Barcelona'}"
Marc-André ter Stegen,"{'rating': 7.0, 'team': 'Barcelona'}"
Iñaki Peña,"{'rating': 6.0, 'team': 'Barcelona'}"
Antoine Griezmann,"{'rating': 7.67, 'team': 'Atl. Madrid'}"
Memphis Depay,"{'rating': 6.72, 'team': 'Atl. Madrid'}"
Álvaro Morata,"{'rating': 6.82, 'team': 'Atl. Madrid'}"
Ángel Correa,"{'rating': 6.78, 'team': 'Atl. Madrid'}"
Samuel Lino,"{'rating': 6.93, 'team': 'Atl. Madrid'}"
Rodrigo de Paul,"{'rating': 7.19, 'team': 'Atl. Madrid'}"
Yannick Carrasco,"{'rating': 6.89, 'team': 'Atl. Madrid'}"
Marcos Llorente,"{'rating': 6.98, 'team': 'Atl. Madrid'}"
Axel Witsel,"{'rating': 6.82, 'team': 'Atl. Madrid'}"
Saúl Ñíguez,"{'rating': 6.83, 'team': 'Atl. Madrid'}"
Koke,"{'rating': 6.85, 'team': 'Atl. Madrid'}"
Thomas Lemar,"{'rating': 6.8, 'team': 'Atl. Madrid'}"
Rodrigo Riquelme,"{'rating': 6.73, 'team': 'Atl. Madrid'}"
Pablo Barrios,"{'rating': 6.72, 'team': 'Atl. Madrid'}"
Vitolo,"{'rating': 6.0, 'team': 'Atl. Madrid'}"
Nahuel Molina,"{'rating': 6.9, 'team': 'Atl. Madrid'}"
César Azpilicueta,"{'rating': 6.81, 'team': 'Atl. Madrid'}"
Çağlar Söyüncü,"{'rating': 6.89, 'team': 'Atl. Madrid'}"
José María Giménez,"{'rating': 7.09, 'team': 'Atl. Madrid'}"
Reinildo Isnard Mandava,"{'rating': 6.96, 'team': 'Atl. Madrid'}"
Stefan Savić,"{'rating': 6.89, 'team': 'Atl. Madrid'}"
Mario Hermoso,"{'rating': 7.0, 'team': 'Atl. Madrid'}"
Javi Galán,"{'rating': 6.94, 'team': 'Atl. Madrid'}"
Jan Oblak,"{'rating': 6.93, 'team': 'Atl. Madrid'}"
Ivo Grbić,"{'rating': 6.94, 'team': 'Atl. Madrid'}"
Antonio Gomis Aleman,"{'rating': 6.0, 'team': 'Atl. Madrid'}"
Iñaki Williams,"{'rating': 6.87, 'team': 'Athletic Club'}"
Gorka Guruzeta,"{'rating': 6.85, 'team': 'Athletic Club'}"
Asier Villalibre,"{'rating': 6.74, 'team': 'Athletic Club'}"
Malcom Ares,"{'rating': 6.0, 'team': 'Athletic Club'}"
Nico Williams,"{'rating': 6.77, 'team': 'Athletic Club'}"
Ander Herrera,"{'rating': 6.71, 'team': 'Athletic Club'}"
Iker Muniain,"{'rating': 7.06, 'team': 'Athletic Club'}"
Oihan Sancet,"{'rating': 6.76, 'team': 'Athletic Club'}"
Álex Berenguer,"{'rating': 6.84, 'team': 'Athletic Club'}"
Raúl García,"{'rating': 6.7, 'team': 'Athletic Club'}"
Mikel Vesga,"{'rating': 6.84, 'team': 'Athletic Club'}"
Iñigo Ruiz de Galarreta,"{'rating': 6.84, 'team': 'Athletic Club'}"
Dani García,"{'rating': 6.77, 'team': 'Athletic Club'}"
Peru Nolaskoain Esnal,"{'rating': 6.91, 'team': 'Athletic Club'}"
Beñat Prados,"{'rating': 6.75, 'team': 'Athletic Club'}"
Unai Gómez,"{'rating': 6.0, 'team': 'Athletic Club'}"
Wibuala Junior Bita,"{'rating': 6.0, 'team': 'Athletic Club'}"
Yeray Álvarez,"{'rating': 6.88, 'team': 'Athletic Club'}"
Yuri Berchiche,"{'rating': 6.92, 'team': 'Athletic Club'}"
Daniel Vivian,"{'rating': 6.87, 'team': 'Athletic Club'}"
Óscar de Marcos,"{'rating': 6.73, 'team': 'Athletic Club'}"
Aitor Paredes,"{'rating': 6.8, 'team': 'Athletic Club'}"
Íñigo Lekue,"{'rating': 6.65, 'team': 'Athletic Club'}"
Imanol García de Albéniz,"{'rating': 7.04, 'team': 'Athletic Club'}"
Unai Simón,"{'rating': 6.91, 'team': 'Athletic Club'}"
Julen Agirrezabala,"{'rating': 6.88, 'team': 'Athletic Club'}"
Adu Ares,"{'rating': 6.0, 'team': 'Athletic Club'}"
Maximiliano Gómez,"{'rating': 6.86, 'team': 'Cádiz'}"
Darwin Machís,"{'rating': 6.84, 'team': 'Cádiz'}"
Álvaro Negredo,"{'rating': 6.83, 'team': 'Cádiz'}"
Roger Martí,"{'rating': 6.69, 'team': 'Cádiz'}"
Sergi Guardiola,"{'rating': 6.71, 'team': 'Cádiz'}"
Chris Ramos,"{'rating': 6.89, 'team': 'Cádiz'}"
Brian Ocampo,"{'rating': 6.7, 'team': 'Cádiz'}"
Gonzalo Escalante,"{'rating': 6.98, 'team': 'Cádiz'}"
Rubén Alcaraz,"{'rating': 6.78, 'team': 'Cádiz'}"
Robert Navarro,"{'rating': 6.88, 'team': 'Cádiz'}"
Rominigue Kouamé,"{'rating': 6.75, 'team': 'Cádiz'}"
Álex Fernández,"{'rating': 6.73, 'team': 'Cádiz'}"
Rubén Sobrino,"{'rating': 6.64, 'team': 'Cádiz'}"
Iván Alejo,"{'rating': 6.57, 'team': 'Cádiz'}"
Fede San Emeterio,"{'rating': 6.65, 'team': 'Cádiz'}"
José Mari,"{'rating': 6.63, 'team': 'Cádiz'}"
Martín Calderón,"{'rating': 6.0, 'team': 'Cádiz'}"
Víctor Chust,"{'rating': 6.0, 'team': 'Cádiz'}"
Javier Hernández,"{'rating': 6.77, 'team': 'Cádiz'}"
Fali,"{'rating': 6.77, 'team': 'Cádiz'}"
Lucas Pires,"{'rating': 6.53, 'team': 'Cádiz'}"
Luis Hernández,"{'rating': 6.91, 'team': 'Cádiz'}"
Mamadou Mbaye,"{'rating': 6.63, 'team': 'Cádiz'}"
Iza Carcelén,"{'rating': 6.89, 'team': 'Cádiz'}"
Jorge Meré,"{'rating': 6.72, 'team': 'Cádiz'}"
Joseba Zaldúa,"{'rating': 6.0, 'team': 'Cádiz'}"
Juan Cala,"{'rating': 6.0, 'team': 'Cádiz'}"
Julio,"{'rating': 6.0, 'team': 'Cádiz'}"
Jeremías Ledesma,"{'rating': 7.21, 'team': 'Cádiz'}"
David Gil,"{'rating': 6.0, 'team': 'Cádiz'}"
Abdessamad Ezzalzouli,"{'rating': 6.73, 'team': 'Betis'}"
Borja Iglesias,"{'rating': 6.73, 'team': 'Betis'}"
Willian José,"{'rating': 6.76, 'team': 'Betis'}"
Isco,"{'rating': 6.98, 'team': 'Betis'}"
Nabil Fekir,"{'rating': 7.0, 'team': 'Betis'}"
Guido Rodríguez,"{'rating': 7.01, 'team': 'Betis'}"
Luiz Henrique,"{'rating': 6.76, 'team': 'Betis'}"
William Carvalho,"{'rating': 6.88, 'team': 'Betis'}"
Andrés Guardado,"{'rating': 6.79, 'team': 'Betis'}"
Marc Roca,"{'rating': 6.78, 'team': 'Betis'}"
Ayoze Pérez,"{'rating': 6.8, 'team': 'Betis'}"
Joaquín,"{'rating': 6.76, 'team': 'Betis'}"
Rodri Sánchez,"{'rating': 6.95, 'team': 'Betis'}"
Dani Pérez,"{'rating': 6.0, 'team': 'Betis'}"
Juan Cruz Betis,"{'rating': 6.66, 'team': 'Betis'}"
Sergi Altimira,"{'rating': 6.0, 'team': 'Betis'}"
Enrique Fernández López,"{'rating': 6.0, 'team': 'Betis'}"
Héctor Bellerín,"{'rating': 6.74, 'team': 'Betis'}"
Chadi Riad,"{'rating': 6.0, 'team': 'Betis'}"
Germán Pezzella,"{'rating': 6.86, 'team': 'Betis'}"
Youssouf Sabaly,"{'rating': 6.91, 'team': 'Betis'}"
Juan Miranda,"{'rating': 6.93, 'team': 'Betis'}"
Marc Bartra,"{'rating': 6.94, 'team': 'Betis'}"
Luiz Felipe,"{'rating': 6.76, 'team': 'Betis'}"
