Memphis Depay,7.06
Luuk de Jong,6.89
Steven Bergwijn,6.97
Noa Lang,7.07
Wout Weghorst,6.85
Vincent Janssen,7.09
Frenkie de Jong,7.05
Xavi Simons,7.17
Cody Gakpo,7.66
Denzel Dumfries,6.96
Teun Koopmeiners,7.01
Steven Berghuis,7.36
Davy Klaassen,6.8
Kenneth Taylor,7.07
Marten de Roon,6.86
Virgil van Dijk,7.15
Matthijs de Ligt,6.99
Nathan Aké,6.94
Tyrell Malacia,6.92
Stefan de Vrij,6.87
Daley Blind,7.1
Jurriën Timber,6.99
Jeremie Frimpong,6.79
Remko Pasveer,6.82
Justin Bijlow,6.8
Andries Noppert,7.18
Enner Valencia,7.06
Jeremy Sarmiento,6.53
Michael Estrada,6.83
Kevin Rodriguez,6.0
Moisés Caicedo,6.95
Gonzalo Plata,6.88
José Cifuentes,7.01
Ángel Mena,6.83
Carlos Gruezo,6.59
Alan Franco,6.65
Jhegson Méndez,6.71
Romario Ibarra,6.74
Djorkaeff Reasco,6.59
Ayrton Preciado,6.0
Piero Hincapié,6.83
Pervis Estupiñán,6.75
Robert Arboleda,7.08
Jackson Porozo,6.97
Diego Palacios,7.08
Ángelo Preciado,6.74
Félix Torres,6.94
Xavier Arreaga,6.85
William Pacho,6.9
Alexander Domínguez,6.79
Hernán Galíndez,6.96
Moisés Ramírez,7.15
Ismaïla Sarr,6.86
Ahmadou Bamba Dieng,6.71
Krépin Diatta,6.81
Boulaye Dia,6.8
Famara Diédhiou,6.96
Iliman Ndiaye,7.0
Nicolas Jackson,6.72
Idrissa Gueye,6.96
Pape Matar Sarr,6.75
Nampalys Mendy,6.66
Pape Gueye,6.82
Cheikhou Kouyaté,6.82
Mamadou Loum,6.78
Ismaila Ciss,6.82
Ismail Jakobs,6.76
Moustapha Name,7.16
Kalidou Koulibaly,7.1
Abdou Diallo,7.0
Youssouf Sabaly,6.9
Pape Abou Cissé,6.99
Moussa N'Diaye,6.0
Fodé Ballo-Touré,6.8
Formose Mendy,7.29
Edouard Mendy,6.8
Alfred Gomis,6.47
Seny Dieng,6.88
Akram Afif,6.0
Almoez Ali,6.0
Mohammed Muntari,6.0
Ahmed Alaaeldin,6.0
Ismael Mohammed,6.0
Khalid Muneer,6.0
Hassan Al Haydos,6.0
Karim Boudiaf,6.0
Abdelaziz Hatem,6.0
Assim Madibo,6.0
Ali Assadalla,6.0
Mohammed Al Bayati,6.0
Mostafa Mashaal,6.0
Naif Al Hadhrami,6.0
Abdelkarim Hassan,6.0
Pedro Miguel,6.0
Boualem Khoukhi,6.0
Bassam Al-Rawi,6.0
Homam Ahmed,6.0
Tarek Salman,6.0
Salem Al Hajri,6.0
Jassem Gaber Abdulsallam,6.0
Musab Kheder,6.0
Saad Al Sheeb,6.0
Meshaal Aissa Barsham,6.0
Yousef Hassan,6.0
Harry Kane,7.39
Mason Mount,7.28
Raheem Sterling,6.91
Phil Foden,7.27
Jack Grealish,7.06
Callum Wilson,6.92
Marcus Rashford,6.73
Bukayo Saka,7.11
Jude Bellingham,7.24
James Maddison,7.46
Jordan Henderson,6.99
Conor Gallagher,6.88
Declan Rice,7.18
Kalvin Phillips,6.76
Trent Alexander-Arnold,7.46
Harry Maguire,6.99
Luke Shaw,6.95
Kyle Walker,6.8
Kieran Trippier,7.59
John Stones,7.06
Benjamin White,6.95
Eric Dier,6.98
Conor Coady,6.98
Aaron Ramsdale,6.84
Jordan Pickford,6.98
Nick Pope,7.1
Gareth Bale,6.84
Daniel James,6.65
Brennan Johnson,7.01
Kieffer Moore,6.84
Mark Harris,6.59
Aaron Ramsey,7.05
Ethan Ampadu,6.9
Harry Wilson,7.17
Dylan Levitt,7.05
Joe Allen,6.87
Sorba Thomas,6.9
Matthew Smith,6.7
Jonathan Williams,6.92
Rubin Colwill,6.56
Joe Morrell,6.82
Neco Williams,6.95
Ben Davies,6.89
Joe Rodon,6.88
Connor Roberts,6.88
Chris Mepham,6.76
Ben Cabango,6.9
Chris Gunter,6.67
Tom Lockyer,7.05
Danny Ward,6.83
Wayne Hennessey,6.98
Adam Davies,6.0
Christian Pulišić,6.75
Timothy Weah,6.86
Josh Sargent,6.91
Jesús Ferreira,7.24
Haji Wright,7.13
Giovanni Reyna,6.73
Weston McKennie,6.88
Brenden Aaronson,6.72
Tyler Adams,6.87
Yunus Musah,6.77
Luca De La Torre,6.79
Jordan Morris,6.89
Cristian Roldán,7.21
Kellyn Acosta,6.96
Sergiño Dest,6.6
Antonee Robinson,6.92
Joseph Scally,6.63
DeAndre Yedlin,6.63
Cameron Carter-Vickers,7.17
Tim Ream,6.88
Walker Zimmerman,7.1
Shaq Moore,6.9
Aaron Long,6.85
Matt Turner,6.87
