Alavés,"{'Carlos Vicente': '2.9681245624936', 'Abdel Abqar': '5.8914108685203', 'Antonio Blanco': '1.5563139808823', 'Antonio Sivera': '0.99481500108051', 'Kike Garcia': '1.1346414117016', 'Ander Guevara': '1.0012350834492', 'Nahuel Tenaglia': '1.0957517729515', 'Manu Sanchez': '0.83273900816472', 'Asier Villalibre': '0.48626229560298', 'Adrian Pica': '2.1299313004112', 'Eneko Ortiz': '1.0775459043653', 'Julen Lartitegi': '1.0775459043653', 'Ander Sanchez': '0', 'Gaizka Garcia': '0', 'Tomas Mendes': '0', 'Joan Jordan': '-1.096490594284', 'Adrian Rodriguez': '-1.1224273529732', 'Abde Rebbach': '-2.4685110125712', 'Santiago Mouriño': '0', 'Jesus Owono': '-2.6333937319502', 'Carlos Benavidez': '-1.8027156985834', 'Moussa Diarra': '-2.2127313734719', 'Jon Guridi': '-0.79897355741828', 'Carlos Martin': '-3.2121853722776', 'Hugo Novoa': '-2.8073608854893', 'Tomas Conechny': '-2.3440584379451', 'Stoichkov': '-2.5231245216005', 'Aleksandar Sedlar': '-2.5518287066559', 'Toni Martinez': '-2.2827153902401', 'Luka Romero': '-2.9636943920488'}"
Athletic,"{'Oihan Sancet': '0.83524915237668', 'Yeray Alvarez': '2.5187727397973', 'Dani Vivian': '0.75124817673026', 'Beñat Prados': '3.5203927186026', 'Oscar De Marcos': '1.5360372583195', 'Julen Agirrezabala': '3.512627466855', 'Mikel Jauregizar': '-0.48481456465586', 'Oier Gastesi': '-2.0157810015702', 'Adama Boiro': '-1.4243209681049', 'Alex Padilla': '-1.2356600895585', 'Iñigo Lekue': '-2.0867299654825', 'Javier Marton': '-3.0800333914092', 'Ander Herrera': '-2.9630968388008', 'Nico Serrano': '-3.2654264798267', 'Unai Gomez': '-2.776345326167', 'Mikel Vesga': '-1.6628957134976', 'Unai Nuñez': '-2.977878173381', 'Aitor Paredes': '-1.7173246509777', 'Alvaro Djalo': '-2.6363402090331', 'Alex Berenguer': '-2.3239026737002', 'Andoni Gorosabel': '-3.0447722448513', 'Iñigo Ruiz De Galarreta': '-3.3190109811968', 'Unai Simon': '-2.9726753834423', 'Yuri Berchiche': '-2.6539226522092', 'Iñaki Williams': '-1.2910893247659', 'Nico Williams': '-0.96336671129628', 'Gorka Guruzeta': '-1.9410350993221'}"
Atlético,"{'Marcos Llorente': '4.1554861259053', 'Pablo Barrios': '5.0494579990273', 'Rodrigo Riquelme': '4.7529551496927', 'Cesar Azpilicueta': '2.8410495825925', 'Koke Resurreccion': '1.5423924672778', 'Jan Oblak': '0.18973957235243', 'Robin Le Normand': '0.21163366558039', 'Antoine Griezmann': '0.091127357784015', 'Jose Maria Gimenez': '0.47120912192182', 'Rodrigo De Paul': '0.14866652160412', 'Alejandro Iturbe': '0', 'Selu Diallo': '0', 'Martin Pascual': '-0.3498891835919', 'Ilias Kostis': '-0.83309692671395', 'Giuliano Simeone': '-2.9057457042278', 'Thomas Lemar': '-3.143245190516', 'Reinildo Mandava': '-1.7000772211468', 'Angel Correa': '-1.5635046322024', 'Juan Musso': '-3.0210260949266', 'Javi Galan': '-3.1328962260637', 'Clement Lenglet': '-1.7658169310244', 'Nahuel Molina': '-1.8602843591314', 'Axel Witsel': '-1.6930682050281', 'Samuel Lino': '-1.0628681664519', 'Conor Gallagher': '-2.3932987222551', 'Julian Alvarez': '-1.3988439612062', 'Antonio Gomis': '0', 'Alexander Sorloth': '-2.0951814477345'}"
Barcelona,"{'Dani Olmo': '4.3595241615177', 'Raphinha': '3.9259628408296', 'Pedri Gonzalez': '3.9584125808506', 'Lamine Yamal': '0.64260741044764', 'Iñigo Martinez': '2.5963647954576', 'Robert Lewandowski': '0.38691924870216', 'Marc Casado': '1.2877892704889', 'Ferran Torres': '0.36739025663737', 'Diego Kochen': '0', 'Andres Cuenca': '0', 'Ivan Cedric': '0', 'Ander Astralaga': '-1.7059492439569', 'Sergi Dominguez': '-2.0759158142305', 'Gerard Martin': '-1.858072407985', 'Iñaki Peña': '-2.5063355820188', 'Pau Victor': '-1.7050727248263', 'Marc Bernal': '-3.3426719466347', 'Pablo Torre': '-3.0179057240833', 'Hector Fort': '-2.7328950026039', 'Ansu Fati': '-2.9121154314585', 'Fermin Lopez': '-1.1255598825998', 'Marc-Andre Ter Stegen': '-0.39214482950024', 'Pablo Gavi': '-2.4756474006518', 'Frenkie De Jong': '-2.3850929034616', 'Jules Kounde': '-0.69206601536219', 'Alejandro Balde': '-0.76932561242497', 'Pau Cubarsi': '-0.77402339901244', 'Andreas Christensen': '-3.3433564034916', 'Ronald Araujo': '-2.873717601063', 'Eric Garcia': '-3.2610733750684'}"
Betis,"{'Marc Bartra': '2.6437363410026', 'Vitor Roque': '1.537259403666', 'Youssouf Sabaly': '2.3713206624005', 'Diego Javier Llorente': '0.98541651844072', 'William Carvalho': '3.3491601902479', 'Ez Abde': '0.84569474352311', 'Guilherme Fernandes': '0', 'Cedric Bakambu': '0', 'Aitor Ruibal': '-0.032685134710256', 'Francisco Vieites': '-0.40151867903578', 'Marciano Sanca': '0', 'Lucas Alcazar': '-1.693280832061', 'Rodri Sanchez': '-0.96179853164045', 'Sergi Altimira': '-3.0562963662755', 'Adrian San Miguel': '-2.9188710090808', 'Juanmi Jimenez': '-1.277252651189', 'Rui Silva': '-0.39308927777531', 'Hector Bellerin': '-2.8701191037838', 'Marc Roca': '-1.0845257100724', 'Iker Losada': '-3.271876036392', 'Assane Diao': '-3.2346347615059', 'Romain Perraud': '-2.422824799133', 'Johnny Cardoso': '-2.8206706313307', 'Pablo Fornals': '-0.87110399307743', 'Chimy Avila': '-2.9036375155945', 'Ricardo Rodriguez': '-2.8966104589739', 'Natan': '-2.8559351124602', 'Isco Alarcon': '-2.4365629532659'}"
Celta,"{'Marcos Alonso': '0', 'Oscar Mingueza': '6.6274689513025', 'Iago Aspas': '1.0184943585196', 'Williot Swedberg': '3.6920634220566', 'Ivan Villar': '6.4717380336526', 'Fran Beltran': '2.6746082626937', 'Carl Starfelt': '3.568684740139', 'Borja Iglesias': '1.864859915312', 'Carlos Dominguez': '2.4153193249319', 'Jailson': '1.251810885267', 'Coke Carrillo': '0', 'Ivan Garri': '0', 'Mihailo Ristic': '-1.0863670505396', 'Sergio Carreira': '-0.94641288161482', 'Tadeo Allende': '-1.9532061756113', 'Cesar Fernandez': '-2.3678615115631', 'Javier Manquillo': '-2.145042494458', 'Javi Rodriguez': '-2.2663968869883', 'Franco Cervi': '-2.4741323755796', 'Luca De La Torre': '-2.8368030712448', 'Marc Vidal': '-2.7740528938883', 'Pablo Duran': '-3.028709267307', 'Ilaix Moriba': '-2.054596193034', 'Joseph Aidoo': '-3.0739042650043', 'Hugo Sotelo': '-3.2738699338702', 'Anastasios Douvikas': '-1.5346052376579', 'Vicente Guaita': '-2.5216480109911', 'Jonathan Bamba': '-1.5505837021661', 'Damian Rodriguez': '-2.5542466027033', 'Hugo Alvarez': '-2.4543227183453'}"
Espanyol,"{'Joan Garcia': '5.7810623569972', 'Alex Kral': '3.4157168441366', 'Omar El Hilali': '3.979899384283', 'Alvaro Tejero': '5.1154060656952', 'Carlos Romero': '5.4613032704226', 'Fernando Calero': '3.1075527622207', 'Alvaro Aguado': '2.1405868577579', 'Jose Gragera': '1.6767971341151', 'Omar Sadik': '0', 'Rafel Bauza': '0', 'Jose Luis Catala': '0', 'Llorenç Serred': '0', 'Angel Gomez': '0', 'Joan Puig': '0', 'Angel Fortuño': '0', 'Jofre Carreras': '-0.092497877989858', 'Antoniu Roca': '-0.58701035760753', 'Salvi Sanchez': '-2.5375471978248', 'Edu Exposito': '-2.8886477349785', 'Pol Lozano': '-2.9003285570511', 'Brian Olivan': '-2.2572113650114', 'Sergi Gomez': '-1.9214607000944', 'Javi Puado': '-0.3597217288897', 'Marash Kumbulla': '-2.582919039195', 'Pere Milla': '-2.5744535274449', 'Fernando Pacheco': '-2.630421935423', 'Irvin Cardona': '-2.9514854326172', 'Walid Cheddira': '-3.0210429966483', 'Leandro Cabrera': '-3.2887118678483'}"
Getafe,"{'Luis Milla': '2.8865841375736', 'Dakonam Djene': '2.1295779121999', 'Omar Alderete': '2.2119327061033', 'Juan Iglesias': '4.8489220664621', 'Alex Sola': '0.68228697549779', 'Chrisantus Uche': '1.4176735365613', 'Carles Aleña': '0.87874633177079', 'Gorka Rivera': '0', 'Diego Ferrer': '-1.7032842685662', 'Fabrizio Angileri': '-1.8979357438289', 'Domingos Duarte': '-2.3440036789369', 'Carles Perez': '-0.45013313620584', 'Yellu Santiago': '-2.7467446407128', 'Diego Rico': '-0.41858127251413', 'Mauro Arambarri': '-3.1451145679441', 'Jiri Letacek': '-3.0589663719682', 'Juan Berrocal': '-3.2218999070606', 'Peter Gonzalez': '-2.7327187557641', 'Bertug Yildirim': '-3.2006007819285', 'David Soria': '-0.88661175203994', 'Borja Mayoral': '-3.008621926639'}"
Girona,"{'Bryan Gil': '3.1715375919383', 'Arnaut Danjuma': '3.2707164434073', 'Viktor Tsygankov': '1.5817019224412', 'Yangel Herrera': '1.3396174994014', 'Daley Blind': '1.1769328117551', 'Abel Ruiz': '1.8274022717365', 'Miguel Gutierrez': '0.16210428397818', 'David Lopez': '0.16678775630301', 'Silvi Clua': '0', 'Ricard Artero': '0', 'Alejandro Frances': '-0.14133563322468', 'Jhon Solis': '-1.4698587052048', 'Christian Stuani': '-0.92474816804509', 'Juan Carlos Martin': '-3.1009034485926', 'Gabriel Misehouy': '-2.5769535302271', 'Ivan Martin': '-0.47253827270121', 'Cristian Portu': '-2.1750620412021', 'Juanpe Ramirez': '-3.3324322154669', 'Oriol Romeu': '-2.0931516813709', 'Bojan Miovski': '-1.7479561708118', 'Donny Van De Beek': '-1.2629243709675', 'Arnau Martinez': '-2.4898578447579', 'Yaser Asprilla': '-2.262661237229', 'Ladislav Krejci': '-3.3666183618634', 'Pau Lopez': '-3.1746999816258', 'Paulo Gazzaniga': '-1.2250549213691'}"
Las Palmas,"{'Alberto Moleiro': '2.4504423978109', 'Sandro Ramirez': '7.5218678032693', 'Jasper Cillessen': '2.3758025445713', 'Oliver Mcburnie': '6.3080771143486', 'Marvin Park': '2.8960791639966', 'Javi Muñoz': '0.56933261045628', 'Adnan Januzaj': '0', 'Jose Campaña': '-0.45887599452693', 'Benito Ramirez': '-1.3669694476039', 'Daley Sinkgraven': '-1.9470288805197', 'Fabio Gonzalez': '-2.3246546448907', 'Pejiño': '-2.747552771863', 'Scott Mckenna': '-0.57271211658083', 'Alex Suarez': '-0.85385538599835', 'Juanma Herzog': '-3.161067667868', 'Marc Cardona': '-3.1557042770341', 'Viti Rozada': '-3.2143281295216', 'Enzo Loiodice': '-2.9252494554882', 'Dinko Horkas': '-3.2614447824241', 'Jaime Mata': '-3.000171621889', 'Ivan Gil': '-3.387757140004', 'Alex Muñoz': '-2.7758011745185', 'Fuster': '-3.0696550208745', 'Kirian Rodriguez': '-1.0108369708242', 'Mika Marmol': '-1.8972800011962', 'Alvaro Valles': '-3.166756471685'}"
