Alavés,"{'Joan Jordan': '1.5083110056256', 'Julen Lartitegi': '0.84780047569298', 'Eneko Ortiz': '0.84743502356044', 'Adrian Pica': '0.84438047173947', 'Adrian Rodriguez': '0.84008001325663', 'Abde Rebbach': '0.82437920853697', 'Santiago Mouriño': '0.80931126949404', 'Jesus Owono': '0.80490817730893', 'Moussa Diarra': '0.7535873869292', 'Carlos Martin': '0.73672504865165', 'Hugo Novoa': '0.73140817406849', 'Asier Villalibre': '0.71283374463898', 'Carlos Benavidez': '0.65599763163363', 'Luka Romero': '0.5218117303277', 'Aleksandar Sedlar': '0.41738740600006', 'Tomas Conechny': '0.36288999671919', 'Manu Sanchez': '0.2685397466227', 'Ander Sanchez': '0', 'Gaizka Garcia': '0', 'Tomas Mendes': '0', 'Toni Martinez': '-0.10466727950808', 'Stoichkov': '-0.53701690444105', 'Kike Garcia': '-0.58347866969484', 'Ander Guevara': '-1.6930925153873', 'Jon Guridi': '-1.9406499049442', 'Abdel Abqar': '-1.6844606763585', 'Nahuel Tenaglia': '-2.0216994223241', 'Antonio Blanco': '-1.8579119963756', 'Antonio Sivera': '-2.3040201624568', 'Carlos Vicente': '-1.3711116866266'}"
Athletic,"{'Alex Berenguer': '3.6842888299428', 'Iñaki Williams': '1.3711394128758', 'Dani Vivian': '1.0360024882289', 'Julen Agirrezabala': '3.1828197444146', 'Gorka Guruzeta': '1.7280487041252', 'Unai Simon': '2.120395956678', 'Mikel Jauregizar': '2.5552355501401', 'Peio Canales': '0.83525852219399', 'Oier Gastesi': '0.83149950523564', 'Adama Boiro': '0.80753839665052', 'Javier Marton': '0.79977815729704', 'Nico Serrano': '0.78259776258618', 'Ander Herrera': '0.77614110700848', 'Iñigo Lekue': '0.73089182106889', 'Alex Padilla': '0.67746298832956', 'Unai Gomez': '0.6338877076779', 'Mikel Vesga': '0.36960058559052', 'Alvaro Djalo': '0.041261158425553', 'Unai Nuñez': '-0.091637345503856', 'Beñat Prados': '-0.070015837404473', 'Andoni Gorosabel': '-0.28313741708687', 'Aitor Paredes': '-0.19284928686662', 'Iñigo Ruiz De Galarreta': '-0.33067546948008', 'Yeray Alvarez': '-1.1937877767586', 'Yuri Berchiche': '-0.75805954671775', 'Oscar De Marcos': '-1.1678147140393', 'Nico Williams': '-0.85146803970622', 'Oihan Sancet': '-1.6878788895217'}"
Atlético,"{'Rodrigo De Paul': '2.7951446067508', 'Alexander Sorloth': '1.9321087546104', 'Pablo Barrios': '1.7178207997865', 'Jan Oblak': '0.61458358490894', 'Clement Lenglet': '2.373781359174', 'Javi Galan': '1.6347174585118', 'Nahuel Molina': '0.77720998816752', 'Antonio Gomis': '0.84169179013798', 'Ilias Kostis': '0.84169303586705', 'Geronimo Spina': '0.83525852219399', 'Javi Serrano': '0.83525852219399', 'Alejandro Iturbe': '0.82544543224518', 'Thomas Lemar': '0.77160718922025', 'Juan Musso': '0.5909802187932', 'Selu Diallo': '0', 'Martin Pascual': '0', 'Rodrigo Riquelme': '-1.1472040226703', 'Cesar Azpilicueta': '-1.3054107661793', 'Reinildo Mandava': '-1.7894669980444', 'Axel Witsel': '-2.0159056853496', 'Angel Correa': '-1.8048782211554', 'Giuliano Simeone': '-0.55561997142399', 'Samuel Lino': '-1.6186374502354', 'Robin Le Normand': '-1.1030658194135', 'Koke Resurreccion': '-1.3386838856992', 'Conor Gallagher': '-1.7906930757282', 'Marcos Llorente': '-0.77366075891748', 'Antoine Griezmann': '-0.56259062642071', 'Julian Alvarez': '-0.95802667376558', 'Jose Maria Gimenez': '-1.7191462569724'}"
Barcelona,"{'Pedri Gonzalez': '1.5456877905056', 'Lamine Yamal': '0.90047798164096', 'Frenkie De Jong': '4.7001268980003', 'Raphinha': '0.62089764691028', 'Ferran Torres': '4.8638851182377', 'Pablo Gavi': '0.91798735408201', 'Pau Victor': '7.7294316047421', 'Ronald Araujo': '0.38504145272706', 'Aron Yaakobishvili': '0.88820350977861', 'Ander Astralaga': '0.83525728762353', 'Sergi Dominguez': '0.83079094960616', 'Andres Cuenca': '0.83079953749304', 'Gerard Martin': '0.82082568874938', 'Diego Kochen': '0.80155702562311', 'Marc Bernal': '0.72423060426682', 'Iñaki Peña': '0.0083107690391701', 'Hector Fort': '0.16965333870378', 'Ivan Cedric': '0', 'Andreas Christensen': '-0.020921443628265', 'Ansu Fati': '-0.848464296002', 'Pablo Torre': '-1.034909384248', 'Eric Garcia': '-1.9590937335453', 'Fermin Lopez': '-1.689095764485', 'Marc-Andre Ter Stegen': '-2.2203729754007', 'Wojciech Szczesny': '-2.2221568742771', 'Jules Kounde': '-1.0126805157774', 'Alejandro Balde': '-1.2552895690806', 'Iñigo Martinez': '-1.1092739291178', 'Pau Cubarsi': '-1.4830154659788', 'Marc Casado': '-1.3529531637846', 'Robert Lewandowski': '-0.90240755621781', 'Dani Olmo': '-1.6333565045014'}"
Betis,"{'Isco': '5.6430308318646', 'Giovani Lo Celso': '0.3131298787084', 'Marc Bartra': '1.3757820466399', 'Vitor Roque': '0.81685666127646', 'Johnny Cardoso': '0.59536066552725', 'Francisco Vieites': '0.8436631980432', 'Manu Gonzalez': '0.84115192233699', 'Lucas Alcazar': '0.83561589163157', 'Adrian San Miguel': '0.75600075600076', 'Iker Losada': '0.61461939302632', 'Assane Diao': '0.50560907920199', 'Carvalho': '0.45468286585017', 'Juanmi Jimenez': '0.4260506498321', 'Aitor Ruibal': '0.15034121747206', 'Cedric Bakambu': '0.10593406483064', 'Guilherme Fernandes': '0', 'Marciano Sanca': '0', 'Carlos Guirao': '0', 'Ricardo Rodriguez': '-0.47726271740383', 'Romain Perraud': '-0.34008957716541', 'Hector Bellerin': '-0.75288797304889', 'Youssouf Sabaly': '-0.74476604507493', 'Sergi Altimira': '-1.1190258138801', 'Chimy Avila': '-2.07163846537', 'Ez Abde': '-0.21323248568871', 'Marc Roca': '-2.1904637695847', 'Natan': '-2.1738836446669', 'Diego Javier Llorente': '-0.53650570257683', 'Pablo Fornals': '-1.2063289091236', 'Rui Silva': '-2.1599222824094'}"
Celta,"{'Marcos Alonso': '1.3442989558864', 'Carl Starfelt': '0.62878801807668', 'Vicente Guaita': '0.69334366498497', 'Ilaix Moriba': '1.5381974480059', 'Javi Rodriguez': '1.3264515823889', 'Mihailo Ristic': '0.84026650608043', 'Tadeo Allende': '0.83276210511387', 'Alfonso Gonzalez': '0.82814054331687', 'Cesar Fernandez': '0.82580256857348', 'Javier Manquillo': '0.81977115949588', 'Franco Cervi': '0.81391618620448', 'Luca De La Torre': '0.81321866562691', 'Sergio Carreira': '0.81073171736007', 'Marc Vidal': '0.80506688327044', 'Joseph Aidoo': '0.77560571843162', 'Hugo Sotelo': '0.66960621559008', 'Pablo Duran': '0.63650490903721', 'Jailson': '0.6003366610369', 'Carlos Dominguez': '0.57491357416958', 'Damian Rodriguez': '0.40445547287227', 'Jonathan Bamba': '0.023986301976471', 'Coke Carrillo': '0', 'Ivan Garri': '0', 'Ivan Villar': '-0.14721833892959', 'Fran Beltran': '-0.48188281969015', 'Anastasios Douvikas': '-0.8307506595143', 'Hugo Alvarez': '-1.1785396786952', 'Williot Swedberg': '-1.9203735774535', 'Oscar Mingueza': '-0.6772496044124', 'Borja Iglesias': '-1.7576503708034', 'Iago Aspas': '-1.746560262005'}"
Espanyol,"{'Joan Garcia': '0.7118319303149', 'Antoniu Roca': '0.84278686655899', 'Jose Luis Catala': '0.84241596193956', 'Omar Sadik': '0.84115192233699', 'Rafel Bauza': '0.84115192233699', 'Salvi Sanchez': '0.82278257074957', 'Edu Exposito': '0.81178477921925', 'Pol Lozano': '0.80577513805418', 'Jose Gragera': '0.79275546621816', 'Angel Fortuño': '0.77371189082228', 'Brian Olivan': '0.77265817170635', 'Pere Milla': '0.71063329162173', 'Fernando Pacheco': '0.70336066068743', 'Sergi Gomez': '0.6024333693499', 'Irvin Cardona': '0.60162073277602', 'Alvaro Aguado': '0.58726937967919', 'Walid Cheddira': '0.53952566701775', 'Fernando Calero': '0.50343677855527', 'Leandro Cabrera': '0.44696868772277', 'Llorenç Serred': '0', 'Angel Gomez': '0', 'Joan Puig': '0', 'Omar El Hilali': '-0.19660413159339', 'Alejo Veliz': '-0.33980305520653', 'Marash Kumbulla': '-0.34532685952537', 'Carlos Romero': '-1.5590910040561', 'Alvaro Tejero': '-1.6949928799871', 'Alex Kral': '-1.4031249661557', 'Javi Puado': '-0.28278548699556', 'Jofre Carreras': '-1.5614336587354'}"
Getafe,"{'Omar Alderete': '1.0261829028103', 'Coba Gomes': '0.85084298403001', 'Gorka Rivera': '0.84760957798823', 'Diego Ferrer': '0.83545325408451', 'Fabrizio Angileri': '0.83346877262452', 'Alberto Risco': '0.82814054331687', 'John Patrick Finn': '0.82776961174964', 'Domingos Duarte': '0.82650968589091', 'Yellu Santiago': '0.80084296169543', 'Carles Aleña': '0.75685422013479', 'Jiri Letacek': '0.7535753415501', 'Peter Gonzalez': '0.65366171477019', 'Nabil Aberdin': '0.59161049992842', 'Juan Berrocal': '0.51759090984417', 'Bertug Yildirim': '0.37983665818717', 'Alvaro Rodriguez': '0.22921724830705', 'Chrisantus Uche': '-0.9326372953675', 'Alex Sola': '-1.911617686677', 'Borja Mayoral': '-1.9167355506109', 'Carles Perez': '-2.0536271509248', 'Juan Iglesias': '-1.5643170092322', 'Mauro Arambarri': '-1.1341568154978', 'Allan Nyom': '-2.0450992079069', 'Dakonam Djene': '-1.4231218898614', 'Diego Rico': '-1.858479566123', 'David Soria': '-0.86951689864299', 'Luis Milla': '-1.1578431552005'}"
Girona,"{'Miguel Gutierrez': '2.0700948360434', 'David Lopez': '1.1976879440179', 'Donny Van De Beek': '1.516256994657', 'Ricard Artero': '0', 'Ladislav Krejci': '1.0934917189736', 'Arnau Martinez': '0.71018706078559', 'Yaser Asprilla': '0.75468391754948', 'Jhon Solis': '0.83742334463601', 'Juan Carlos Martin': '0.75288688971413', 'Juanpe Ramirez': '0.70554829949195', 'Gabriel Misehouy': '0.66927678427421', 'Cristian Portu': '0.4987953000198', 'Oriol Romeu': '0.30320808625053', 'Pau Lopez': '0.22157640579067', 'Christian Stuani': '0.21314986560611', 'Silvi Clua': '0', 'Alejandro Frances': '-0.06874025078174', 'Bojan Miovski': '-0.53546956317291', 'Abel Ruiz': '-1.1320064451899', 'Arnaut Danjuma': '-0.87456607896552', 'Viktor Tsygankov': '-1.836345677894', 'Ivan Martin': '-1.4686462432477', 'Daley Blind': '-1.0097128827199', 'Paulo Gazzaniga': '-0.71846106843791', 'Yangel Herrera': '-1.2033738167256', 'Bryan Gil': '-0.95609365808239'}"
Las Palmas,"{'Sandro Ramirez': '3.69675200208', 'Kirian Rodriguez': '1.6041245336817', 'Jasper Cillessen': '1.3301213019837', 'Fábio Silva': '0.15031065414651', 'Mika Marmol': '2.0501638724903', 'Javi Muñoz': '1.9566224531931', 'Scott Mckenna': '2.3064222111743', 'Jose Campaña': '1.5446262676009', 'Alvaro Killane': '0.84422613591434', 'Benito Ramirez': '0.83831272555168', 'Valentin Pezzolesi': '0.83456367556799', 'Daley Sinkgraven': '0.83277563809937', 'Fabio': '0.82723165142353', 'Pejiño': '0.8162243733667', 'Marc Cardona': '0.77822489355642', 'Juanma Herzog': '0.77804928278374', 'Ivan Gil': '0.71605582554014', 'Marvin Park': '0.70996528642658', 'Enzo Loiodice': '0.70893502844377', 'Jaime Mata': '0.69239441953335', 'Dinko Horkas': '0.62652299537391', 'Fuster': '0.61005856787729', 'Viti Rozada': '0.35868655698213', 'Adnan Januzaj': '0.27662517289073', 'Alvaro Valles': '-0.3607702662113', 'Alex Suarez': '-0.51093151134803', 'Dario Essugo': '-0.80609985959422', 'Alex Muñoz': '-2.0649553269188', 'Oliver Mcburnie': '-2.140146481311', 'Alberto Moleiro': '-1.0925996442103'}"
