Alavés,"{'Antonio Blanco': 'MID', 'Carlos Vicente': 'ATT', 'Kike Garcia': 'ATT', 'Antonio Sivera': 'GK', 'Ander Guevara': 'MID', 'Adrian Pica': 'DEF', 'Eneko Ortiz': 'DEF', 'Julen Lartitegi': 'MID', 'Ander Sanchez': 'MID', 'Gaizka Garcia': 'GK', 'Tomas Mendes': 'MID', 'Adrian Rodriguez': 'GK', 'Abde Rebbach': 'MID', 'Jesus Owono': 'GK', 'Nahuel Tenaglia': 'DEF', 'Carlos Benavidez': 'MID', 'Manu Sanchez': 'DEF', 'Nikola Maras': 'DEF', 'Asier Villalibre': 'ATT', 'Carlos Martin': 'MID', 'Moussa Diarra': 'DEF', 'Abdel Abqar': 'DEF', 'Hugo Novoa': 'DEF', 'Tomas Conechny': 'ATT', 'Jon Guridi': 'MID', 'Stoichkov': 'MID', 'Aleksandar Sedlar': 'DEF', 'Luka Romero': 'MID', 'Luis Rioja': 'MID'}"
Athletic,"{'Oihan Sancet': 'MID', 'Yeray Alvarez': 'DEF', 'Alex Padilla': 'GK', 'Malcom Adu Ares': 'ATT', 'Oier Gastesi': 'GK', 'Unai Egiluz': 'DEF', 'Mikel Jauregizar': 'MID', 'Julen Agirrezabala': 'GK', 'Iñigo Lekue': 'DEF', 'Adama Boiro': 'MID', 'Ander Herrera': 'MID', 'Javier Marton': 'ATT', 'Mikel Vesga': 'MID', 'Nico Serrano': 'ATT', 'Unai Gomez': 'MID', 'Beñat Prados': 'MID', 'Yuri Berchiche': 'DEF', 'Gorka Guruzeta': 'ATT', 'Alex Berenguer': 'ATT', 'Andoni Gorosabel': 'DEF', 'Alvaro Djalo': 'ATT', 'Oscar De Marcos': 'DEF', 'Iñigo Ruiz De Galarreta': 'MID', 'Aitor Paredes': 'DEF', 'Dani Vivian': 'DEF', 'Nico Williams': 'ATT', 'Unai Simon': 'GK', 'Iñaki Williams': 'ATT'}"
Atlético,"{'Marcos Llorente': 'MID', 'Julian Alvarez': 'ATT', 'Pablo Barrios': 'MID', 'Ilias Kostis': 'DEF', 'Antonio Gomis': 'GK', 'Antoine Griezmann': 'ATT', 'Samuel Omorodion': 'ATT', 'Selu Diallo': 'MID', 'Horatiu Moldovan': 'GK', 'Giuliano Simeone': 'ATT', 'Santiago Mouriño': 'DEF', 'Jose Maria Gimenez': 'DEF', 'Thomas Lemar': 'MID', 'Arthur Vermeeren': 'MID', 'Jan Oblak': 'GK', 'Reinildo Mandava': 'DEF', 'Nahuel Molina': 'DEF', 'Javi Galan': 'DEF', 'Angel Correa': 'ATT', 'Cesar Azpilicueta': 'DEF', 'Rodrigo Riquelme': 'MID', 'Koke Resurreccion': 'MID', 'Alexander Sorloth': 'ATT', 'Rodrigo De Paul': 'MID', 'Axel Witsel': 'DEF', 'Samuel Lino': 'MID', 'Joao Felix': 'ATT', 'Robin Le Normand': 'DEF'}"
Barcelona,"{'Robert Lewandowski': 'ATT', 'Raphinha': 'ATT', 'Pedri Gonzalez': 'MID', 'Lamine Yamal': 'ATT', 'Fermin Lopez': 'MID', 'Marc Casado': 'MID', 'Diego Kochen': 'GK', 'Vitor Roque': 'ATT', 'Ander Astralaga': 'GK', 'Pau Victor': 'MID', 'Iñaki Peña': 'GK', 'Alex Valle': 'DEF', 'Ferran Torres': 'ATT', 'Pablo Torre': 'MID', 'Marc-Andre Ter Stegen': 'GK', 'Hector Fort': 'DEF', 'Iñigo Martinez': 'DEF', 'Ansu Fati': 'ATT', 'Clement Lenglet': 'DEF', 'Pablo Gavi': 'MID', 'Frenkie De Jong': 'MID', 'Jules Kounde': 'DEF', 'Andreas Christensen': 'DEF', 'Pau Cubarsi': 'DEF', 'Eric Garcia': 'DEF', 'Ronald Araujo': 'DEF', 'Alejandro Balde': 'DEF', 'Ilkay Gundogan': 'MID'}"
Betis,"{'Nabil Fekir': 'MID', 'Marc Bartra': 'DEF', 'Rui Silva': 'GK', 'Youssouf Sabaly': 'DEF', 'Marc Roca': 'MID', 'Ez Abde': 'ATT', 'William Carvalho': 'MID', 'Rodri Sanchez': 'MID', 'Guilherme Fernandes': 'GK', 'Cedric Bakambu': 'ATT', 'Marciano Sanca': 'ATT', 'Francisco Vieites': 'GK', 'Juanmi Jimenez': 'ATT', 'Lucas Alcazar': 'DEF', 'Aitor Ruibal': 'ATT', 'Sergi Altimira': 'MID', 'Romain Perraud': 'DEF', 'Adrian San Miguel': 'GK', 'Pablo Fornals': 'MID', 'Hector Bellerin': 'DEF', 'Johnny Cardoso': 'MID', 'Chimy Avila': 'ATT', 'Iker Losada': 'MID', 'Assane Diao': 'ATT', 'Diego Javier Llorente': 'DEF', 'Ricardo Rodriguez': 'DEF', 'Isco Alarcon': 'MID'}"
Celta,"{'Iago Aspas': 'ATT', 'Williot Swedberg': 'MID', 'Ivan Villar': 'GK', 'Oscar Mingueza': 'DEF', 'Carlos Dominguez': 'DEF', 'Jailson': 'MID', 'Coke Carrillo': 'GK', 'Ivan Garri': 'DEF', 'Mihailo Ristic': 'DEF', 'Tadeo Allende': 'ATT', 'Kevin Vazquez': 'DEF', 'Javier Manquillo': 'DEF', 'Anastasios Douvikas': 'ATT', 'Sergio Carreira': 'DEF', 'Franco Cervi': 'MID', 'Ilaix Moriba': 'MID', 'Luca De La Torre': 'MID', 'Carl Starfelt': 'DEF', 'Joseph Aidoo': 'DEF', 'Fran Beltran': 'MID', 'Hugo Sotelo': 'MID', 'Borja Iglesias': 'ATT', 'Vicente Guaita': 'GK', 'Jonathan Bamba': 'MID', 'Unai Nuñez': 'DEF'}"
Espanyol,"{'Joan Garcia': 'GK', 'Leandro Cabrera': 'DEF', 'Sergi Gomez': 'DEF', 'Antoniu Roca': 'MID', 'Omar Sadik': 'ATT', 'Rafel Bauza': 'MID', 'Jose Luis Catala': 'DEF', 'Llorenç Serred': 'GK', 'Ian Forns': 'DEF', 'Angel Gomez': 'DEF', 'Joan Puig': 'DEF', 'Angel Fortuño': 'GK', 'Jose Gragera': 'MID', 'Alvaro Tejero': 'DEF', 'Omar El Hilali': 'DEF', 'Salvi Sanchez': 'MID', 'Alvaro Aguado': 'MID', 'Pol Lozano': 'MID', 'Edu Exposito': 'MID', 'Jofre Carreras': 'ATT', 'Carlos Romero': 'DEF', 'Brian Olivan': 'DEF', 'Fernando Calero': 'DEF', 'Pere Milla': 'ATT', 'Fernando Pacheco': 'GK', 'Javi Puado': 'MID', 'Irvin Cardona': 'ATT', 'Alex Kral': 'MID'}"
Getafe,"{'David Soria': 'GK', 'Luis Milla': 'MID', 'Omar Alderete': 'DEF', 'Dakonam Djene': 'DEF', 'Chrisantus Uche': 'MID', 'Juan Iglesias': 'DEF', 'Carles Perez': 'ATT', 'Gorka Rivera': 'DEF', 'Jordi Martin': 'DEF', 'Diego Ferrer': 'GK', 'Fabrizio Angileri': 'DEF', 'Carles Aleña': 'MID', 'Domingos Duarte': 'DEF', 'Yellu Santiago': 'MID', 'Mauro Arambarri': 'MID', 'Alex Sola': 'DEF', 'Jiri Letacek': 'GK', 'Peter Gonzalez': 'MID', 'Diego Rico': 'DEF', 'Borja Mayoral': 'ATT'}"
Girona,"{'Daley Blind': 'DEF', 'Bryan Gil': 'ATT', 'Yangel Herrera': 'MID', 'Paulo Gazzaniga': 'GK', 'Oriol Romeu': 'MID', 'Gabriel Misehouy': 'MID', 'David Lopez': 'DEF', 'Arnau Martinez': 'DEF', 'Iker Almena': 'MID', 'Silvi Clua': 'MID', 'Ricard Artero': 'MID', 'Cristian Portu': 'ATT', 'Jhon Solis': 'MID', 'Valery Fernandez': 'DEF', 'Toni Villa': 'MID', 'Abel Ruiz': 'ATT', 'Christian Stuani': 'ATT', 'Juan Carlos Martin': 'GK', 'Alejandro Frances': 'DEF', 'Juanpe Ramirez': 'DEF', 'Ivan Martin': 'MID', 'Miguel Gutierrez': 'DEF', 'Donny Van De Beek': 'MID', 'Ladislav Krejci': 'DEF', 'Viktor Tsygankov': 'ATT'}"
Las Palmas,"{'Jasper Cillessen': 'GK', 'Javi Muñoz': 'MID', 'Sandro Ramirez': 'ATT', 'Adnan Januzaj': 'MID', 'Ivan Cedric': 'ATT', 'Alex Muñoz': 'DEF', 'Benito Ramirez': 'MID', 'Daley Sinkgraven': 'DEF', 'Sory Kaba': 'ATT', 'Fabio Gonzalez': 'MID', 'Marvin Park': 'MID', 'Jose Campaña': 'MID', 'Pejiño': 'ATT', 'Enzo Loiodice': 'MID', 'Oliver Mcburnie': 'ATT', 'Juanma Herzog': 'DEF', 'Marc Cardona': 'ATT', 'Enrique Clemente': 'DEF', 'Jaime Mata': 'ATT', 'Alberto Moleiro': 'MID', 'Viti Rozada': 'MID', 'Dinko Horkas': 'GK', 'Alex Suarez': 'DEF', 'Ivan Gil': 'MID', 'Fuster': 'MID', 'Scott Mckenna': 'DEF', 'Kirian Rodriguez': 'MID', 'Mika Marmol': 'DEF', 'Alvaro Valles': 'GK'}"
