Alavés,"{'Carlos Vicente': 'ATT', 'Kike Garcia': 'ATT', 'Julen Lartitegi': 'MID', 'Eneko Ortiz': 'DEF', 'Adrian Pica': 'DEF', 'Adrian Rodriguez': 'GK', 'Santiago Mouriño': 'DEF', 'Jesus Owono': 'GK', 'Moussa Diarra': 'DEF', 'Carlos Martin': 'MID', 'Hugo Novoa': 'DEF', 'Asier Villalibre': 'ATT', 'Carlos Benavidez': 'MID', 'Aleksandar Sedlar': 'DEF', 'Tomas Conechny': 'ATT', 'Manu Sanchez': 'DEF', 'Ander Sanchez': 'MID', 'Gaizka Garcia': 'GK', 'Tomas Mendes': 'MID', 'Toni Martinez': 'ATT', 'Joan Jordan': 'MID', 'Stoichkov': 'MID', 'Facundo Garces': 'DEF', 'Ander Guevara': 'MID', 'Jon Guridi': 'MID', 'Nahuel Tenaglia': 'DEF', 'Abdel Abqar': 'DEF', 'Antonio Blanco': 'MID', 'Antonio Sivera': 'GK', 'Luka Romero': 'MID', 'Abde Rebbach': 'MID'}"
Athletic,"{'Iñaki Williams': 'ATT', 'Alex Berenguer': 'ATT', 'Nico Williams': 'ATT', 'Dani Vivian': 'DEF', 'Iñigo Ruiz De Galarreta': 'MID', 'Yeray Alvarez': 'DEF', 'Peio Canales': 'ATT', 'Oier Gastesi': 'GK', 'Adama Boiro': 'MID', 'Javier Marton': 'ATT', 'Nico Serrano': 'ATT', 'Iñigo Lekue': 'DEF', 'Unai Gomez': 'MID', 'Mikel Vesga': 'MID', 'Alvaro Djalo': 'ATT', 'Unai Nuñez': 'DEF', 'Andoni Gorosabel': 'DEF', 'Beñat Prados': 'MID', 'Mikel Jauregizar': 'MID', 'Unai Simon': 'GK', 'Yuri Berchiche': 'DEF', 'Oscar De Marcos': 'DEF', 'Aitor Paredes': 'DEF', 'Julen Agirrezabala': 'GK', 'Gorka Guruzeta': 'ATT', 'Oihan Sancet': 'MID', 'Ander Herrera': 'MID', 'Alex Padilla': 'GK'}"
Atlético,"{'Julian Alvarez': 'ATT', 'Robin Le Normand': 'DEF', 'Nahuel Molina': 'DEF', 'Antonio Gomis': 'GK', 'Ilias Kostis': 'DEF', 'Geronimo Spina': 'DEF', 'Javi Serrano': 'MID', 'Alejandro Iturbe': 'GK', 'Thomas Lemar': 'MID', 'Juan Musso': 'GK', 'Selu Diallo': 'MID', 'Martin Pascual': 'DEF', 'Rodrigo Riquelme': 'MID', 'Cesar Azpilicueta': 'DEF', 'Reinildo Mandava': 'DEF', 'Clement Lenglet': 'DEF', 'Javi Galan': 'DEF', 'Giuliano Simeone': 'ATT', 'Axel Witsel': 'DEF', 'Angel Correa': 'ATT', 'Rodrigo De Paul': 'MID', 'Samuel Lino': 'MID', 'Conor Gallagher': 'MID', 'Pablo Barrios': 'MID', 'Koke Resurreccion': 'MID', 'Jan Oblak': 'GK', 'Jose Maria Gimenez': 'DEF', 'Marcos Llorente': 'MID', 'Alexander Sorloth': 'ATT', 'Antoine Griezmann': 'ATT'}"
Barcelona,"{'Jules Kounde': 'DEF', 'Pedri Gonzalez': 'MID', 'Lamine Yamal': 'ATT', 'Alejandro Balde': 'DEF', 'Pablo Gavi': 'MID', 'Ronald Araujo': 'DEF', 'Pau Cubarsi': 'DEF', 'Marc Casado': 'MID', 'Robert Lewandowski': 'ATT', 'Dani Olmo': 'MID', 'Aron Yaakobishvili': 'GK', 'Ander Astralaga': 'GK', 'Sergi Dominguez': 'DEF', 'Andres Cuenca': 'DEF', 'Gerard Martin': 'DEF', 'Diego Kochen': 'GK', 'Marc Bernal': 'MID', 'Ivan Cedric': 'ATT', 'Hector Fort': 'DEF', 'Andreas Christensen': 'DEF', 'Ansu Fati': 'ATT', 'Pablo Torre': 'MID', 'Eric Garcia': 'DEF', 'Pau Victor': 'MID', 'Iñaki Peña': 'GK', 'Fermin Lopez': 'MID', 'Marc-Andre Ter Stegen': 'GK', 'Wojciech Szczesny': 'GK', 'Ferran Torres': 'ATT', 'Frenkie De Jong': 'MID', 'Iñigo Martinez': 'DEF', 'Raphinha': 'ATT'}"
Betis,"{'Isco': 'MID', 'Manu Gonzalez': 'GK', 'Lucas Alcazar': 'DEF', 'Adrian San Miguel': 'GK', 'Iker Losada': 'MID', 'Carvalho': 'MID', 'Juanmi Jimenez': 'ATT', 'Guilherme Fernandes': 'GK', 'Aitor Ruibal': 'ATT', 'Cedric Bakambu': 'ATT', 'Francisco Vieites': 'GK', 'Marciano Sanca': 'ATT', 'Ricardo Rodriguez': 'DEF', 'Hector Bellerin': 'DEF', 'Carlos Guirao': 'MID', 'Youssouf Sabaly': 'DEF', 'Chimy Avila': 'ATT', 'Marc Roca': 'MID', 'Romain Perraud': 'DEF', 'Sergi Altimira': 'MID', 'Johnny Cardoso': 'MID', 'Natan': 'DEF', 'Pablo Fornals': 'MID', 'Ez Abde': 'ATT', 'Marc Bartra': 'DEF', 'Vitor Roque': 'ATT', 'Diego Javier Llorente': 'DEF', 'Giovani Lo Celso': 'MID', 'Rui Silva': 'GK', 'Assane Diao': 'ATT'}"
Celta,"{'Vicente Guaita': 'GK', 'Ilaix Moriba': 'MID', 'Mihailo Ristic': 'DEF', 'Cesar Fernandez': 'GK', 'Javier Manquillo': 'DEF', 'Franco Cervi': 'MID', 'Luca De La Torre': 'MID', 'Sergio Carreira': 'DEF', 'Marc Vidal': 'GK', 'Alfonso Gonzalez': 'ATT', 'Joseph Aidoo': 'DEF', 'Hugo Sotelo': 'MID', 'Jailson': 'MID', 'Carlos Dominguez': 'DEF', 'Pablo Duran': 'ATT', 'Damian Rodriguez': 'MID', 'Coke Carrillo': 'GK', 'Ivan Garri': 'DEF', 'Jonathan Bamba': 'MID', 'Ivan Villar': 'GK', 'Javi Rodriguez': 'DEF', 'Anastasios Douvikas': 'ATT', 'Hugo Alvarez': 'MID', 'Fran Beltran': 'MID', 'Marcos Alonso': 'DEF', 'Williot Swedberg': 'MID', 'Carl Starfelt': 'DEF', 'Borja Iglesias': 'ATT', 'Oscar Mingueza': 'DEF', 'Iago Aspas': 'ATT', 'Tadeo Allende': 'ATT'}"
Espanyol,"{'Javi Puado': 'MID', 'Antoniu Roca': 'MID', 'Jose Luis Catala': 'DEF', 'Omar Sadik': 'ATT', 'Rafel Bauza': 'MID', 'Salvi Sanchez': 'MID', 'Edu Exposito': 'MID', 'Pol Lozano': 'MID', 'Jose Gragera': 'MID', 'Angel Fortuño': 'GK', 'Brian Olivan': 'DEF', 'Pere Milla': 'ATT', 'Fernando Pacheco': 'GK', 'Sergi Gomez': 'DEF', 'Irvin Cardona': 'ATT', 'Alvaro Aguado': 'MID', 'Walid Cheddira': 'ATT', 'Fernando Calero': 'DEF', 'Llorenç Serred': 'GK', 'Angel Gomez': 'DEF', 'Joan Puig': 'DEF', 'Leandro Cabrera': 'DEF', 'Omar El Hilali': 'DEF', 'Alejo Veliz': 'ATT', 'Marash Kumbulla': 'MID', 'Alvaro Tejero': 'DEF', 'Carlos Romero': 'DEF', 'Alex Kral': 'MID', 'Roberto Fernandez': 'ATT', 'Joan Garcia': 'GK', 'Jofre Carreras': 'ATT'}"
Getafe,"{'Omar Alderete': 'DEF', 'David Soria': 'GK', 'Abdoulaye Keita': 'MID', 'Borja Mayoral': 'ATT', 'Coba Gomes': 'MID', 'Gorka Rivera': 'DEF', 'Diego Ferrer': 'GK', 'Fabrizio Angileri': 'DEF', 'Alberto Risco': 'MID', 'Domingos Duarte': 'DEF', 'Yellu Santiago': 'MID', 'Carles Aleña': 'MID', 'Jiri Letacek': 'GK', 'Peter Gonzalez': 'MID', 'Nabil Aberdin': 'DEF', 'Juan Berrocal': 'DEF', 'Bertug Yildirim': 'ATT', 'Alvaro Rodriguez': 'ATT', 'Chrisantus Uche': 'MID', 'Mauro Arambarri': 'MID', 'Juan Iglesias': 'DEF', 'Alex Sola': 'DEF', 'Carles Perez': 'ATT', 'Dakonam Djene': 'DEF', 'Allan Nyom': 'DEF', 'Diego Rico': 'DEF', 'Luis Milla': 'MID', 'John Patrick Finn': 'MID'}"
Girona,"{'Paulo Gazzaniga': 'GK', 'Viktor Tsygankov': 'ATT', 'David Lopez': 'DEF', 'Arnau Martinez': 'DEF', 'Ricard Artero': 'MID', 'Jhon Solis': 'MID', 'Juan Carlos Martin': 'GK', 'Juanpe Ramirez': 'DEF', 'Gabriel Misehouy': 'MID', 'Cristian Portu': 'ATT', 'Oriol Romeu': 'MID', 'Pau Lopez': 'GK', 'Christian Stuani': 'ATT', 'Silvi Clua': 'MID', 'Alejandro Frances': 'DEF', 'Bojan Miovski': 'ATT', 'Ladislav Krejci': 'DEF', 'Abel Ruiz': 'ATT', 'Yaser Asprilla': 'ATT', 'Ivan Martin': 'MID', 'Arnaut Danjuma': 'MID', 'Daley Blind': 'DEF', 'Donny Van De Beek': 'MID', 'Yangel Herrera': 'MID', 'Bryan Gil': 'ATT', 'Miguel Gutierrez': 'DEF'}"
Las Palmas,"{'Sandro Ramirez': 'ATT', 'Fábio Silva': 'ATT', 'Alvaro Killane': 'GK', 'Benito Ramirez': 'MID', 'Valentin Pezzolesi': 'DEF', 'Daley Sinkgraven': 'DEF', 'Pejiño': 'ATT', 'Marc Cardona': 'ATT', 'Juanma Herzog': 'DEF', 'Marvin Park': 'MID', 'Enzo Loiodice': 'MID', 'Jaime Mata': 'ATT', 'Dinko Horkas': 'GK', 'Fuster': 'MID', 'Viti Rozada': 'MID', 'Adnan Januzaj': 'MID', 'Alvaro Valles': 'GK', 'Jose Campaña': 'MID', 'Alex Suarez': 'DEF', 'Dario Essugo': 'MID', 'Scott Mckenna': 'DEF', 'Mika Marmol': 'DEF', 'Javi Muñoz': 'MID', 'Alex Muñoz': 'DEF', 'Oliver Mcburnie': 'ATT', 'Jasper Cillessen': 'GK', 'Kirian Rodriguez': 'MID', 'Alberto Moleiro': 'MID', 'Fabio': 'MID', 'Ivan Gil': 'MID'}"
