Alavés,"{'Joan Jordan': '9853', 'Julen Lartitegi': '8467', 'Eneko Ortiz': '8466', 'Adrian Pica': '8454', 'Adrian Rodriguez': '8437', 'Abde Rebbach': '8376', 'Santiago Mouriño': '8317', 'Jesus Owono': '8300', 'Moussa Diarra': '8097', 'Carlos Martin': '8029', 'Hugo Novoa': '8007', 'Asier Villalibre': '7932', 'Carlos Benavidez': '7697', 'Luka Romero': '7120', 'Aleksandar Sedlar': '6646', 'Tomas Conechny': '6389', 'Manu Sanchez': '5931', 'Toni Martinez': '3896', 'Stoichkov': '992', 'Ander Sanchez': '0', 'Gaizka Garcia': '0', 'Tomas Mendes': '0', 'Kike Garcia': '-8337', 'Ander Guevara': '-12122', 'Jon Guridi': '-16845', 'Abdel Abqar': '-20449', 'Nahuel Tenaglia': '-23157', 'Antonio Blanco': '-39141', 'Antonio Sivera': '-83397', 'Carlos Vicente': '-302364'}"
Athletic,"{'Alex Berenguer': '1500203', 'Julen Agirrezabala': '428661', 'Iñaki Williams': '350659', 'Gorka Guruzeta': '228956', 'Dani Vivian': '211755', 'Unai Simon': '153640', 'Mikel Jauregizar': '34272', 'Beñat Prados': '9394', 'Peio Canales': '8418', 'Oier Gastesi': '8404', 'Adama Boiro': '8310', 'Javier Marton': '8280', 'Nico Serrano': '8212', 'Ander Herrera': '8187', 'Iñigo Lekue': '8005', 'Alex Padilla': '7786', 'Unai Gomez': '7604', 'Mikel Vesga': '6422', 'Alvaro Djalo': '4736', 'Unai Nuñez': '3974', 'Andoni Gorosabel': '2779', 'Aitor Paredes': '-19476', 'Yeray Alvarez': '-31413', 'Yuri Berchiche': '-43946', 'Iñigo Ruiz De Galarreta': '-53652', 'Oscar De Marcos': '-86962', 'Nico Williams': '-421116', 'Oihan Sancet': '-574358'}"
Atlético,"{'Rodrigo De Paul': '988679', 'Antoine Griezmann': '615873', 'Pablo Barrios': '323574', 'Alexander Sorloth': '242881', 'Clement Lenglet': '123497', 'Jan Oblak': '61751', 'Javi Galan': '35142', 'Nahuel Molina': '21048', 'Antonio Gomis': '8443', 'Ilias Kostis': '8443', 'Geronimo Spina': '8418', 'Javi Serrano': '8418', 'Alejandro Iturbe': '8380', 'Thomas Lemar': '8168', 'Juan Musso': '7422', 'Selu Diallo': '0', 'Martin Pascual': '-24', 'Rodrigo Riquelme': '-4605', 'Cesar Azpilicueta': '-6470', 'Reinildo Mandava': '-13835', 'Angel Correa': '-37955', 'Axel Witsel': '-38579', 'Giuliano Simeone': '-41674', 'Robin Le Normand': '-62483', 'Jose Maria Gimenez': '-67016', 'Marcos Llorente': '-101508', 'Samuel Lino': '-113485', 'Conor Gallagher': '-137708', 'Koke Resurreccion': '-174819', 'Julian Alvarez': '-358652'}"
Barcelona,"{'Lamine Yamal': '1848434', 'Frenkie De Jong': '1345087', 'Dani Olmo': '1130119', 'Ferran Torres': '466329', 'Pedri Gonzalez': '399096', 'Raphinha': '378544', 'Pablo Gavi': '220044', 'Ronald Araujo': '169345', 'Aron Yaakobishvili': '8622', 'Ander Astralaga': '8418', 'Sergi Dominguez': '8401', 'Andres Cuenca': '8401', 'Gerard Martin': '8362', 'Diego Kochen': '8287', 'Marc Bernal': '7978', 'Hector Fort': '5427', 'Andreas Christensen': '4386', 'Ivan Cedric': '0', 'Ansu Fati': '-1594', 'Pablo Torre': '-3402', 'Iñaki Peña': '-13751', 'Eric Garcia': '-17763', 'Fermin Lopez': '-31149', 'Jules Kounde': '-40261', 'Wojciech Szczesny': '-55119', 'Marc-Andre Ter Stegen': '-59075', 'Pau Victor': '-101111', 'Alejandro Balde': '-210288', 'Iñigo Martinez': '-289985', 'Pau Cubarsi': '-344879', 'Robert Lewandowski': '-428354', 'Marc Casado': '-579747'}"
Betis,"{'Isco': '1266014', 'Giovani Lo Celso': '255556', 'Marc Bartra': '206468', 'Diego Javier Llorente': '37586', 'Vitor Roque': '33584', 'Johnny Cardoso': '24208', 'Francisco Vieites': '8451', 'Manu Gonzalez': '8441', 'Lucas Alcazar': '8420', 'Adrian San Miguel': '8106', 'Iker Losada': '7523', 'Carvalho': '6817', 'Juanmi Jimenez': '6686', 'Aitor Ruibal': '5326', 'Cedric Bakambu': '5090', 'Romain Perraud': '3118', 'Youssouf Sabaly': '1702', 'Ricardo Rodriguez': '1436', 'Guilherme Fernandes': '0', 'Hector Bellerin': '-748', 'Marciano Sanca': '-1371', 'Carlos Guirao': '-3895', 'Sergi Altimira': '-14414', 'Chimy Avila': '-19834', 'Marc Roca': '-32088', 'Natan': '-60568', 'Rui Silva': '-64369', 'Ez Abde': '-95098', 'Pablo Fornals': '-101238', 'Assane Diao': '7629'}"
Celta,"{'Marcos Alonso': '59206', 'Carl Starfelt': '39249', 'Vicente Guaita': '28911', 'Ilaix Moriba': '11583', 'Mihailo Ristic': '8438', 'Tadeo Allende': '8409', 'Alfonso Gonzalez': '8391', 'Cesar Fernandez': '8382', 'Javier Manquillo': '8358', 'Franco Cervi': '8336', 'Luca De La Torre': '8333', 'Sergio Carreira': '8323', 'Marc Vidal': '8301', 'Joseph Aidoo': '8184', 'Hugo Sotelo': '7754', 'Jailson': '7462', 'Carlos Dominguez': '7352', 'Pablo Duran': '7063', 'Damian Rodriguez': '6585', 'Jonathan Bamba': '4640', 'Ivan Villar': '3639', 'Javi Rodriguez': '849', 'Coke Carrillo': '0', 'Ivan Garri': '0', 'Anastasios Douvikas': '-1433', 'Fran Beltran': '-7370', 'Hugo Alvarez': '-19561', 'Williot Swedberg': '-59610', 'Oscar Mingueza': '-111203', 'Borja Iglesias': '-140382', 'Iago Aspas': '-311210'}"
Espanyol,"{'Javi Puado': '64639', 'Joan Garcia': '60368', 'Antoniu Roca': '8448', 'Jose Luis Catala': '8446', 'Omar Sadik': '8441', 'Rafel Bauza': '8441', 'Salvi Sanchez': '8370', 'Edu Exposito': '8327', 'Pol Lozano': '8303', 'Jose Gragera': '8252', 'Angel Fortuño': '8177', 'Brian Olivan': '8173', 'Pere Milla': '7923', 'Fernando Pacheco': '7893', 'Sergi Gomez': '7470', 'Irvin Cardona': '7467', 'Alvaro Aguado': '7405', 'Walid Cheddira': '7198', 'Fernando Calero': '7038', 'Leandro Cabrera': '6782', 'Omar El Hilali': '3334', 'Alejo Veliz': '2402', 'Marash Kumbulla': '2365', 'Llorenç Serred': '0', 'Angel Gomez': '0', 'Joan Puig': '0', 'Carlos Romero': '-9965', 'Alvaro Tejero': '-12155', 'Alex Kral': '-18067', 'Jofre Carreras': '-45477'}"
Getafe,"{'Omar Alderete': '118651', 'Borja Mayoral': '30613', 'Coba Gomes': '8478', 'Gorka Rivera': '8466', 'Diego Ferrer': '8420', 'Fabrizio Angileri': '8411', 'Alberto Risco': '8391', 'John Patrick Finn': '8389', 'Domingos Duarte': '8384', 'Yellu Santiago': '8284', 'Carles Aleña': '8109', 'Jiri Letacek': '8096', 'Peter Gonzalez': '7687', 'Nabil Aberdin': '7424', 'Juan Berrocal': '7101', 'Bertug Yildirim': '6470', 'Alvaro Rodriguez': '5733', 'Chrisantus Uche': '-14422', 'Alex Sola': '-16232', 'Carles Perez': '-20036', 'Juan Iglesias': '-20723', 'Mauro Arambarri': '-28212', 'Dakonam Djene': '-30768', 'Allan Nyom': '-43749', 'David Soria': '-82990', 'Diego Rico': '-89454', 'Luis Milla': '-235837'}"
Girona,"{'Miguel Gutierrez': '411147', 'David Lopez': '94635', 'Donny Van De Beek': '35031', 'Ricard Artero': '32656', 'Ladislav Krejci': '30072', 'Arnau Martinez': '18779', 'Jhon Solis': '8427', 'Juan Carlos Martin': '8094', 'Juanpe Ramirez': '7902', 'Gabriel Misehouy': '7752', 'Cristian Portu': '7017', 'Oriol Romeu': '6101', 'Christian Stuani': '5651', 'Alejandro Frances': '4109', 'Bojan Miovski': '1004', 'Silvi Clua': '0', 'Yaser Asprilla': '-118', 'Abel Ruiz': '-13119', 'Arnaut Danjuma': '-28739', 'Viktor Tsygankov': '-32434', 'Daley Blind': '-46533', 'Ivan Martin': '-51516', 'Paulo Gazzaniga': '-59205', 'Yangel Herrera': '-76749', 'Bryan Gil': '-172484', 'Pau Lopez': '6161'}"
Las Palmas,"{'Sandro Ramirez': '763574', 'Kirian Rodriguez': '239758', 'Jasper Cillessen': '122150', 'Fábio Silva': '37123', 'Mika Marmol': '27379', 'Scott Mckenna': '24122', 'Javi Muñoz': '17355', 'Alvaro Killane': '8454', 'Benito Ramirez': '8431', 'Valentin Pezzolesi': '8416', 'Daley Sinkgraven': '8409', 'Pejiño': '8345', 'Marc Cardona': '8195', 'Juanma Herzog': '8194', 'Marvin Park': '7920', 'Enzo Loiodice': '7916', 'Jaime Mata': '7848', 'Dinko Horkas': '7573', 'Fuster': '7503', 'Viti Rozada': '6370', 'Adnan Januzaj': '5970', 'Alvaro Valles': '2259', 'Alex Suarez': '-593', 'Jose Campaña': '-599', 'Dario Essugo': '-9428', 'Alex Muñoz': '-28088', 'Oliver Mcburnie': '-28856', 'Alberto Moleiro': '-89679', 'Fabio': '8456', 'Ivan Gil': '7890'}"
Leganés,"{'Joao Urbaez': '8474', 'Alvin Abajas': '8471', 'Julian Chicco': '8407', 'Diego Garcia': '8181', 'Jackson Porozo': '7983', 'Adria Altimira': '7741', 'Daniel Raba': '7200', 'Munir El Haddadi': '6713', 'Matija Nastasic': '6648', 'Miguel De La Fuente': '6189', 'Roberto Lopez': '5645', 'Enric Franquesa': '3497', 'Renato Tapia': '1312', 'Oscar Rodriguez': '-4098', 'Darko Brasanac': '-4162', 'Marko Dmitrovic': '-5182', 'Juan Soriano': '-10359', 'Valentin Rosier': '-15080', 'Sebastien Haller': '-20822', 'Jorge Saenz': '-21052', 'Yvan Neyou': '-23845', 'Javi Hernandez': '-25740', 'Seydouba Cisse': '-40611', 'Sergio Gonzalez': '-41187', 'Juan Cruz': '-483433'}"
Mallorca,"{'Pablo Maffeo': '203308', 'Cyle Larin': '44367', 'Daniel Luna': '8448', 'Javi Llabres': '8435', 'Siebe Van Der Heyden': '8418', 'Ivan Cuellar': '8370', 'Jan Salas': '8311', 'Antonio Lato': '8268', 'Mateu Morey': '8011', 'Abdon Prats': '7734', 'Valery Fernandez': '7426', 'Chiquinho': '6223', 'Jose Manuel Copete': '5723', 'Takuma Asano': '5299', 'Omar Mascarell': '4482', 'Leo Roman': '3907', 'Antonio Sanchez': '2939', 'Dominik Greif': '-15148', 'Vedat Muriqi': '-48283', 'Robert Navarro': '-51561', 'Manuel Morlanes': '-59004', 'Martin Valjent': '-121499', 'Sergi Darder': '-127186', 'Samu Costa': '-289686', 'Johan Mojica': '-330384', 'Dani Rodriguez': '-358403', 'Antonio Raillo': '-515961'}"
Osasuna,"{'Lucas Torro': '17224', 'Dimitrios Stamatakis': '8449', 'Unai Garcia': '8365', 'Jose Arnaiz': '8357', 'Kike Barja': '8356', 'Javi Martinez': '8317', 'Juan Cruz': '8296', 'Nacho Vidal': '8266', 'Aitor Fernandez': '8239', 'Ruben Peña': '7769', 'Iker Muñoz': '7760', 'Pablo Ibañez': '7420', 'Raul Garcia': '7188', 'Moi Gomez': '6588', 'Jorge Herrando': '6407', 'Pablo Valencia': '0', 'Jon Moncayola': '-224', 'Jesus Areso': '-30289', 'Alejandro Catena': '-31816', 'Abel Bretones': '-64398', 'Sergio Herrera': '-82666', 'Ruben Garcia': '-88529', 'Aimar Oroz': '-166836', 'Boyomo': '-197577', 'Bryan Zaragoza': '-488364', 'Ante Budimir': '-515177', 'Iker Benito': '8514'}"
Rayo,"{'Isi Palazon': '359528', 'Abdul Mumin': '225143', 'Florian Lejeune': '123515', 'Andrei Ratiu': '74253', 'Marco De La Sias': '8429', ""Etienne Eto'O"": '8404', 'Aridane Hernandez': '8260', 'Raul De Tomas': '8229', 'Joni Montiel': '8182', 'Oscar Trejo': '8101', 'Randy Nteka': '7896', 'Pelayo Fernandez': '7877', 'Pedro Diaz': '7865', 'Gerard Gumbau': '7862', 'Pep Chavarria': '7670', 'Pacha Espino': '7362', 'Ivan Balliu': '6648', 'Dani Cardenas': '6555', 'Pathe Ciss': '2857', 'Sergi Guardiola': '1501', 'Diego Mendez': '0', 'Adrian Embarba': '-646', 'Unai Lopez': '-31056', 'Alvaro Garcia': '-31272', 'Oscar Valentin': '-32308', 'James Rodriguez': '-50202', 'Augusto Batalla': '-54185', 'Sergio Camello': '-72018', 'Jorge De Frutos': '-215056'}"
Real Madrid,"{'Rodrygo Goes': '1255961', 'Jude Bellingham': '470986', 'Kylian Mbappe': '297143', 'Lucas Vazquez': '181025', 'Eduardo Camavinga': '106187', 'Brahim Diaz': '44011', 'Dani Ceballos': '31213', 'David Alaba': '10737', 'Jacobo Ramon': '8419', 'Jesus Vallejo': '7817', 'Diego Piñeiro': '0', 'Andriy Lunin': '-16454', 'Endrick': '-32589', 'Raul Asencio': '-32802', 'Arda Guler': '-61048', 'Ferland Mendy': '-69284', 'Fran Garcia': '-73566', 'Daniel Carvajal': '-84031', 'Aurelien Tchouameni': '-100339', 'Luka Modric': '-231622', 'Eder Militao': '-240375', 'Thibaut Courtois': '-258654', 'Antonio Rudiger': '-362883', 'Federico Valverde': '-733509', 'Vinicius Junior': '-1701010'}"
Real Sociedad,"{'Luka Sucic': '238112', 'Egoitz Arana': '8438', 'Unai Marrero': '8416', 'Jon Martin': '8403', 'Aitor Fraga': '8402', 'Urko Gonzalez De Zarate': '8389', 'Jon Ander Olasagasti': '8376', 'Alvaro Odriozola': '8262', 'Pablo Marin': '8101', 'Arsen Zakharyan': '7988', 'Aihen Muñoz': '7725', 'Aritz Elustondo': '7221', 'Jon Pacheco': '4152', 'Beñat Turrientes': '2426', 'Hamari Traore': '1407', 'Orri Steinn Oskarsson': '-9631', 'Javi Lopez': '-9822', 'Ander Barrenetxea': '-17552', 'Jon Aramburu': '-19008', 'Sheraldo Becker': '-48538', 'Brais Mendez': '-67622', 'Nayef Aguerd': '-129450', 'Mikel Oyarzabal': '-154859', 'Alex Remiro': '-156623', 'Igor Zubeldia': '-263654', 'Sergio Gomez': '-369191', 'Takefusa Kubo': '-447505', 'Martin Zubimendi': '-617116', 'Umar Sadiq': '4917', 'Magunacelaya': '5594'}"
Sevilla,"{'Dodi Lukebakio': '449139', 'Isaac Romero': '41217', 'Chidera Ejuke': '31986', 'Matias Arbol': '8466', 'Alberto Flores': '8416', 'Pablo Rivera': '8403', 'Alberto Collado': '8403', 'Pedro Ortiz': '8366', 'Marcao': '8338', 'Suso Fernandez': '8258', 'Stanis Idumbo Muzambo': '8132', 'Tanguy Nianzou': '7791', 'Gonzalo Montiel': '5955', 'Manu Bueno': '5612', 'Alvaro Fernandez': '5490', 'Peque': '5164', 'Kelechi Iheanacho': '4895', 'Lucien Agoume': '4105', 'Juanlu Sanchez': '3542', 'Valentin Barco': '3516', 'Kike Salas': '1574', 'Djibril Sow': '405', 'Saul Ñiguez': '-392', 'Nemanja Gudelj': '-12588', 'Albert Sambi Lokonga': '-15476', 'Adria Pedrosa': '-22857', 'Jose Angel Carmona': '-39386', 'Örjan Nyland': '-54672', 'Loic Bade': '-57884', 'Jesus Navas': '-18788'}"
Valencia,"{'Luis Rioja': '240279', 'Diego Lopez': '56220', 'Umar Sadiq': '13163', 'Martin Tejon': '8449', 'David Otorbi': '8441', 'Iker Cordoba': '8429', 'Raul Jimenez': '8403', 'Rodrigo Abajas': '8403', 'Ali Fadal': '8403', 'Jaume Domenech': '8364', 'Mouctar Diakhaby': '8288', 'Sergi Canos': '8076', 'Fran Perez': '8014', 'Dimitri Foulquier': '7989', 'Hugo Guillamon': '7747', 'Dani Gomez': '7405', 'Yarek Gasiorowski': '7193', 'Maximiliano Caufriez': '7123', 'Jesus Vazquez': '6732', 'Rafa Mir': '6343', 'Stole Dimitrievski': '5498', 'Enzo Barrenechea': '2008', 'Andre Almeida': '1279', 'Mario Dominguez': '0', 'Ruben Iranzo': '0', 'Thierry Correia': '-1804', 'Javi Guerra': '-11645', 'Jose Gaya': '-19898', 'Cesar Tarrega': '-25292', 'Hugo Duro': '-33105', 'Christian Mosquera': '-71810', 'Pepelu': '-135872', 'Giorgi Mamardashvili': '-150146'}"
