Alavés,"{'Julen Lartitegi': '2892', 'Eneko Ortiz': '2877', 'Adrian Pica': '2755', 'Adrian Rodriguez': '2584', 'Abde Rebbach': '1961', 'Joan Jordan': '1454', 'Santiago Mouriño': '1358', 'Jesus Owono': '1183', 'Ander Sanchez': '0', 'Gaizka Garcia': '0', 'Tomas Mendes': '0', 'Moussa Diarra': '-903', 'Carlos Martin': '-1597', 'Hugo Novoa': '-1820', 'Asier Villalibre': '-2593', 'Carlos Benavidez': '-4995', 'Luka Romero': '-10912', 'Aleksandar Sedlar': '-15770', 'Jon Guridi': '-17892', 'Tomas Conechny': '-18396', 'Kike Garcia': '-19754', 'Manu Sanchez': '-23096', 'Ander Guevara': '-34443', 'Toni Martinez': '-40057', 'Abdel Abqar': '-48579', 'Stoichkov': '-55798', 'Antonio Blanco': '-62564', 'Nahuel Tenaglia': '-108824', 'Antonio Sivera': '-176353', 'Carlos Vicente': '-342785'}"
Athletic,"{'Alex Berenguer': '583491', 'Oscar De Marcos': '161798', 'Iñigo Ruiz De Galarreta': '63753', 'Julen Agirrezabala': '27740', 'Aitor Paredes': '19933', 'Yuri Berchiche': '17909', 'Oier Gastesi': '2243', 'Adama Boiro': '1286', 'Javier Marton': '973', 'Nico Serrano': '281', 'Ander Herrera': '19', 'Iñigo Lekue': '-1843', 'Alex Padilla': '-4081', 'Unai Gomez': '-4871', 'Mikel Jauregizar': '-13201', 'Mikel Vesga': '-18066', 'Alvaro Djalo': '-21228', 'Unai Simon': '-26863', 'Unai Nuñez': '-39932', 'Andoni Gorosabel': '-44053', 'Beñat Prados': '-47306', 'Yeray Alvarez': '-57257', 'Gorka Guruzeta': '-216633', 'Dani Vivian': '-229852', 'Nico Williams': '-258642', 'Iñaki Williams': '-290235', 'Oihan Sancet': '-778708'}"
Atlético,"{'Jose Maria Gimenez': '686363', 'Julian Alvarez': '503000', 'Jan Oblak': '475733', 'Koke Resurreccion': '302617', 'Pablo Barrios': '280514', 'Giuliano Simeone': '197741', 'Nahuel Molina': '141728', 'Marcos Llorente': '52096', 'Clement Lenglet': '21554', 'Ilias Kostis': '2649', 'Antonio Gomis': '2648', 'Alejandro Iturbe': '2003', 'Selu Diallo': '0', 'Martin Pascual': '-24', 'Thomas Lemar': '-167', 'Reinildo Mandava': '-6289', 'Juan Musso': '-7820', 'Javi Galan': '-9467', 'Rodrigo Riquelme': '-32738', 'Cesar Azpilicueta': '-50132', 'Angel Correa': '-57033', 'Axel Witsel': '-109121', 'Rodrigo De Paul': '-159052', 'Robin Le Normand': '-320370', 'Alexander Sorloth': '-366854', 'Samuel Lino': '-410400', 'Conor Gallagher': '-673990', 'Antoine Griezmann': '-966827'}"
Barcelona,"{'Marc Casado': '1256372', 'Alejandro Balde': '584240', 'Iñigo Martinez': '532469', 'Dani Olmo': '482598', 'Iñaki Peña': '474771', 'Pau Cubarsi': '385494', 'Raphinha': '56446', 'Ander Astralaga': '2395', 'Andres Cuenca': '2218', 'Sergi Dominguez': '2216', 'Gerard Martin': '1819', 'Diego Kochen': '1049', 'Ivan Cedric': '0', 'Marc Bernal': '-2119', 'Pau Victor': '-14668', 'Hector Fort': '-19860', 'Andreas Christensen': '-38910', 'Ronald Araujo': '-40084', 'Pablo Torre': '-45738', 'Fermin Lopez': '-47862', 'Ansu Fati': '-48977', 'Ferran Torres': '-90464', 'Eric Garcia': '-122218', 'Jules Kounde': '-122341', 'Pablo Gavi': '-202142', 'Robert Lewandowski': '-222937', 'Wojciech Szczesny': '-286073', 'Marc-Andre Ter Stegen': '-328225', 'Frenkie De Jong': '-431684', 'Pedri Gonzalez': '-686427', 'Lamine Yamal': '-1204284'}"
Betis,"{'Giovani Lo Celso': '2113857', 'Pablo Fornals': '689131', 'Vitor Roque': '581211', 'Marc Bartra': '488766', 'Diego Javier Llorente': '430830', 'Ez Abde': '298461', 'Johnny Cardoso': '186468', 'Sergi Altimira': '10095', 'Francisco Vieites': '2726', 'Manu Gonzalez': '2626', 'Lucas Alcazar': '2409', 'Guilherme Fernandes': '0', 'Adrian San Miguel': '-805', 'Marciano Sanca': '-1371', 'Carlos Guirao': '-3895', 'Iker Losada': '-6783', 'Assane Diao': '-11653', 'Carvalho': '-14010', 'Romain Perraud': '-14421', 'Juanmi Jimenez': '-15360', 'Natan': '-19010', 'Aitor Ruibal': '-19409', 'Chimy Avila': '-25614', 'Cedric Bakambu': '-31578', 'Youssouf Sabaly': '-43667', 'Ricardo Rodriguez': '-57158', 'Hector Bellerin': '-62591', 'Rui Silva': '-68843', 'Isco': '-119011', 'Marc Roca': '-226054'}"
Celta,"{'Williot Swedberg': '92041', 'Carl Starfelt': '41614', 'Anastasios Douvikas': '14737', 'Mihailo Ristic': '2593', 'Tadeo Allende': '2297', 'Alfonso Gonzalez': '2115', 'Cesar Fernandez': '2017', 'Javi Rodriguez': '1807', 'Javier Manquillo': '1779', 'Franco Cervi': '1544', 'Luca De La Torre': '1519', 'Sergio Carreira': '1416', 'Marc Vidal': '1187', 'Pablo Duran': '1110', 'Coke Carrillo': '0', 'Ivan Garri': '0', 'Joseph Aidoo': '-5', 'Ilaix Moriba': '-3063', 'Hugo Sotelo': '-4419', 'Jailson': '-7409', 'Carlos Dominguez': '-8534', 'Marcos Alonso': '-10420', 'Jonathan Bamba': '-14783', 'Vicente Guaita': '-15674', 'Damian Rodriguez': '-16386', 'Fran Beltran': '-30288', 'Ivan Villar': '-44742', 'Hugo Alvarez': '-46100', 'Iago Aspas': '-145438', 'Oscar Mingueza': '-161476', 'Borja Iglesias': '-390196'}"
Espanyol,"{'Javi Puado': '6038', 'Antoniu Roca': '2696', 'Jose Luis Catala': '2678', 'Omar Sadik': '2626', 'Rafel Bauza': '2626', 'Salvi Sanchez': '1898', 'Edu Exposito': '1457', 'Pol Lozano': '1216', 'Jose Gragera': '692', 'Llorenç Serred': '0', 'Angel Gomez': '0', 'Joan Puig': '0', 'Angel Fortuño': '-78', 'Brian Olivan': '-123', 'Pere Milla': '-2684', 'Fernando Pacheco': '-2987', 'Sergi Gomez': '-7319', 'Irvin Cardona': '-7356', 'Leandro Cabrera': '-7640', 'Alvaro Aguado': '-7986', 'Walid Cheddira': '-10115', 'Fernando Calero': '-11754', 'Omar El Hilali': '-42077', 'Alvaro Tejero': '-46026', 'Marash Kumbulla': '-52596', 'Alejo Veliz': '-53228', 'Carlos Romero': '-72274', 'Alex Kral': '-81580', 'Jofre Carreras': '-117277', 'Joan Garcia': '-337453'}"
Getafe,"{'Omar Alderete': '248985', 'Luis Milla': '175176', 'Mauro Arambarri': '82917', 'Carles Perez': '6016', 'Coba Gomes': '3009', 'Gorka Rivera': '2882', 'Diego Ferrer': '2405', 'Fabrizio Angileri': '2323', 'Alberto Risco': '2115', 'John Patrick Finn': '2098', 'Domingos Duarte': '2045', 'Yellu Santiago': '1018', 'Carles Aleña': '-773', 'Jiri Letacek': '-906', 'Alvaro Rodriguez': '-3134', 'Diego Rico': '-3671', 'Peter Gonzalez': '-5100', 'Nabil Aberdin': '-7796', 'Juan Berrocal': '-11106', 'Juan Iglesias': '-12017', 'Bertug Yildirim': '-16230', 'Alex Sola': '-37917', 'Chrisantus Uche': '-50217', 'Allan Nyom': '-98804', 'Borja Mayoral': '-130120', 'Dakonam Djene': '-225687', 'David Soria': '-233659'}"
Girona,"{'Miguel Gutierrez': '1118481', 'Bryan Gil': '311937', 'Yangel Herrera': '186136', 'Daley Blind': '83326', 'David Lopez': '74665', 'Arnau Martinez': '57113', 'Ricard Artero': '32656', 'Jhon Solis': '2484', 'Silvi Clua': '0', 'Juan Carlos Martin': '-934', 'Juanpe Ramirez': '-2897', 'Gabriel Misehouy': '-4431', 'Christian Stuani': '-9558', 'Cristian Portu': '-11965', 'Oriol Romeu': '-13488', 'Bojan Miovski': '-16766', 'Donny Van De Beek': '-24068', 'Pau Lopez': '-25517', 'Alejandro Frances': '-41394', 'Yaser Asprilla': '-60740', 'Ladislav Krejci': '-67177', 'Viktor Tsygankov': '-108557', 'Abel Ruiz': '-134102', 'Paulo Gazzaniga': '-174252', 'Ivan Martin': '-190845', 'Arnaut Danjuma': '-232105'}"
Las Palmas,"{'Alberto Moleiro': '547079', 'Fabio Silva': '238711', 'Kirian Rodriguez': '217573', 'Sandro Ramirez': '202240', 'Alex Muñoz': '71061', 'Jasper Cillessen': '29977', 'Alex Suarez': '21228', 'Dario Essugo': '8022', 'Viti Rozada': '5001', 'Alvaro Killane': '2754', 'Benito Ramirez': '2519', 'Valentin Pezzolesi': '2371', 'Daley Sinkgraven': '2299', 'Fabio Gonzalez': '2075', 'Pejiño': '1638', 'Marc Cardona': '102', 'Juanma Herzog': '95', 'Ivan Gil': '-2460', 'Marvin Park': '-2709', 'Enzo Loiodice': '-2756', 'Jose Campaña': '-2855', 'Jaime Mata': '-3449', 'Dinko Horkas': '-6267', 'Fuster': '-6985', 'Scott Mckenna': '-14956', 'Adnan Januzaj': '-22688', 'Javi Muñoz': '-23272', 'Mika Marmol': '-42107', 'Alvaro Valles': '-57408', 'Oliver Mcburnie': '-96473'}"
Leganés,"{'Juan Cruz': '695708', 'Sergio Gonzalez': '223069', 'Darko Brasanac': '70078', 'Marko Dmitrovic': '33198', 'Alvin Abajas': '29189', 'Miguel De La Fuente': '9579', 'Renato Tapia': '8022', 'Joao Urbaez': '2961', 'Julian Chicco': '2277', 'Adria Altimira': '1226', 'Diego Garcia': '-38', 'Jackson Porozo': '-2065', 'Matija Nastasic': '-9891', 'Daniel Raba': '-10016', 'Seydouba Cisse': '-10992', 'Munir El Haddadi': '-15077', 'Roberto Lopez': '-26026', 'Oscar Rodriguez': '-30289', 'Yvan Neyou': '-37694', 'Enric Franquesa': '-48027', 'Valentin Rosier': '-80077', 'Javi Hernandez': '-103243', 'Juan Soriano': '-108276', 'Jorge Saenz': '-113905', 'Sebastien Haller': '-163907'}"
Mallorca,"{'Samu Costa': '196395', 'Manuel Morlanes': '103943', 'Pablo Maffeo': '62152', 'Antonio Raillo': '30276', 'Robert Navarro': '15924', 'Daniel Luna': '2701', 'Javi Llabres': '2566', 'Siebe Van Der Heyden': '2394', 'Jan Salas': '2115', 'Ivan Cuellar': '1899', 'Antonio Lato': '850', 'Martin Valjent': '-42', 'Mateu Morey': '-1780', 'Abdon Prats': '-4620', 'Valery Fernandez': '-7776', 'Chiquinho': '-20101', 'Omar Mascarell': '-23836', 'Jose Manuel Copete': '-25223', 'Takuma Asano': '-29566', 'Leo Roman': '-34148', 'Antonio Sanchez': '-37552', 'Cyle Larin': '-40107', 'Dominik Greif': '-43008', 'Johan Mojica': '-61899', 'Sergi Darder': '-92405', 'Vedat Muriqi': '-304504', 'Dani Rodriguez': '-539739'}"
