Alavés,"{'Carlos Vicente': '18248519', 'Abdel Abqar': '3860552', 'Antonio Sivera': '12131055', 'Antonio Blanco': '8028757', 'Adrian Pica': '177459', 'Eneko Ortiz': '207500', 'Julen Lartitegi': '207500', 'Ander Sanchez': '600000', 'Gaizka Garcia': '400000', 'Tomas Mendes': '500000', 'Joan Jordan': '338579', 'Adrian Rodriguez': '341359', 'Kike Garcia': '4543511', 'Nahuel Tenaglia': '3156170', 'Ander Guevara': '4812409', 'Abde Rebbach': '612857', 'Manu Sanchez': '2100223', 'Asier Villalibre': '1944109', 'Jesus Owono': '876198', 'Santiago Mouriño': '871715', 'Moussa Diarra': '1811302', 'Carlos Benavidez': '2073374', 'Carlos Martin': '1806795', 'Hugo Novoa': '2144212', 'Tomas Conechny': '2978559', 'Toni Martinez': '4546021', 'Stoichkov': '3810010', 'Jon Guridi': '5358603', 'Aleksandar Sedlar': '3889461', 'Luka Romero': '5179497'}"
Athletic,"{'Oihan Sancet': '59164546', 'Yeray Alvarez': '11661430', 'Dani Vivian': '31735803', 'Beñat Prados': '4929786', 'Julen Agirrezabala': '2949552', 'Oier Gastesi': '480395', 'Mikel Jauregizar': '669743', 'Iñigo Lekue': '1405139', 'Adama Boiro': '906907', 'Javier Marton': '1042894', 'Ander Herrera': '1311587', 'Alex Padilla': '1552308', 'Nico Serrano': '1344384', 'Unai Gomez': '2053196', 'Mikel Vesga': '4048035', 'Oscar De Marcos': '7275923', 'Unai Nuñez': '4501733', 'Alvaro Djalo': '6163567', 'Aitor Paredes': '8637676', 'Alex Berenguer': '8368563', 'Andoni Gorosabel': '7035604', 'Iñigo Ruiz De Galarreta': '7473929', 'Yuri Berchiche': '16364373', 'Unai Simon': '14243795', 'Iñaki Williams': '49997511', 'Gorka Guruzeta': '42026284', 'Nico Williams': '79443990'}"
Atlético,"{'Marcos Llorente': '38064340', 'Pablo Barrios': '13816702', 'Robin Le Normand': '43193296', 'Jose Maria Gimenez': '14301611', 'Koke Resurreccion': '14346750', 'Rodrigo Riquelme': '6502451', 'Angel Correa': '5826748', 'Cesar Azpilicueta': '9324880', 'Reinildo Mandava': '4477681', 'Martin Pascual': '275954', 'Selu Diallo': '1000000', 'Ilias Kostis': '313132', 'Antonio Gomis': '313488', 'Alejandro Iturbe': '594467', 'Giuliano Simeone': '844736', 'Juan Musso': '3044381', 'Thomas Lemar': '1538317', 'Rodrigo De Paul': '31083557', 'Antoine Griezmann': '84637715', 'Javi Galan': '2959066', 'Clement Lenglet': '5945214', 'Nahuel Molina': '6216251', 'Samuel Lino': '37725524', 'Jan Oblak': '47705322', 'Axel Witsel': '18552486', 'Conor Gallagher': '36329890', 'Alexander Sorloth': '66235056', 'Julian Alvarez': '68854319'}"
Barcelona,"{'Dani Olmo': '68270807', 'Raphinha': '58501953', 'Pedri Gonzalez': '46384789', 'Robert Lewandowski': '96127106', 'Lamine Yamal': '115247145', 'Pau Cubarsi': '40422884', 'Iñigo Martinez': '22459352', 'Jules Kounde': '41426941', 'Ferran Torres': '7488698', 'Alejandro Balde': '37505034', 'Marc Casado': '4294659', 'Marc-Andre Ter Stegen': '54403254', 'Diego Kochen': '1528634', 'Ivan Cedric': '2000000', 'Ander Astralaga': '419908', 'Sergi Dominguez': '494397', 'Andres Cuenca': '500807', 'Gerard Martin': '588100', 'Iñaki Peña': '982650', 'Pau Victor': '2178889', 'Marc Bernal': '2326556', 'Pablo Torre': '2843562', 'Hector Fort': '3549452', 'Ansu Fati': '5031264', 'Pablo Gavi': '10270425', 'Frenkie De Jong': '10713761', 'Fermin Lopez': '17179498', 'Andreas Christensen': '11280222', 'Ronald Araujo': '14467491', 'Eric Garcia': '13614284'}"
Betis,"{'Marc Bartra': '25936247', 'Vitor Roque': '16988961', 'Youssouf Sabaly': '6368188', 'William Carvalho': '4483093', 'Diego Javier Llorente': '14608430', 'Ez Abde': '3890250', 'Francisco Vieites': '279458', 'Guilherme Fernandes': '300000', 'Cedric Bakambu': '8000000', 'Marciano Sanca': '521249', 'Lucas Alcazar': '417791', 'Aitor Ruibal': '1733851', 'Sergi Altimira': '1427760', 'Rodri Sanchez': '2456594', 'Adrian San Miguel': '1786312', 'Hector Bellerin': '2975833', 'Iker Losada': '3784460', 'Juanmi Jimenez': '5799122', 'Assane Diao': '4139196', 'Rui Silva': '23043500', 'Romain Perraud': '5994545', 'Johnny Cardoso': '6180234', 'Chimy Avila': '6999416', 'Marc Roca': '10840600', 'Ricardo Rodriguez': '11436377', 'Pablo Fornals': '21650091', 'Natan': '14180799', 'Isco Alarcon': '37742581'}"
Celta,"{'Oscar Mingueza': '17301866', 'Iago Aspas': '58034595', 'Ivan Villar': '4177258', 'Williot Swedberg': '7459841', 'Borja Iglesias': '6810410', 'Carl Starfelt': '3794928', 'Fran Beltran': '5817845', 'Coke Carrillo': '300000', 'Ivan Garri': '300000', 'Mihailo Ristic': '337523', 'Tadeo Allende': '466707', 'Cesar Fernandez': '585167', 'Jailson': '1555502', 'Javi Rodriguez': '678020', 'Javier Manquillo': '687568', 'Sergio Carreira': '825827', 'Carlos Dominguez': '3608691', 'Franco Cervi': '794466', 'Luca De La Torre': '796644', 'Pablo Duran': '947563', 'Marc Vidal': '949990', 'Joseph Aidoo': '1442127', 'Ilaix Moriba': '2065291', 'Hugo Sotelo': '2124346', 'Vicente Guaita': '3593293', 'Anastasios Douvikas': '5101702', 'Marcos Alonso': '6852244', 'Jonathan Bamba': '6082778', 'Damian Rodriguez': '5685820', 'Hugo Alvarez': '7596124'}"
Espanyol,"{'Joan Garcia': '4975262', 'Carlos Romero': '2521354', 'Alex Kral': '5675059', 'Omar El Hilali': '3696940', 'Alvaro Tejero': '2683291', 'Fernando Calero': '1889548', 'Jofre Carreras': '1602012', 'Alvaro Aguado': '1989718', 'Antoniu Roca': '292892', 'Omar Sadik': '300000', 'Rafel Bauza': '300000', 'Jose Luis Catala': '300000', 'Llorenç Serred': '1500000', 'Angel Gomez': '300000', 'Joan Puig': '1000000', 'Angel Fortuño': '1500000', 'Jose Gragera': '818708', 'Salvi Sanchez': '640265', 'Edu Exposito': '832239', 'Pol Lozano': '937243', 'Brian Olivan': '1343272', 'Sergi Gomez': '1674722', 'Marash Kumbulla': '2387690', 'Walid Cheddira': '3567587', 'Fernando Pacheco': '2509010', 'Pere Milla': '2531043', 'Irvin Cardona': '3285384', 'Leandro Cabrera': '3691782', 'Javi Puado': '15507231'}"
Getafe,"{'Luis Milla': '9397534', 'Dakonam Djene': '9448228', 'Juan Iglesias': '2115382', 'Omar Alderete': '6021753', 'Gorka Rivera': '300000', 'Diego Ferrer': '419476', 'Fabrizio Angileri': '455348', 'Chrisantus Uche': '1876640', 'Domingos Duarte': '569216', 'Carles Aleña': '1341101', 'Yellu Santiago': '1017363', 'Mauro Arambarri': '1256005', 'Jiri Letacek': '1842608', 'Carles Perez': '3483163', 'Juan Berrocal': '1867215', 'Alex Sola': '5131655', 'Bertug Yildirim': '2627330', 'Peter Gonzalez': '3087104', 'Diego Rico': '7406920', 'Borja Mayoral': '13426951', 'David Soria': '28748391'}"
Girona,"{'Bryan Gil': '20621009', 'Viktor Tsygankov': '28099168', 'Yangel Herrera': '25956577', 'Arnaut Danjuma': '14466547', 'Daley Blind': '23718373', 'Miguel Gutierrez': '29073098', 'Abel Ruiz': '8695826', 'Silvi Clua': '300000', 'Ricard Artero': '1500000', 'Jhon Solis': '383790', 'Alejandro Frances': '3011245', 'Christian Stuani': '2162589', 'David Lopez': '15588912', 'Juan Carlos Martin': '1840353', 'Gabriel Misehouy': '2666498', 'Juanpe Ramirez': '2633956', 'Cristian Portu': '3909760', 'Oriol Romeu': '4340447', 'Ivan Martin': '18321153', 'Bojan Miovski': '6302383', 'Yaser Asprilla': '7708102', 'Arnau Martinez': '5779734', 'Donny Van De Beek': '9579155', 'Ladislav Krejci': '8383713', 'Pau Lopez': '9338652', 'Paulo Gazzaniga': '31891997'}"
Las Palmas,"{'Alberto Moleiro': '16408041', 'Jasper Cillessen': '15846162', 'Sandro Ramirez': '6020209', 'Oliver Mcburnie': '5427903', 'Marvin Park': '1562477', 'Adnan Januzaj': '2418983', 'Benito Ramirez': '370042', 'Jose Campaña': '777854', 'Daley Sinkgraven': '465405', 'Fabio Gonzalez': '563066', 'Pejiño': '742124', 'Javi Muñoz': '4523189', 'Juanma Herzog': '1226457', 'Marc Cardona': '1422252', 'Viti Rozada': '2169223', 'Scott Mckenna': '4019416', 'Dinko Horkas': '2302093', 'Enzo Loiodice': '2472948', 'Jaime Mata': '2642298', 'Ivan Gil': '2496185', 'Alex Suarez': '4601127', 'Alex Muñoz': '3516953', 'Fuster': '3853265', 'Mika Marmol': '10000913', 'Kirian Rodriguez': '17666442', 'Alvaro Valles': '16473502'}"
Leganés,"{'Juan Cruz': '8829485', 'Sergio Gonzalez': '5418459', 'Juan Soriano': '5930359', 'Javi Hernandez': '6506692', 'Seydouba Cisse': '4364671', 'Yvan Neyou': '2834866', 'Valentin Rosier': '3919866', 'Matija Nastasic': '1502872', 'Jorge Saenz': '1592762', 'Darko Brasanac': '433957', 'Alvin': '177459', 'Joao Urbaez': '177459', 'Carlos Guirao': '179169', 'Julian Chicco': '475377', 'Oscar Rodriguez': '4694300', 'Diego Garcia': '1415726', 'Daniel Raba': '2899719', 'Marko Dmitrovic': '2082402', 'Jackson Porozo': '2331327', 'Enric Franquesa': '5347231', 'Adria Altimira': '2676779', 'Renato Tapia': '3244945', 'Miguel De La Fuente': '3729238', 'Roberto Lopez': '3866322', 'Munir El Haddadi': '6143582'}"
Mallorca,"{'Vedat Muriqi': '31590183', 'Johan Mojica': '17461903', 'Martin Valjent': '8460549', 'Antonio Raillo': '10821588', 'Dani Rodriguez': '8041835', 'Samu Costa': '5372092', 'Pablo Maffeo': '6320596', 'Dominik Greif': '3176572', 'Manuel Morlanes': '1321956', 'Leo Roman': '2066717', 'Robert Navarro': '866873', 'Daniel Luna': '286458', 'Javi Llabres': '349154', 'Sergi Darder': '16609355', 'Siebe Van Der Heyden': '413435', 'Ivan Cuellar': '639654', 'Antonio Lato': '872020', 'Antonio Sanchez': '1352015', 'Valery Fernandez': '748223', 'Omar Mascarell': '1753978', 'Abdon Prats': '1072763', 'Jose Manuel Copete': '1166289', 'Cyle Larin': '1418671', 'Mateu Morey': '2223995', 'Takuma Asano': '6814257'}"
Osasuna,"{'Boyomo': '4397478', 'Ruben Garcia': '15100401', 'Bryan Zaragoza': '30810530', 'Alejandro Catena': '11347480', 'Lucas Torro': '3723340', 'Dimitrios Stamatakis': '285875', 'Pablo Valencia': '500000', 'Iker Benito': '357709', 'Unai Garcia': '663926', 'Jose Arnaiz': '699114', 'Kike Barja': '700652', 'Javi Martinez': '876606', 'Juan Cruz': '968505', 'Nacho Vidal': '1105941', 'Aitor Fernandez': '1199865', 'Abel Bretones': '3962807', 'Raul Garcia': '1574561', 'Ruben Peña': '2152093', 'Jon Moncayola': '3796175', 'Pablo Ibañez': '3083906', 'Jesus Areso': '3966489', 'Iker Muñoz': '3253050', 'Moi Gomez': '5363263', 'Aimar Oroz': '13792503', 'Jorge Herrando': '6486771', 'Sergio Herrera': '20609677', 'Ante Budimir': '34262093'}"
Rayo,"{'Jorge De Frutos': '6349914', 'Abdul Mumin': '7376300', 'Oscar Valentin': '5183119', 'Dani Cardenas': '3242500', 'Alvaro Garcia': '4987646', 'Unai Lopez': '4362103', 'Adrian Embarba': '4488842', 'Florian Lejeune': '13012922', 'Pacha Espino': '4001425', 'Diego Mendez': '300000', 'Pep Chavarria': '402041', 'Andrei Ratiu': '475784', 'Randy Nteka': '1644955', 'Pathe Ciss': '2510122', 'Sergio Camello': '12176447', 'Aridane Hernandez': '1070748', 'Raul De Tomas': '1266216', 'Joni Montiel': '1476994', 'Oscar Trejo': '1770508', 'Ivan Balliu': '2888286', 'Gerard Gumbau': '2442165', 'Augusto Batalla': '2837158', 'Pedro Diaz': '2798778', 'Isi Palazon': '18024523'}"
