Alavés,"{'Joan Jordan': '701880', 'Julen Lartitegi': '662472', 'Eneko Ortiz': '662533', 'Adrian Pica': '663018', 'Adrian Rodriguez': '663696', 'Abde Rebbach': '666180', 'Santiago Mouriño': '668578', 'Jesus Owono': '669274', 'Moussa Diarra': '677584', 'Carlos Martin': '680351', 'Hugo Novoa': '681236', 'Asier Villalibre': '684316', 'Carlos Benavidez': '693881', 'Luka Romero': '717444', 'Aleksandar Sedlar': '736793', 'Tomas Conechny': '747252', 'Ander Sanchez': '600000', 'Gaizka Garcia': '400000', 'Tomas Mendes': '500000', 'Manu Sanchez': '765963', 'Toni Martinez': '848967', 'Stoichkov': '967487', 'Kike Garcia': '2011491', 'Ander Guevara': '1502554', 'Jon Guridi': '1693234', 'Abdel Abqar': '2223125', 'Nahuel Tenaglia': '1921662', 'Antonio Blanco': '3100424', 'Antonio Sivera': '5359696', 'Carlos Vicente': '35120366'}"
Athletic,"{'Alex Berenguer': '41232340', 'Iñaki Williams': '68943431', 'Dani Vivian': '44881427', 'Gorka Guruzeta': '17574805', 'Unai Simon': '6774394', 'Julen Agirrezabala': '9892831', 'Iñigo Ruiz De Galarreta': '8224653', 'Aitor Paredes': '7911267', 'Mikel Jauregizar': '814019', 'Peio Canales': '664452', 'Oier Gastesi': '665054', 'Adama Boiro': '668868', 'Javier Marton': '670111', 'Nico Serrano': '672869', 'Ander Herrera': '673913', 'Iñigo Lekue': '681324', 'Alex Padilla': '690241', 'Unai Gomez': '697687', 'Mikel Vesga': '745932', 'Alvaro Djalo': '814690', 'Unai Nuñez': '845792', 'Andoni Gorosabel': '894555', 'Beñat Prados': '1480277', 'Yeray Alvarez': '3316502', 'Yuri Berchiche': '8644108', 'Oscar De Marcos': '11339911', 'Nico Williams': '66270305', 'Oihan Sancet': '57607021'}"
Atlético,"{'Rodrigo De Paul': '44453578', 'Alexander Sorloth': '44409738', 'Pablo Barrios': '27183261', 'Jan Oblak': '47376963', 'Clement Lenglet': '6812867', 'Javi Galan': '1942693', 'Nahuel Molina': '2333735', 'Antonio Gomis': '663442', 'Ilias Kostis': '663440', 'Geronimo Spina': '664452', 'Javi Serrano': '664452', 'Alejandro Iturbe': '666012', 'Thomas Lemar': '674653', 'Juan Musso': '705128', 'Selu Diallo': '1000000', 'Martin Pascual': '275441', 'Rodrigo Riquelme': '1195847', 'Cesar Azpilicueta': '1271940', 'Reinildo Mandava': '1572436', 'Giuliano Simeone': '10985093', 'Axel Witsel': '2915384', 'Angel Correa': '3284378', 'Samuel Lino': '10161868', 'Robin Le Normand': '18477244', 'Koke Resurreccion': '17022569', 'Conor Gallagher': '13288247', 'Antoine Griezmann': '108443937', 'Marcos Llorente': '47768425', 'Julian Alvarez': '67725781', 'Jose Maria Gimenez': '40828184'}"
Barcelona,"{'Pedri Gonzalez': '90347091', 'Raphinha': '132023353', 'Frenkie De Jong': '18380192', 'Ferran Torres': '6322929', 'Pablo Gavi': '17257761', 'Ronald Araujo': '9364305', 'Iñaki Peña': '24438174', 'Pau Victor': '992654', 'Aron Yaakobishvili': '656154', 'Ander Astralaga': '664453', 'Andres Cuenca': '665155', 'Sergi Dominguez': '665163', 'Gerard Martin': '666744', 'Diego Kochen': '669812', 'Marc Bernal': '682425', 'Ivan Cedric': '2000000', 'Hector Fort': '786504', 'Andreas Christensen': '828982', 'Ansu Fati': '1072976', 'Pablo Torre': '1146774', 'Eric Garcia': '1701104', 'Fermin Lopez': '3605363', 'Marc-Andre Ter Stegen': '3975612', 'Wojciech Szczesny': '4263419', 'Lamine Yamal': '119226919', 'Jules Kounde': '42825507', 'Alejandro Balde': '35141709', 'Iñigo Martinez': '44653394', 'Pau Cubarsi': '43672736', 'Marc Casado': '55883568', 'Dani Olmo': '70805970', 'Robert Lewandowski': '110286020'}"
Betis,"{'Isco': '15553659', 'Giovani Lo Celso': '91386701', 'Marc Bartra': '17605177', 'Vitor Roque': '20682449', 'Ez Abde': '23864549', 'Johnny Cardoso': '3054598', 'Francisco Vieites': '663130', 'Manu Gonzalez': '663529', 'Lucas Alcazar': '664396', 'Adrian San Miguel': '677193', 'Iker Losada': '701001', 'Assane Diao': '720398', 'Carvalho': '729783', 'Juanmi Jimenez': '735158', 'Guilherme Fernandes': '300000', 'Marciano Sanca': '521249', 'Aitor Ruibal': '790648', 'Cedric Bakambu': '800272', 'Carlos Guirao': '178656', 'Romain Perraud': '1730776', 'Ricardo Rodriguez': '949365', 'Hector Bellerin': '1038459', 'Youssouf Sabaly': '1257929', 'Sergi Altimira': '2181664', 'Chimy Avila': '1816331', 'Marc Roca': '2582940', 'Diego Javier Llorente': '24829230', 'Natan': '4670227', 'Pablo Fornals': '13012157', 'Rui Silva': '15192377'}"
Celta,"{'Marcos Alonso': '3937316', 'Vicente Guaita': '4602895', 'Carl Starfelt': '5635405', 'Ilaix Moriba': '847895', 'Javi Rodriguez': '803445', 'Pablo Duran': '704021', 'Mihailo Ristic': '663662', 'Tadeo Allende': '664844', 'Alfonso Gonzalez': '665566', 'Cesar Fernandez': '665954', 'Javier Manquillo': '666903', 'Franco Cervi': '667840', 'Luca De La Torre': '667942', 'Sergio Carreira': '668347', 'Marc Vidal': '669263', 'Joseph Aidoo': '674010', 'Hugo Sotelo': '691583', 'Jailson': '703496', 'Carlos Dominguez': '707975', 'Damian Rodriguez': '739243', 'Coke Carrillo': '300000', 'Ivan Garri': '300000', 'Jonathan Bamba': '818629', 'Ivan Villar': '859450', 'Fran Beltran': '1550313', 'Anastasios Douvikas': '1066427', 'Hugo Alvarez': '2261086', 'Williot Swedberg': '4751265', 'Borja Iglesias': '13063537', 'Oscar Mingueza': '30522533', 'Iago Aspas': '43944858'}"
Espanyol,"{'Joan Garcia': '18620484', 'Antoniu Roca': '663254', 'Jose Luis Catala': '663322', 'Omar Sadik': '663529', 'Rafel Bauza': '663529', 'Salvi Sanchez': '666431', 'Edu Exposito': '668185', 'Pol Lozano': '669147', 'Jose Gragera': '671232', 'Angel Fortuño': '674298', 'Brian Olivan': '674476', 'Pere Milla': '684677', 'Fernando Pacheco': '685883', 'Sergi Gomez': '703138', 'Irvin Cardona': '703283', 'Alvaro Aguado': '705791', 'Walid Cheddira': '714270', 'Fernando Calero': '720797', 'Leandro Cabrera': '730235', 'Llorenç Serred': '1500000', 'Angel Gomez': '300000', 'Joan Puig': '1000000', 'Omar El Hilali': '871912', 'Alejo Veliz': '909945', 'Marash Kumbulla': '911460', 'Carlos Romero': '1414560', 'Alvaro Tejero': '1503891', 'Alex Kral': '2032950', 'Javi Puado': '10606282', 'Jofre Carreras': '4442680'}"
Getafe,"{'Omar Alderete': '22029895', 'Coba Gomes': '662003', 'Gorka Rivera': '662510', 'Diego Ferrer': '664409', 'Fabrizio Angileri': '664738', 'Alberto Risco': '665566', 'John Patrick Finn': '665635', 'Domingos Duarte': '665845', 'Yellu Santiago': '669933', 'Carles Aleña': '677064', 'Jiri Letacek': '677596', 'Peter Gonzalez': '694298', 'Nabil Aberdin': '705035', 'Juan Berrocal': '718216', 'Bertug Yildirim': '743960', 'Alvaro Rodriguez': '774027', 'Chrisantus Uche': '1970141', 'Alex Sola': '1670249', 'Borja Mayoral': '1674603', 'Carles Perez': '1817548', 'Juan Iglesias': '2471115', 'Mauro Arambarri': '3465652', 'Allan Nyom': '3029904', 'Dakonam Djene': '5229378', 'Diego Rico': '5523377', 'David Soria': '13341398', 'Luis Milla': '44260732'}"
Girona,"{'Miguel Gutierrez': '52776223', 'David Lopez': '11286149', 'Donny Van De Beek': '4436212', 'Arnau Martinez': '2642821', 'Ricard Artero': '1182519', 'Ladislav Krejci': '2185959', 'Yaser Asprilla': '1932031', 'Jhon Solis': '664095', 'Juan Carlos Martin': '677706', 'Juanpe Ramirez': '685528', 'Gabriel Misehouy': '691636', 'Cristian Portu': '721639', 'Silvi Clua': '300000', 'Oriol Romeu': '758996', 'Pau Lopez': '775608', 'Christian Stuani': '777358', 'Alejandro Frances': '840280', 'Bojan Miovski': '966983', 'Arnaut Danjuma': '3904035', 'Abel Ruiz': '2070592', 'Ivan Martin': '5064206', 'Viktor Tsygankov': '4032411', 'Paulo Gazzaniga': '17386965', 'Yangel Herrera': '10698185', 'Daley Blind': '11476555', 'Bryan Gil': '29302695'}"
Las Palmas,"{'Sandro Ramirez': '24805309', 'Kirian Rodriguez': '16224629', 'Jasper Cillessen': '10353299', 'Fábio Silva': '21806120', 'Javi Muñoz': '1123185', 'Scott Mckenna': '923927', 'Mika Marmol': '1104729', 'Jose Campaña': '790098', 'Alvaro Killane': '663023', 'Benito Ramirez': '663959', 'Valentin Pezzolesi': '664547', 'Daley Sinkgraven': '664832', 'Fabio': '665724', 'Pejiño': '667468', 'Marc Cardona': '673582', 'Juanma Herzog': '673612', 'Ivan Gil': '683784', 'Marvin Park': '684779', 'Enzo Loiodice': '684964', 'Jaime Mata': '687724', 'Dinko Horkas': '698948', 'Fuster': '701804', 'Viti Rozada': '748046', 'Adnan Januzaj': '764343', 'Alvaro Valles': '915773', 'Alex Suarez': '1017301', 'Dario Essugo': '1311517', 'Alex Muñoz': '2109868', 'Oliver Mcburnie': '2186992', 'Alberto Moleiro': '40041267'}"
