Real Madrid,"['Vinicius Junior', 'Vinicius Junior', 'Joselu', 'Jude Bellingham', 'Vinicius Junior', 'Joselu']"
FC Barcelona,"['Raphinha', 'Robert Lewandowski', 'İlkay Gündoğan', 'Robert Lewandowski', 'Robert Lewandowski', 'İlkay Gündoğan']"
Real Sociedad,"['André Silva', 'Brais Méndez', 'Mikel Oyarzabal', 'Carlos Fernández', 'Brais Méndez', 'Mikel Oyarzabal']"
Atlético de Madrid,"['Antoine Griezmann', 'Álvaro Morata', 'Ángel Correa', 'Antoine Griezmann', 'Antoine Griezmann', 'Antoine Griezmann']"
Athletic Bilbao,"['Álex Berenguer', 'Gorka Guruzeta', 'Oihan Sancet', 'Asier Villalibre', 'Álex Berenguer', 'Mikel Vesga']"
Girona FC,"['Artem Dovbyk', 'Artem Dovbyk', 'Artem Dovbyk', 'Cristhian Stuani', 'Cristhian Stuani', 'Artem Dovbyk']"
Valencia CF,"['Pepelu', 'Pepelu', 'Pepelu', 'Pepelu', 'Pepelu', 'Pepelu']"
Villarreal CF,"['Dani Parejo', 'Gerard Moreno', 'Álex Baena', 'Dani Parejo', 'Gerard Moreno', 'Manu Trigueros']"
Sevilla FC,"['Youssef En-Nesyri', 'Lucas Ocampos', 'Sergio Ramos', 'Sergio Ramos', 'Nemanja Gudelj', 'Gonzalo Montiel']"
Real Betis Balompié,"['Abde Ezzalzouli', 'Isco', 'Isco', 'Nabil Fekir', 'Marc Roca', 'Willian José']"
Celta de Vigo,"['Iago Aspas', 'Anastasios Douvikas', 'Iago Aspas', 'Anastasios Douvikas', 'Iago Aspas', 'Iago Aspas']"
CA Osasuna,"['Ante Budimir', 'Ante Budimir', 'Ante Budimir', 'Ante Budimir', 'Aimar Oroz', 'Chimy Ávila']"
Deportivo Alavés,"['Luis Rioja', 'Luis Rioja', 'Luis Rioja', 'Luis Rioja', 'Ianis Hagi', 'Kike García']"
UD Las Palmas,"['Sandro Ramírez', 'Munir El Haddadi', 'Marc Cardona', 'Jonathan Viera', 'Jonathan Viera', 'Jonathan Viera']"
Getafe CF,"['Mason Greenwood', 'Mason Greenwood', 'Borja Mayoral', 'Mason Greenwood', 'Borja Mayoral', 'Borja Mayoral']"
Granada CF,"['Antonio Puertas', 'Myrto Uzuni', 'Myrto Uzuni', 'Myrto Uzuni', 'Myrto Uzuni', 'Bryan Zaragoza']"
RCD Mallorca,"['Abdón Prats', 'Abdón Prats', 'Vedat Muriqi', 'Vedat Muriqi', 'Vedat Muriqi', 'Vedat Muriqi']"
UD Almería,"['Adrián Embarba', 'Luis Suárez', 'Adrián Embarba', 'Gonzalo Melero', 'Largie Ramazani']"
Rayo Vallecano,"['Raúl de Tomás', 'Radamel Falcao', 'Bebé', 'Radamel Falcao', 'Isi Palazón', 'Randy Nteka']"
Cádiz CF,"['Rubén Alcaraz', 'Rubén Alcaraz', 'Darwin Machís', 'Théo Bongonda', 'Rubén Alcaraz', 'Rubén Alcaraz']"
