Real Madrid,"['Vinicius Junior', 'Kylian Mbappé', 'Kylian Mbappé', 'Vinicius Junior', 'Kylian Mbappé', 'Vinicius Junior']"
FC Barcelona,"['Robert Lewandowski', 'Robert Lewandowski', 'Robert Lewandowski', 'Raphinha', 'Robert Lewandowski', 'İlkay Gündoğan']"
Atlético de Madrid,"['Antoine Griezmann', 'Julián Alvarez', 'Antoine Griezmann', 'Álvaro Morata', 'Ángel Correa', 'Antoine Griezmann']"
Real Sociedad,"['Mikel Oyarzabal', 'André Silva', 'Brais Méndez', 'Mikel Oyarzabal', 'Carlos Fernández', 'Brais Méndez']"
Athletic Bilbao,"['Ander Herrera', 'Álex Berenguer', 'Oihan Sancet', 'Álex Berenguer', 'Gorka Guruzeta', 'Oihan Sancet']"
Valencia CF,"['Pepelu', 'Alberto Marí', 'Pepelu', 'Pepelu', 'Pepelu', 'Pepelu']"
Villarreal CF,"['Gerard Moreno', 'Dani Parejo', 'Álex Baena', 'Dani Parejo', 'Dani Parejo', 'Gerard Moreno']"
Girona FC,"['Cristhian Stuani', 'Cristhian Stuani', 'Cristhian Stuani', 'Bojan Miovski', 'Abel Ruiz', 'Artem Dovbyk']"
Real Betis Balompié,"['Ez Abde', 'Giovani Lo Celso', 'Ez Abde', 'Isco', 'Isco', 'Nabil Fekir']"
Sevilla FC,"['Dodi Lukébakio', 'Youssef En-Nesyri', 'Lucas Ocampos', 'Sergio Ramos', 'Sergio Ramos', 'Nemanja Gudelj']"
UD Las Palmas,"['Fábio Silva', 'Sandro Ramírez', 'Munir El Haddadi', 'Marc Cardona', 'Jonathan Viera', 'Jonathan Viera']"
CA Osasuna,"['Ante Budimir', 'Iker Benito', 'Ante Budimir', 'Ante Budimir', 'Ante Budimir', 'Ante Budimir']"
RCD Mallorca,"['Abdón Prats', 'Abdón Prats', 'Abdón Prats', 'Vedat Muriqi', 'Vedat Muriqi', 'Vedat Muriqi']"
Deportivo Alavés,"['Jon Guridi', 'Luka Romero', 'Asier Villalibre', 'Giuliano Simeone', 'Luis Rioja', 'Luis Rioja']"
Celta de Vigo,"['Iago Aspas', 'Iago Aspas', 'Iago Aspas', 'Iago Aspas', 'Anastasios Douvikas', 'Iago Aspas']"
RCD Espanyol Barcelona,"['Javi Puado', 'Martin Braithwaite', 'Martin Braithwaite', 'Martin Braithwaite', 'Martin Braithwaite', 'Martin Braithwaite']"
Getafe CF,"['Mauro Arambarri', 'Mauro Arambarri', 'Luis Milla', 'Borja Mayoral', 'Mason Greenwood', 'Mason Greenwood']"
Rayo Vallecano,"['Raúl de Tomás', 'Raúl de Tomás', 'Radamel Falcao', 'Bebé', 'Radamel Falcao', 'Isi Palazón']"
CD Leganés,"['Miguel de la Fuente', 'Dani Raba', 'Diego García', 'Dani Raba', 'Yvan Neyou', 'Miguel de la Fuente']"
Real Valladolid CF,"['Víctor Meseguer', 'Mamadou Sylla', 'Selim Amallah', 'Mamadou Sylla', 'Mamadou Sylla', 'Marcos André']"
