Girona,"{'Aleix García': 7.43, 'Arnau Martínez': 6.79, 'Artem Dovbyk': 7.02, 'Bernardo Espinosa': 6.81, 'Borja García': 6.75, 'Yan Couto': 6.82, 'Cristhian Stuani': 6.74, 'Daley Blind': 6.96, 'David López': 7.11, 'Eric García': 6.86, 'Ibrahima Kébé': 6.5, 'Iván Martín': 6.7, 'Jastin García': 8.2, 'Jhon Solís': 6.76, 'Juan Carlos': 6.58, 'Juanpe': 6.63, 'Kim Min-sung': 6.0, 'Marc Aznar': 6.0, 'Miguel Gutiérrez': 6.79, 'Pablo Torre': 6.82, 'Paulo Gazzaniga': 6.93, 'Portu': 6.66, 'Sávio': 7.31, 'Selvi Clua Oya': 6.0, 'Silvi Clúa': 6.6, 'Toni Fuidias': 6.8, 'Toni Villa': 6.51, 'Valery Fernández': 6.64, 'Viktor Tsygankov': 7.05, 'Yangel Herrera': 6.89}"
Real Madrid,"{'Andriy Lunin': 7.0, 'Antonio Rüdiger': 6.89, 'Arda Güler': 7.45, 'Aurélien Tchouaméni': 7.08, 'Brahim Díaz': 6.8, 'Eduardo Camavinga': 7.02, 'Dani Ceballos': 6.99, 'Daniel Carvajal': 6.92, 'David Alaba': 6.91, 'Éder Militão': 7.15, 'Federico Valverde': 7.26, 'Ferland Mendy': 6.68, 'Fran García': 6.78, 'Joselu': 7.01, 'Jude Bellingham': 7.63, 'Kepa Arrizabalaga': 6.99, 'Lucas Vázquez': 6.97, 'Luka Modrić': 7.07, 'Nacho Fernández': 6.87, 'Rodrygo': 7.08, 'Thibaut Courtois': 7.18, 'Toni Kroos': 7.36, 'Vinícius Júnior': 7.09}"
Atl. Madrid,"{'Antonio Gomis Aleman': 6.0, 'Álvaro Morata': 7.02, 'Ángel Correa': 6.83, 'Antoine Griezmann': 7.6, 'Axel Witsel': 6.83, 'Çağlar Söyüncü': 6.86, 'César Azpilicueta': 6.76, 'Ivo Grbić': 6.98, 'Jan Oblak': 7.0, 'Javi Galán': 6.95, 'José María Giménez': 7.12, 'Koke': 6.93, 'Reinildo Isnard Mandava': 6.98, 'Marcos Llorente': 6.98, 'Mario Hermoso': 6.95, 'Memphis Depay': 6.74, 'Mini': 6.4, 'Nahuel Molina': 6.95, 'Pablo Barrios': 6.8, 'Rodrigo de Paul': 7.23, 'Rodrigo Riquelme': 6.79, 'Samuel Lino': 6.98, 'Saúl Ñíguez': 6.91, 'Stefan Savić': 6.9, 'Thomas Lemar': 6.81, 'Vitolo': 6.8, 'Yannick Carrasco': 7.13}"
Barcelona,"{'Alejandro Baldé': 6.82, 'Andreas Christensen': 6.99, 'Fermín López': 6.95, 'Ferran Torres': 6.93, 'Frenkie de Jong': 7.21, 'Gavi': 6.93, 'Marc Guiu': 7.4, 'İlkay Gündoğan': 7.16, 'Iñaki Peña': 7.13, 'Iñigo Martínez': 7.01, 'João Cancelo': 7.09, 'João Félix': 7.02, 'Jules Koundé': 7.07, 'Lamine Yamal': 7.0, 'Marc-André ter Stegen': 7.05, 'Marcos Alonso': 6.79, 'Oriol Romeu': 6.88, 'Pedri': 7.16, 'Raphinha': 7.23, 'Robert Lewandowski': 7.21, 'Ronald Araújo': 7.02, 'Sergi Roberto': 6.75}"
Betis,"{'Ez Abde': 6.82, 'Abner Vinícius': 6.64, 'Aitor Ruibal': 6.82, 'Andrés Guardado': 6.82, 'Assane Diao': 6.91, 'Ayoze Pérez': 6.82, 'Borja Iglesias': 6.72, 'Chadi Riad': 5.8, 'Claudio Bravo': 7.15, 'Fran Barbosa': 6.0, 'Germán Pezzella': 6.97, 'Guido Rodríguez': 6.96, 'Héctor Bellerín': 6.74, 'Isco': 7.41, 'Juan Cruz': 6.5, 'Juan Miranda': 6.98, 'Luiz Henrique': 6.8, 'Marc Bartra': 6.87, 'Marc Roca': 6.88, 'Nabil Fekir': 7.3, 'Rodri Sánchez': 7.07, 'Rui Silva': 6.82, 'Sergi Altimira': 6.0, 'Sokratis': 6.93, 'Gines Sorroche Pinero': 6.0, 'Carvalho': 6.96, 'Willian José': 6.91, 'Youssouf Sabaly': 6.93}"
Real Sociedad,"{'Aihen Muñoz': 6.84, 'Álex Remiro': 7.11, 'Álvaro Odriozola': 6.2, 'Ander Barrenetxea': 6.84, 'André Silva': 6.54, 'Aritz Elustondo': 6.73, 'Arsen Zakharyan': 7.01, 'Beñat Turrientes': 6.72, 'Brais Méndez': 7.13, 'Carlos Fernández': 6.65, 'Eneko Astigarraga': 6.0, 'Aitor Fraga': 6.0, 'Hamari Traore': 7.02, 'Hugo Martín': 6.0, 'Igor Zubeldia': 6.84, 'Jon Ander Olasagasti': 6.6, 'Jon Pacheco': 6.82, 'Kieran Tierney': 6.75, 'Takefusa Kubo': 7.23, 'Martín Merquelanz': 7.4, 'Martín Zubimendi': 6.93, 'Mikel Merino': 7.04, 'Mikel Oyarzabal': 6.73, 'Mohamed-Ali Cho': 6.64, 'Pablo Marín': 6.6, 'Robin Le Normand': 6.9, 'Umar Sadiq': 6.48, 'Unai Marrero': 7.0, 'Urko González': 6.4}"
Athletic Club,"{'Adu Ares': 6.0, 'Álex Berenguer': 6.88, 'Ander Herrera': 6.79, 'Asier Villalibre': 6.8, 'Beñat Prados': 6.75, 'Dani García': 6.77, 'Daniel Vivian': 6.88, 'Gorka Guruzeta': 6.84, 'Iker Muniain': 7.03, 'Iñaki Williams': 6.99, 'Iñigo Ruiz de Galarreta': 6.82, 'Adu Ares': 7.08, 'Mikel Vesga': 6.84, 'Nico Williams': 6.89, 'Oihan Sancet': 6.8, 'Óscar de Marcos': 6.88, 'Peru Nolaskoain Esnal': 6.92, 'Raúl García': 6.67, 'Unai Gómez': 7.2, 'Wibuala Junior Bita': 6.0, 'Yeray Álvarez': 6.82, 'Yuri Berchiche': 6.98}"
Rayo Vallecano,"{'Abdul Mumin': 6.58, 'Pacha Espino': 6.93, 'Álvaro García': 6.98, 'Andrei Rațiu': 6.88, 'Aridane Hernández': 6.92, 'Bebé': 6.97, 'Dani Cárdenas': 7.13, 'Florian Lejeune': 6.85, 'Isi Palazón': 7.04, 'Pathé Ciss': 6.74, 'Ivan Balliu': 6.75, 'Jorge de Frutos': 6.74, 'José Pozo': 8.0, 'Josep Chavarría': 6.71, 'Kike Pérez': 6.79, 'Mario Ramos': 6.0, 'Martín Pascual': 6.81, 'Miguel Benedí': 6.0, 'Óscar Trejo': 6.56, 'Óscar Valentín': 6.68, 'Radamel Falcao': 6.63, 'Randy Nteka': 6.7, 'Raúl de Tomás': 6.8, 'Sergio Arribas': 6.0, 'Sergio Camello': 6.72, 'Stole Dimitrievski': 6.75, 'Unai López': 6.68}"
Las Palmas,"{'Aarón Escandell': 7.08, 'Alberto Moleiro': 6.87, 'Alex Suárez': 6.98, 'Álvaro Lemos': 6.87, 'Álvaro Valles': 7.13, 'Benito Ramírez': 6.8, 'Cristian Herrera': 6.85, 'Daley Sinkgraven': 6.7, 'Eric Curbelo': 7.05, 'Fabio': 6.85, 'Ale Gorrin': 6.0, 'Javier Muñoz': 6.58, 'Jonathan Viera': 7.22, 'Juanma Herzog': 6.0, 'Julian Araujo': 6.79, 'Kirian Rodríguez': 7.13, 'Enzo Loiodice': 6.88, 'Marc Cardona': 6.7, 'Máximo Perrone': 6.99, 'Mika Mármol': 7.04, 'Munir El Haddadi': 6.88, 'Omenuke Mfulu': 6.61, 'Marvin Park': 6.7, 'Pau': 7.9, 'Pejiño': 6.92, 'Sandro Ramírez': 7.15, 'Saúl Coco': 6.95, 'Sergi Cardona': 7.02, 'Sory Kaba': 6.71, 'Yadam': 6.7}"
Valencia,"{'Alberto Mari': 6.5, 'Selim Amallah': 6.78, 'André Almeida': 6.97, 'Cenk Özkaçar': 6.8, 'Thierry Correia': 6.87, 'Cristhian Mosquera': 6.73, 'Diego Lopez': 6.92, 'Dimitri Foulquier': 6.63, 'Fran Pérez': 6.6, 'Gabriel Paulista': 6.85, 'Hugo Duro': 6.77, 'Hugo Guillamón': 6.62, 'Javi Navarro': 6.0, 'Javier Guerra': 6.82, 'Jesús Vázquez': 6.61, 'José Luis Gayà': 7.04, 'Joselu': 6.0, 'Mouctar Diakhaby': 6.81, 'Pablo Gozálbez': 6.5, 'Pepelu': 7.25, 'Roman Yaremchuk': 6.53, 'Sergi Canós': 6.88}"
