Vinícius Júnior,7.11
Rodrygo,7.1
Joselu,7.03
Luka Modrić,7.07
Toni Kroos,7.39
Jude Bellingham,7.42
Federico Valverde,7.29
Eduardo Camavinga,6.91
Aurélien Tchouaméni,7.04
Arda Güler,7.37
Brahim Díaz,6.8
Dani Ceballos,6.97
Reinier,6.63
Éder Militão,7.13
David Alaba,6.89
Antonio Rüdiger,6.87
Daniel Carvajal,6.85
Ferland Mendy,6.68
Lucas Vázquez,6.96
Nacho Fernández,6.86
Álvaro Odriozola,6.0
Fran García,6.77
Thibaut Courtois,7.12
Kepa Arrizabalaga,7.04
Andriy Lunin,7.06
Radamel Falcao,6.56
Raúl de Tomás,6.82
Randy Nteka,6.63
Andrés Martín,6.0
Sergio Moreno,6.0
Ismaila Ciss,6.63
Isi Palazón,7.03
Óscar Trejo,6.61
Álvaro García,6.95
Óscar Valentín,6.72
Unai López,6.7
Bebé,6.94
Kike Pérez,6.87
Salvi,6.52
José Pozo,6.0
Pablo Muñoz,6.0
Alfonso Espino,6.9
Abdul Mumin,6.56
Florian Lejeune,6.85
Ivan Balliu,6.72
Aridane Hernández,6.93
Josep Chavarría,6.59
Martín Pascual,6.87
Jorge Moreno,6.0
Sergio Arribas,6.0
Stole Dimitrievski,6.67
Miguel Ángel Morro,6.0
Miguel Benedí,6.0
Samu Castillejo,6.8
Hugo Duro,6.63
Marcos André,6.62
Diego Lopez Noguerol,6.92
Fran Pérez,6.37
Alberto Mari,6.0
André Almeida,6.97
Hugo Guillamón,6.77
Sergi Canós,6.84
Pepelu,7.14
Javier Guerra,6.68
Javi Navarro,6.0
José Luis Gayà,7.14
Mouctar Diakhaby,6.88
Gabriel Paulista,6.84
Cenk Özkaçar,6.9
Thierry Correia,6.9
Eray Cömert,6.91
Jesús Vázquez,6.59
Dimitri Foulquier,6.62
Cristhian Mosquera,6.0
Giorgi Mamardashvili,6.84
Jaume Doménech,6.0
Cristian Rivero,6.0
Sávio,7.09
Artem Dovbyk,7.16
Cristhian Stuani,6.78
Manu Vallejo,6.76
Iker Almena,6.0
Pablo Torre,6.79
Viktor Tsygankov,7.04
Aleix García,7.34
Yangel Herrera,6.76
Yan Couto,6.73
Iván Martín,6.62
Toni Villa,6.48
Borja García,6.75
Ibrahima Kébé,6.0
Silvi Clúa,6.0
Daley Blind,6.94
Miguel Gutiérrez,6.68
Arnau Martínez,6.78
Alexander Callens,7.07
Santiago Bueno,6.81
David López,6.0
Bernardo Espinosa,6.69
Valery Fernández,6.62
Juanpe,6.59
Eric Monjonell,6.0
Marc Aznar,6.0
Paulo Gazzaniga,6.88
Toni Fuidias,6.0
Juan Carlos,6.0
Kim Min-sung,6.0
Jastin,6.0
Jastin García,6.0
Selvi Clua Oya,6.0
Antoine Griezmann,7.6
João Félix,6.87
Memphis Depay,6.72
Álvaro Morata,6.84
Ángel Correa,6.73
Samuel Lino,6.93
Borja Garcés,6.68
Rodrigo de Paul,7.14
Yannick Carrasco,6.87
Marcos Llorente,6.98
Axel Witsel,6.84
Saúl Ñíguez,6.79
Koke,6.84
Thomas Lemar,6.8
Rodrigo Riquelme,6.73
Pablo Barrios,6.7
Vitolo,6.0
Nahuel Molina,6.87
César Azpilicueta,6.81
Çağlar Söyüncü,6.89
José María Giménez,7.12
Reinildo Isnard Mandava,6.94
Stefan Savić,6.9
Mario Hermoso,6.96
Javi Galán,6.93
Alvaro Mouriño,6.0
Jan Oblak,6.92
Ivo Grbić,6.85
Antonio Gomis Aleman,6.0
Robert Lewandowski,7.24
Ansu Fati,6.75
Raphinha,7.19
Ferran Torres,6.81
Lamine Yamal,6.0
Abdessamad Ezzalzouli,6.75
Pedri,7.15
Frenkie de Jong,7.2
Gavi,6.89
İlkay Gündoğan,7.09
Oriol Romeu,6.88
Ronald Araújo,7.04
Jules Koundé,7.02
Alejandro Baldé,6.79
Andreas Christensen,6.99
Sergiño Dest,6.61
Marcos Alonso,6.88
