Alavés,"{'Antonio Sivera': '1.5305293005233', 'Luka Romero': '0', 'Aleksandar Sedlar': '0', 'Jesus Owono': '0', 'Ander Sanchez': '0', 'Gaizka Garcia': '0', 'Adrian Rodriguez': '0', 'Tomas Mendes': '0', 'Carlos Vicente': '0', 'Joaquin Panichelli': '0', 'Nikola Maras': '0', 'Asier Villalibre': '-1.3811222665143', 'Manu Sanchez': '-1.4418640246683', 'Abde Rebbach': '-3.0775909685292', 'Abdel Abqar': '-1.1843094656137', 'Jon Guridi': '-0.74006384462016', 'Nahuel Tenaglia': '-1.5056183740733', 'Luis Rioja': '-0.67150690693766', 'Ander Guevara': '-1.6885087246955', 'Antonio Blanco': '-1.7648175940873', 'Kike Garcia': '-2.5589520100747', 'Carlos Benavidez': '-2.7445740322819'}"
Athletic,"{'Iñaki Williams': '1.4216302560366', 'Oihan Sancet': '2.1795742960083', 'Gorka Guruzeta': '1.6731957411631', 'Dani Vivian': '1.8203498650199', 'Nico Williams': '0.34938122941453', 'Iñigo Ruiz De Galarreta': '1.9818684091504', 'Aitor Paredes': '0.16359530307161', 'Mikel Vesga': '0', 'Alex Berenguer': '0', 'Yuri Berchiche': '0', 'Oscar De Marcos': '0', 'Ander Herrera': '0', 'Unai Gomez': '0', 'Unai Egiluz': '0', 'Yeray Alvarez': '-0.047055960191349', 'Beñat Prados': '-0.42750705836341', 'Malcom Adu Ares': '-2.3348994911902', 'Julen Agirrezabala': '-1.655933229247', 'Iñigo Lekue': '-2.2070500782909', 'Andoni Gorosabel': '-0.72148214650467', 'Javier Marton': '-3.0913821064207', 'Nico Serrano': '-3.1739882615238', 'Alvaro Djalo': '-1.2300684721422', 'Unai Simon': '-2.3147661880786'}"
Atlético,"{'Robin Le Normand': '1.6111694248097', 'Jan Oblak': '1.5615203519398', 'Samuel Lino': '1.7725254815399', 'Antoine Griezmann': '0.69697088026169', 'Rodrigo De Paul': '1.1514923872999', 'Ilias Kostis': '0', 'Antonio Gomis': '0', 'Cesar Azpilicueta': '0', 'Samuel Omorodion': '0', 'Selu Diallo': '0', 'Giuliano Simeone': '0', 'Horatiu Moldovan': '-2.6510350348492', 'Joao Felix': '0', 'Axel Witsel': '0', 'Santiago Mouriño': '-3.0103373906641', 'Thomas Lemar': '-1.8166360756942', 'Jose Maria Gimenez': '-0.69842480630985', 'Arthur Vermeeren': '-2.2240057203182', 'Nahuel Molina': '-0.96142187997438', 'Angel Correa': '-1.1443862157676', 'Rodrigo Riquelme': '-1.3339362423694', 'Marcos Llorente': '-0.63067154436088', 'Koke Resurreccion': '-0.8799926834212', 'Reinildo Mandava': '-1.97200246991', 'Pablo Barrios': '-1.7798117790485', 'Javi Galan': '-2.7192460869443'}"
Barcelona,"{'Lamine Yamal': '2.2374153231111', 'Pau Cubarsi': '2.3664445704225', 'Alejandro Balde': '2.3611964558585', 'Marc-Andre Ter Stegen': '1.1651530113547', 'Robert Lewandowski': '0.75222065882524', 'Marc Casado': '0', 'Hector Fort': '0', 'Ander Astralaga': '0', 'Diego Kochen': '0', 'Iñigo Martinez': '0', 'Pablo Torre': '0', 'Eric Garcia': '0', 'Julian Araujo': '0', 'Vitor Roque': '0', 'Fermin Lopez': '0', 'Iñaki Peña': '-2.9011183512859', 'Oriol Romeu': '-2.7705602040657', 'Andreas Christensen': '-0.79637745173487', 'Raphinha': '-0.66734588872255', 'Ronald Araujo': '-0.72015506490143', 'Ferran Torres': '-2.1906076671599', 'Jules Kounde': '-0.66784981733433', 'Ilkay Gundogan': '-0.60616906573997', 'Pablo Gavi': '-1.6481475904145', 'Frenkie De Jong': '-2.0695536194027', 'Pedri Gonzalez': '-1.9563658210159'}"
Betis,"{'Ayoze Perez': '2.3304090817035', 'Rui Silva': '1.5524754637482', 'German Pezzella': '1.0940800540947', 'Nabil Fekir': '0.62362547697544', 'Juanmi Jimenez': '0', 'Marc Bartra': '0', 'Marc Roca': '0', 'Isco Alarcon': '0', 'Sergi Altimira': '0', 'Guilherme Fernandes': '0', 'Francisco Vieites': '0', 'Chimy Avila': '0', 'Assane Diao': '0', 'Johnny Cardoso': '0', 'Cedric Bakambu': '0', 'Pablo Fornals': '0', 'Ez Abde': '-1.2221081128875', 'Aitor Ruibal': '-2.7223483188166', 'Rodri Sanchez': '-2.1888743784288', 'William Carvalho': '-2.4455892969385', 'Youssouf Sabaly': '-2.0632385571958', 'Hector Bellerin': '-1.7122017584749'}"
Celta,"{'Iago Aspas': '1.065326624381', 'Unai Nuñez': '0', 'Carlos Dominguez': '0', 'Hugo Sotelo': '0', 'Coke Carrillo': '0', 'Ivan Garri': '0', 'Borja Iglesias': '0', 'Mihailo Ristic': '-1.6003858793677', 'Jailson': '-1.1344000932556', 'Javier Manquillo': '-1.8826899820637', 'Anastasios Douvikas': '-0.43802126440441', 'Tadeo Allende': '-2.7344921551373', 'Kevin Vazquez': '-2.7425768184103', 'Ivan Villar': '-1.8026680360097', 'Vicente Guaita': '-0.57287976933933', 'Oscar Mingueza': '-0.43339871146757', 'Joseph Aidoo': '-1.4406753082976', 'Luca De La Torre': '-2.6928698078539', 'Carl Starfelt': '-1.4306451941678', 'Franco Cervi': '-2.9515539063213', 'Williot Swedberg': '-2.0753140395734', 'Fran Beltran': '-1.7597088131268', 'Jonathan Bamba': '-1.160547470324'}"
Espanyol,"{'Javi Puado': '1.4050018566775', 'Joan Garcia': '0.99681009821488', 'Jose Gragera': '3.6930544197948', 'Kenneth Soler': '0', 'Antoniu Roca': '0', 'Gaston Valles': '0', 'Omar Sadik': '0', 'Rafel Bauza': '0', 'Jose Luis Catala': '0', 'Llorenç Serred': '0', 'Ian Forns': '0', 'Angel Gomez': '0', 'Joan Puig': '0', 'Angel Fortuño': '0', 'Roger Martinez': '0', 'Jose Carlos Lazo': '-2.4828026490506', 'Alvaro Aguado': '-1.5810393061522', 'Jofre Carreras': '-1.9662595060748', 'Salvi Sanchez': '-3.040594104345', 'Omar El Hilali': '-1.3509115076133', 'Edu Exposito': '-2.5816833321708', 'Leandro Cabrera': '-1.2760253547136', 'Pol Lozano': '-2.5649339078387', 'Fernando Calero': '-2.0090923072347', 'Pere Milla': '-1.4863285118332', 'Sergi Gomez': '-2.3647280019267', 'Fernando Pacheco': '-1.5098193879821', 'Brian Olivan': '-2.6263837598438', 'Carlos Romero': '-2.7063020320398', 'Alvaro Tejero': '-2.6585620607141'}"
Getafe,"{'David Soria': '2.2024238117612', 'Luis Milla': '1.001051799448', 'Alex Sola': '0', 'Gaston Alvarez': '0', 'Diego Rico': '0', 'Gorka Rivera': '0', 'Peter Gonzalez': '0', 'Jordi Martin': '0', 'Yellu Santiago': '-0.96104347430695', 'Fabrizio Angileri': '-2.6757602121137', 'Carles Perez': '-0.73126695922899', 'Domingos Duarte': '-2.2244519748775', 'Juan Iglesias': '-1.930553334653', 'Carles Aleña': '-1.6299718514909', 'Omar Alderete': '-1.2090401939853', 'Mauro Arambarri': '-1.9458412768124', 'Dakonam Djene': '-1.5327790989178', 'Borja Mayoral': '-1.2571516294235'}"
Girona,"{'Viktor Tsygankov': '0.71573766893858', 'Paulo Gazzaniga': '0.67044028678143', 'Arnau Martinez': '0.30118047632592', 'Juan Carlos Martin': '0', 'David Lopez': '0', 'Juanpe Ramirez': '0', 'Iker Almena': '0', 'Silvi Clua': '0', 'Ricard Artero': '0', 'Jhon Solis': '-2.1659484613575', 'Cristian Portu': '-0.73748522879866', 'Valery Fernandez': '-2.6669509045649', 'Toni Villa': '-2.9719689971284', 'Christian Stuani': '-2.2421062380379', 'Ivan Martin': '-0.84469943272538', 'Miguel Gutierrez': '-0.59901517164243', 'Daley Blind': '-1.053994147337', 'Yangel Herrera': '-0.980351583857', 'Artem Dovbyk': '-2.5177266515949'}"
Las Palmas,"{'Alvaro Valles': '1.3872768216667', 'Alberto Moleiro': '1.9406457441356', 'Mika Marmol': '0.86550922099978', 'Jaime Mata': '0', 'Marvin Park': '0', 'Alex Suarez': '0', 'Juanma Herzog': '0', 'Ivan Cedric': '0', 'Benito Ramirez': '-2.0386247988452', 'Adnan Januzaj': '0', 'Daley Sinkgraven': '-2.7108831568727', 'Sory Kaba': '-2.751792907253', 'Jose Campaña': '-2.0908914033972', 'Fabio Gonzalez': '-3.0591618486689', 'Pejiño': '-2.9603690583372', 'Sandro Ramirez': '-2.0530671307873', 'Javi Muñoz': '-2.1507363628158', 'Fuster': '-1.5392380275019', 'Marc Cardona': '-2.9932157919315', 'Enzo Loiodice': '-2.6062575411761', 'Kirian Rodriguez': '-0.7762917675255'}"
