Alavés,"{'Antonio Sivera': 'GK', 'Luka Romero': 'MID', 'Aleksandar Sedlar': 'DEF', 'Jesus Owono': 'GK', 'Ander Sanchez': 'MID', 'Gaizka Garcia': 'GK', 'Adrian Rodriguez': 'GK', 'Tomas Mendes': 'MID', 'Carlos Vicente': 'ATT', 'Joaquin Panichelli': 'ATT', 'Nikola Maras': 'DEF', 'Asier Villalibre': 'ATT', 'Manu Sanchez': 'DEF', 'Abde Rebbach': 'MID', 'Abdel Abqar': 'DEF', 'Jon Guridi': 'MID', 'Nahuel Tenaglia': 'DEF', 'Luis Rioja': 'MID', 'Ander Guevara': 'MID', 'Antonio Blanco': 'MID', 'Kike Garcia': 'ATT', 'Carlos Benavidez': 'MID'}"
Athletic,"{'Iñaki Williams': 'ATT', 'Oihan Sancet': 'MID', 'Gorka Guruzeta': 'ATT', 'Dani Vivian': 'DEF', 'Nico Williams': 'ATT', 'Iñigo Ruiz De Galarreta': 'MID', 'Aitor Paredes': 'DEF', 'Mikel Vesga': 'MID', 'Alex Berenguer': 'ATT', 'Yuri Berchiche': 'DEF', 'Oscar De Marcos': 'DEF', 'Ander Herrera': 'MID', 'Unai Gomez': 'MID', 'Unai Egiluz': 'DEF', 'Yeray Alvarez': 'DEF', 'Beñat Prados': 'MID', 'Malcom Adu Ares': 'ATT', 'Julen Agirrezabala': 'GK', 'Iñigo Lekue': 'DEF', 'Andoni Gorosabel': 'DEF', 'Javier Marton': 'ATT', 'Nico Serrano': 'ATT', 'Alvaro Djalo': 'ATT', 'Unai Simon': 'GK'}"
Atlético,"{'Robin Le Normand': 'DEF', 'Jan Oblak': 'GK', 'Samuel Lino': 'MID', 'Antoine Griezmann': 'ATT', 'Rodrigo De Paul': 'MID', 'Ilias Kostis': 'DEF', 'Antonio Gomis': 'GK', 'Cesar Azpilicueta': 'DEF', 'Samuel Omorodion': 'ATT', 'Selu Diallo': 'MID', 'Giuliano Simeone': 'ATT', 'Horatiu Moldovan': 'GK', 'Joao Felix': 'ATT', 'Axel Witsel': 'DEF', 'Santiago Mouriño': 'DEF', 'Thomas Lemar': 'MID', 'Jose Maria Gimenez': 'DEF', 'Arthur Vermeeren': 'MID', 'Nahuel Molina': 'DEF', 'Angel Correa': 'ATT', 'Rodrigo Riquelme': 'MID', 'Marcos Llorente': 'MID', 'Koke Resurreccion': 'MID', 'Reinildo Mandava': 'DEF', 'Pablo Barrios': 'MID', 'Javi Galan': 'DEF'}"
Barcelona,"{'Lamine Yamal': 'ATT', 'Pau Cubarsi': 'DEF', 'Alejandro Balde': 'DEF', 'Marc-Andre Ter Stegen': 'GK', 'Robert Lewandowski': 'ATT', 'Marc Casado': 'MID', 'Hector Fort': 'DEF', 'Ander Astralaga': 'GK', 'Diego Kochen': 'GK', 'Iñigo Martinez': 'DEF', 'Pablo Torre': 'MID', 'Eric Garcia': 'DEF', 'Julian Araujo': 'DEF', 'Vitor Roque': 'ATT', 'Fermin Lopez': 'MID', 'Iñaki Peña': 'GK', 'Oriol Romeu': 'MID', 'Andreas Christensen': 'DEF', 'Raphinha': 'ATT', 'Ronald Araujo': 'DEF', 'Ferran Torres': 'ATT', 'Jules Kounde': 'DEF', 'Ilkay Gundogan': 'MID', 'Pablo Gavi': 'MID', 'Frenkie De Jong': 'MID', 'Pedri Gonzalez': 'MID'}"
Betis,"{'Ayoze Perez': 'ATT', 'Rui Silva': 'GK', 'German Pezzella': 'DEF', 'Nabil Fekir': 'MID', 'Juanmi Jimenez': 'ATT', 'Marc Bartra': 'DEF', 'Marc Roca': 'MID', 'Isco Alarcon': 'MID', 'Sergi Altimira': 'MID', 'Guilherme Fernandes': 'GK', 'Francisco Vieites': 'GK', 'Chimy Avila': 'ATT', 'Assane Diao': 'ATT', 'Johnny Cardoso': 'MID', 'Cedric Bakambu': 'ATT', 'Pablo Fornals': 'MID', 'Ez Abde': 'ATT', 'Aitor Ruibal': 'ATT', 'Rodri Sanchez': 'MID', 'William Carvalho': 'MID', 'Youssouf Sabaly': 'DEF', 'Hector Bellerin': 'DEF'}"
Celta,"{'Iago Aspas': 'ATT', 'Unai Nuñez': 'DEF', 'Carlos Dominguez': 'DEF', 'Hugo Sotelo': 'MID', 'Coke Carrillo': 'GK', 'Ivan Garri': 'DEF', 'Borja Iglesias': 'ATT', 'Mihailo Ristic': 'DEF', 'Jailson': 'MID', 'Javier Manquillo': 'DEF', 'Anastasios Douvikas': 'ATT', 'Tadeo Allende': 'ATT', 'Kevin Vazquez': 'DEF', 'Ivan Villar': 'GK', 'Vicente Guaita': 'GK', 'Oscar Mingueza': 'DEF', 'Joseph Aidoo': 'DEF', 'Luca De La Torre': 'MID', 'Carl Starfelt': 'DEF', 'Franco Cervi': 'MID', 'Williot Swedberg': 'MID', 'Fran Beltran': 'MID', 'Jonathan Bamba': 'MID'}"
Espanyol,"{'Javi Puado': 'MID', 'Joan Garcia': 'GK', 'Jose Gragera': 'MID', 'Kenneth Soler': 'ATT', 'Antoniu Roca': 'MID', 'Gaston Valles': 'ATT', 'Omar Sadik': 'ATT', 'Rafel Bauza': 'MID', 'Jose Luis Catala': 'DEF', 'Llorenç Serred': 'GK', 'Ian Forns': 'DEF', 'Angel Gomez': 'DEF', 'Joan Puig': 'DEF', 'Angel Fortuño': 'GK', 'Roger Martinez': 'MID', 'Jose Carlos Lazo': 'MID', 'Alvaro Aguado': 'MID', 'Jofre Carreras': 'ATT', 'Salvi Sanchez': 'MID', 'Omar El Hilali': 'DEF', 'Edu Exposito': 'MID', 'Leandro Cabrera': 'DEF', 'Pol Lozano': 'MID', 'Fernando Calero': 'DEF', 'Pere Milla': 'ATT', 'Sergi Gomez': 'DEF', 'Fernando Pacheco': 'GK', 'Brian Olivan': 'DEF', 'Carlos Romero': 'DEF', 'Alvaro Tejero': 'DEF'}"
Getafe,"{'David Soria': 'GK', 'Luis Milla': 'MID', 'Alex Sola': 'DEF', 'Gaston Alvarez': 'DEF', 'Diego Rico': 'DEF', 'Gorka Rivera': 'DEF', 'Peter Gonzalez': 'MID', 'Jordi Martin': 'DEF', 'Yellu Santiago': 'MID', 'Fabrizio Angileri': 'DEF', 'Carles Perez': 'ATT', 'Domingos Duarte': 'DEF', 'Juan Iglesias': 'DEF', 'Carles Aleña': 'MID', 'Omar Alderete': 'DEF', 'Mauro Arambarri': 'MID', 'Dakonam Djene': 'DEF', 'Borja Mayoral': 'ATT'}"
Girona,"{'Viktor Tsygankov': 'ATT', 'Paulo Gazzaniga': 'GK', 'Arnau Martinez': 'DEF', 'Juan Carlos Martin': 'GK', 'David Lopez': 'DEF', 'Juanpe Ramirez': 'DEF', 'Iker Almena': 'MID', 'Silvi Clua': 'MID', 'Ricard Artero': 'MID', 'Jhon Solis': 'MID', 'Cristian Portu': 'ATT', 'Valery Fernandez': 'DEF', 'Toni Villa': 'MID', 'Christian Stuani': 'ATT', 'Ivan Martin': 'MID', 'Miguel Gutierrez': 'DEF', 'Daley Blind': 'DEF', 'Yangel Herrera': 'MID', 'Artem Dovbyk': 'ATT'}"
Las Palmas,"{'Alvaro Valles': 'GK', 'Alberto Moleiro': 'MID', 'Mika Marmol': 'DEF', 'Jaime Mata': 'ATT', 'Marvin Park': 'MID', 'Alex Suarez': 'DEF', 'Juanma Herzog': 'DEF', 'Ivan Cedric': 'ATT', 'Benito Ramirez': 'MID', 'Adnan Januzaj': 'MID', 'Daley Sinkgraven': 'DEF', 'Sory Kaba': 'ATT', 'Jose Campaña': 'MID', 'Fabio Gonzalez': 'MID', 'Pejiño': 'ATT', 'Sandro Ramirez': 'ATT', 'Javi Muñoz': 'MID', 'Fuster': 'MID', 'Marc Cardona': 'ATT', 'Enzo Loiodice': 'MID', 'Kirian Rodriguez': 'MID'}"
