Vinícius Jr,Vinícius Júnior
Jude Bellingham,Jude Bellingham
Rodrygo,Rodrygo
Joselu,Joselu
Valverde,Federico Valverde
Militão,Éder Militão
Brahim Díaz,Brahim Díaz
Camavinga,Eduardo Camavinga
Kroos,Toni Kroos
Courtois,Thibaut Courtois
Tchouameni,Aurélien Tchouaméni
Modric,Luka Modrić
David Alaba,David Alaba
Rüdiger,Antonio Rüdiger
Fran García,Fran García
Kepa,Kepa Arrizabalaga
Carvajal,Daniel Carvajal
Ceballos,Dani Ceballos
Mendy,Ferland Mendy
Arda Güler,Arda Güler
Lucas Vázquez,Lucas Vázquez
Nacho,Nacho Fernández
Álvaro Rodríguez,Álvaro Odriozola
Lunin,Andriy Lunin
Odriozola,Álvaro Odriozola
Reinier,Reinier
Isi Palazón,Isi Palazón
Álvaro García,Álvaro García
De Tomás,Raúl de Tomás
Pacha Espino,Alfonso Espino
Sergio Camello,Sergio Camello
de Frutos,Jorge de Frutos
Óscar Valentín,Óscar Valentín
Trejo,Óscar Trejo
Lejeune,Florian Lejeune
Dimitrievski,Stole Dimitrievski
Aridane Hernández,Aridane Hernández
Iván Balliu,Ivan Balliu
Andrei Ratiu,Andrés Martín
Bebé,Bebé
Unai López,Unai López
Abdul Mumin,Abdul Mumin
Andrés Martín,Andrés Martín
Dani Cárdenas,Dani Cárdenas
Jorge Moreno,Jorge Moreno
Martín Pascual,Martín Pascual
Pathé Ciss,Ismaila Ciss
Pep Chavarría,Josep Chavarría
Falcao,Radamel Falcao
Randy Nteka,Randy Nteka
Sergio Moreno,Sergio Moreno
José Pozo,José Pozo
Kike Perez,Kike Pérez
Gayà,José Luis Gayà
André Almeida,André Almeida
Giorgi Mamardashvili,Giorgi Mamardashvili
Javier Guerra,Javier Guerra
Diakhaby,Mouctar Diakhaby
Samu Castillejo,Samu Castillejo
Diego Lopez,Diego Lopez Noguerol
Guillamón,Hugo Guillamón
Sergi Canós,Sergi Canós
Thierry Correia,Thierry Correia
Gabriel Paulista,Gabriel Paulista
Pepelu,Pepelu
Cenk Özkacar,Cenk Özkaçar
Foulquier,Dimitri Foulquier
Hugo Duro,Hugo Duro
Jesús Vázquez,Jesús Vázquez
Marcos André,Marcos André
Alberto Mari,Alberto Mari
Cristhian Mosquera,Cristhian Mosquera
Jaume Doménech,Jaume Doménech
Cristian Rivero,Cristian Rivero
Francisco Pérez,Fran Pérez
Tsygankov,Viktor Tsygankov
Aleix García,Aleix García
Daley Blind,Daley Blind
Artem Dovbyk,Artem Dovbyk
Yangel Herrera,Yangel Herrera
Arnau Martínez,Arnau Martínez
Paulo Gazzaniga,Paulo Gazzaniga
David López,David López
Miguel Gutiérrez,Miguel Gutiérrez
Santiago Bueno,Santiago Bueno
Yan Couto,Yan Couto
Iván Martín,Iván Martín
Stuani,Cristhian Stuani
Alexander Callens,Alexander Callens
Sávio,Sávio
Bernardo,Bernardo Espinosa
Borja García,Borja García
Juanpe,Juanpe
Eric Monjonell,Eric Monjonell
Joel Roca,Jastin García
Juan Carlos Martín,Juan Carlos
Pablo Torre,Pablo Torre
Toni Villa,Toni Villa
Valery,Valery Fernández
Fuidias,Toni Fuidias
Ibrahima Kébé,Ibrahima Kébé
Griezmann,Antoine Griezmann
João Félix,João Félix
Morata,Álvaro Morata
Ángel Correa,Ángel Correa
Carrasco,Yannick Carrasco
Memphis Depay,Memphis Depay
Rodrigo de Paul,Rodrigo de Paul
Llorente,Marcos Llorente
Nahuel Molina,Nahuel Molina
Oblak,Jan Oblak
Azpilicueta,César Azpilicueta
Giménez,José María Giménez
Koke,Koke
Hermoso,Mario Hermoso
Samuel Lino,Samuel Lino
Galán,Javi Galán
Saúl,Saúl Ñíguez
Lemar,Thomas Lemar
Reinildo Mandava,Reinildo Isnard Mandava
Savic,Stefan Savić
Rodrigo Riquelme,Rodrigo Riquelme
Caglar Söyüncü,Çağlar Söyüncü
Axel Witsel,Axel Witsel
Borja Garcés,Borja Garcés
Grbic,Ivo Grbić
Pablo Barrios,Pablo Barrios
Vitolo,Vitolo
Lewandowski,Robert Lewandowski
Pedri,Pedri
Frenkie De Jong,Frenkie de Jong
Gündogan,İlkay Gündoğan
Raphinha,Raphinha
Gavi,Gavi
Ter Stegen,Marc-André ter Stegen
Koundé,Jules Koundé
Ronald Araújo,Ronald Araújo
Ferran Torres,Ferran Torres
Alejandro Balde,Alejandro Baldé
Christensen,Andreas Christensen
Ansu Fati,Ansu Fati
Iñigo Martínez,Iñigo Martínez
Oriol Romeu,Oriol Romeu
Lenglet,Clément Lenglet
Ez Abde,Alejandro Baldé
Sergi Roberto,Sergi Roberto
Marcos Alonso,Marcos Alonso
Eric García,Eric García
Lamine Yamal,Lamine Yamal
Fermín López,Clément Lenglet
Iñaki Peña,Iñaki Peña
Borja Iglesias,Borja Iglesias
Guido Rodríguez,Guido Rodríguez
Bartra,Marc Bartra
Bellerín,Héctor Bellerín
Fekir,Nabil Fekir
Carvalho,William Carvalho
Ayoze Pérez,Ayoze Pérez
Isco,Isco
