Real Madrid,"{'Nico Paz': 6.73, 'Álvaro Rodríguez': 6.78, 'Andriy Lunin': 7.33, 'Antonio Rüdiger': 6.94, 'Arda Güler': 7.29, 'Aurélien Tchouaméni': 7.15, 'Brahim Díaz': 7.03, 'Eduardo Camavinga': 7.09, 'Dani Ceballos': 6.78, 'Daniel Carvajal': 7.12, 'David Alaba': 6.96, 'Éder Militão': 6.99, 'Federico Valverde': 7.29, 'Ferland Mendy': 6.84, 'Fran García': 6.81, 'Joselu': 6.97, 'Jude Bellingham': 7.89, 'Kepa Arrizabalaga': 6.92, 'Lucas Vázquez': 7.05, 'Luka Modrić': 7.25, 'Nacho Fernández': 6.8, 'Rodrygo': 7.29, 'Thibaut Courtois': 7.0, 'Toni Kroos': 7.51, 'Vinícius Júnior': 7.25}"
Barcelona,"{'Alejandro Balde': 6.81, 'Ander Astralaga': 6.0, 'Andreas Christensen': 6.93, 'Fermín López': 6.87, 'Ferran Torres': 7.04, 'Hector Fort': 7.01, 'Frenkie de Jong': 7.3, 'Gavi': 6.97, 'Marc Guiu': 6.92, 'İlkay Gündoğan': 7.39, 'Iñaki Peña': 6.8, 'Iñigo Martínez': 6.91, 'João Cancelo': 7.29, 'João Félix': 7.06, 'Jules Koundé': 7.13, 'Lamine Yamal': 7.24, 'Marc-André ter Stegen': 7.06, 'Marcos Alonso': 6.76, 'Oriol Romeu': 6.85, 'Pau Cubarsí': 7.11, 'Pedri': 7.11, 'Raphinha': 7.3, 'Robert Lewandowski': 7.21, 'Ronald Araújo': 7.0, 'Sergi Roberto': 6.84, 'Vitor Roque': 6.82}"
Girona,"{'Joel Roca': 6.52, 'Aleix García': 7.44, 'Arnau Martínez': 6.75, 'Artem Dovbyk': 7.03, 'Borja García': 6.75, 'Yan Couto': 6.92, 'Cristhian Stuani': 6.93, 'Daley Blind': 7.08, 'David López': 6.95, 'Eric García': 6.99, 'Iván Martín': 6.88, 'Jhon Solís': 6.68, 'Juan Carlos': 6.0, 'Juanpe': 6.84, 'Miguel Gutiérrez': 7.03, 'Pablo Torre': 6.79, 'Paulo Gazzaniga': 7.14, 'Portu': 6.84, 'Sávio': 7.3, 'Toni Fuidias': 6.0, 'Toni Villa': 6.5, 'Valery Fernández': 6.78, 'Viktor Tsygankov': 7.14, 'Antal Yaakobishvili': 7.3, 'Yangel Herrera': 7.0}"
Atl. Madrid,"{'Álvaro Morata': 6.95, 'Ángel Correa': 6.95, 'Antoine Griezmann': 7.54, 'Arthur Vermeeren': 7.0, 'Axel Witsel': 6.89, 'César Azpilicueta': 6.77, 'Gabriel Paulista': 6.85, 'Horațiu Moldovan': 7.07, 'Jan Oblak': 7.05, 'José María Giménez': 6.91, 'Koke': 7.01, 'Marcos Llorente': 7.0, 'Marcos Paulo': 6.76, 'Mario Hermoso': 6.99, 'Memphis Depay': 6.92, 'Nahuel Molina': 6.85, 'Pablo Barrios': 6.85, 'Reinildo Mandava': 6.89, 'Rodrigo de Paul': 7.27, 'Rodrigo Riquelme': 6.82, 'Samuel Lino': 7.2, 'Saúl Ñíguez': 6.9, 'Stefan Savić': 6.77, 'Thomas Lemar': 6.63, 'Vitolo': 6.54, 'Yannick Carrasco': 7.32}"
Athletic Club,"{'Jauregizar': 6.58, 'Adama Boiro': 6.0, 'Aitor Paredes': 6.84, 'Álex Berenguer': 7.0, 'Ander Herrera': 6.91, 'Asier Villalibre': 6.94, 'Beñat Prados': 6.87, 'Dani García': 6.64, 'Daniel Vivian': 6.93, 'Gorka Guruzeta': 7.12, 'Iker Muniain': 6.94, 'Imanol García de Albéniz': 6.77, 'Iñaki Williams': 7.19, 'Íñigo Lekue': 6.72, 'Iñigo Ruiz de Galarreta': 6.98, 'Julen Agirrezabala': 6.97, 'Adu Ares': 6.85, 'Adu Ares': 6.85, 'Mikel Vesga': 6.84, 'Nico Williams': 7.18, 'Oihan Sancet': 6.92, 'Óscar de Marcos': 6.97, 'Raúl García': 6.73, 'Unai Gómez': 6.73, 'Unai Simón': 7.01, 'Yeray Álvarez': 6.86, 'Yuri Berchiche': 7.08}"
Real Sociedad,"{'Pablo Marín': 6.64, 'Aramburu': 6.82, 'Magunacelaya': 6.78, 'Aihen Muñoz': 6.9, 'Álex Remiro': 7.02, 'Álvaro Odriozola': 6.71, 'Ander Barrenetxea': 6.87, 'André Silva': 6.59, 'Aritz Elustondo': 6.79, 'Arsen Zakharyan': 7.0, 'Beñat Turrientes': 6.83, 'Brais Méndez': 7.26, 'Carlos Fernández': 6.62, 'Hamari Traoré': 7.04, 'Igor Zubeldia': 6.93, 'Javi Galán': 6.85, 'Jon Ander Olasagasti': 6.78, 'Jon Pacheco': 6.83, 'Kieran Tierney': 6.89, 'Takefusa Kubo': 7.39, 'Martín Merquelanz': 6.73, 'Martín Zubimendi': 7.0, 'Mikel Merino': 7.23, 'Mikel Oyarzabal': 6.89, 'Robin Le Normand': 6.94, 'Inaki Ruperez': 6.0, 'Sheraldo Becker': 7.08, 'Umar Sadiq': 6.65, 'Unai Marrero': 6.65, 'Urko González': 6.58}"
Betis,"{'Ez Abde': 6.86, 'Ez Abde': 6.86, 'Abner Vinícius': 6.74, 'Aitor Ruibal': 6.96, 'Assane Diao': 6.7, 'Ayoze Pérez': 6.89, 'Cédric Bakambu': 6.75, 'Chadi Riad': 6.79, 'Chimy Ávila': 6.89, 'Claudio Bravo': 7.13, 'Enrique Fernández López': 6.6, 'Francisco Vieites': 7.03, 'Germán Pezzella': 6.94, 'Guido Rodríguez': 7.04, 'Héctor Bellerín': 6.56, 'Isco': 7.43, 'Johnny': 6.96, 'Juan Miranda': 6.99, 'Luiz Henrique': 6.96, 'Marc Bartra': 6.57, 'Marc Roca': 6.99, 'Nabil Fekir': 7.11, 'Pablo Fornals': 6.9, 'Rodri Sánchez': 6.95, 'Rui Silva': 6.99, 'Sergi Altimira': 6.82, 'Sokratis': 6.89, 'Carvalho': 6.95, 'Willian José': 7.03, 'Xavier Pleguezuelo': 6.6, 'Youssouf Sabaly': 6.87}"
Valencia,"{'Peter Federico': 6.61, 'Pablo Gozálbez': 6.32, 'Mario Domínguez': 6.75, 'Hugo González': 6.7, 'Alberto Mari': 6.58, 'Selim Amallah': 6.64, 'André Almeida': 6.96, 'Cenk Özkaçar': 6.76, 'Thierry Correia': 6.87, 'Cristhian Mosquera': 6.93, 'Cristian Rivero': 6.0, 'Diego Lopez': 6.88, 'Dimitri Foulquier': 6.67, 'Fran Pérez': 6.61, 'Yarek Gasiorowski': 7.0, 'Giorgi Mamardashvili': 7.07, 'Hugo Duro': 6.95, 'Hugo Guillamón': 6.71, 'Jaume Doménech': 6.55, 'Javier Guerra': 6.68, 'Jesús Vázquez': 6.59, 'José Luis Gayà': 7.0, 'Mouctar Diakhaby': 6.89, 'Pepelu': 7.33, 'Peter Federico': 6.61, 'Roman Yaremchuk': 6.73, 'Sergi Canós': 6.87}"
Villarreal,"{'Adrià Altimira': 6.71, 'Carlos Romero': 6.74, 'Aïssa Mandi': 6.87, 'Alberto Moreno': 6.74, 'Alejandro Baena': 7.16, 'Alexander Sørloth': 6.99, 'Alfonso Pedraza': 6.65, 'Bertrand Traoré': 6.93, 'Daniel Budesca': 6.0, 'Dani Parejo': 7.11, 'Denis Suárez': 6.71, 'Eric Bailly': 6.66, 'Étienne Capoue': 6.88, 'Filip Jörgensen': 7.18, 'Francis Coquelin': 6.76, 'Gerard Moreno': 7.27, 'Gonçalo Guedes': 6.81, 'Ilias Akhomach': 6.96, 'Jorge Cuenca': 6.9, 'José Luis Morales': 6.72, 'Juan Foyth': 6.95, 'Kiko Femenía': 6.83, 'Manu Trigueros': 6.89, 'Pepe Reina': 6.86, 'Ramón Terrats': 6.7, 'Raúl Albiol': 6.8, 'Santi Comesaña': 6.89, 'Yéremy Pino': 6.88, 'Yerson Mosquera': 6.91}"
Getafe,"{'Jordi Martín': 6.79, 'Alberto Risco': 6.0, 'Jorge Benito de Valle Martin': 6.0, 'Borja Mayoral': 7.0, 'Carles Aleñá': 6.72, 'Daniel Fuzato': 6.95, 'David Soria': 7.06, 'Diego Rico': 6.95, 'Djené': 6.75, 'Domingos Duarte': 6.61, 'Enes Ünal': 6.78, 'Facundo Esnaider Ruiz': 6.0, 'Fabrizio Angileri': 6.53, 'Santiago Garcia Gonzalez': 6.0, 'Gastón Álvarez': 6.77, 'Ilaix Moriba': 6.78, 'Jaime Mata': 6.76, 'José Ángel Carmona': 6.53, 'Juan Iglesias': 6.85, 'Juanmi Latasa': 6.93, 'Luis Milla': 7.16, 'Mason Greenwood': 7.12, 'Mauro Arambarri': 6.6, 'Nemanja Maksimović': 6.96, 'Omar Alderete': 6.83, 'Óscar Rodríguez': 6.88, 'Yellu Santiago': 6.67}"
