Alavés,"{'antonio sivera': '0.2996582045847', 'luka romero': '0', 'aleksandar sedlar': '0', 'jesus owono': '0', 'ander sanchez': '0', 'gaizka garcia': '0', 'adrian rodriguez': '0', 'tomas mendes': '0', 'carlos vicente': '0', 'joaquin panichelli': '0', 'nikola maras': '0', 'jon guridi': '-0.34571467999889', 'asier villalibre': '-1.3947653746956', 'xeber alkain': '-3.0386375772112', 'manu sanchez': '-1.4606127867913', 'abde rebbach': '-2.9805142998491', 'abdel abqar': '-1.7471267702817', 'nahuel tenaglia': '-1.8453976683785', 'ander guevara': '-1.8186315397062', 'antonio blanco': '-1.7493335128261', 'luis rioja': '-0.93042336132113', 'kike garcia': '-2.760198255882', 'carlos benavidez': '-2.6947686503341'}"
Athletic,"{'nico williams': '1.4209743756585', 'gorka guruzeta': '2.6527809068414', 'oihan sancet': '2.8402097725828', 'iñaki williams': '1.6001082472735', 'dani vivian': '2.0128561300783', 'iñigo ruiz de galarreta': '0.93548026863032', 'aitor paredes': '0.040714546346024', 'andoni gorosabel': '0', 'mikel vesga': '0', 'alex berenguer': '0', 'yuri berchiche': '0', 'oscar de marcos': '0', 'ander herrera': '0', 'unai gomez': '0', 'unai egiluz': '0', 'malcom adu ares': '-2.1649594568848', 'julen agirrezabala': '-1.5643546633969', 'yeray alvarez': '-0.68473143981689', 'iñigo lekue': '-2.0708301956638', 'beñat prados': '-1.3770146787342', 'unai simon': '-2.6458921573832'}"
Atlético,"{'jan oblak': '2.117711897523', 'robin le normand': '1.6106852081465', 'samuel lino': '1.8763848624195', 'antoine griezmann': '0.7491139827097', 'rodrigo de paul': '1.1717602722919', 'ilias kostis': '0', 'antonio gomis': '0', 'cesar azpilicueta': '0', 'samuel omorodion': '0', 'selu diallo': '0', 'giuliano simeone': '0', 'horatiu moldovan': '-2.7109344323248', 'joao felix': '0', 'axel witsel': '0', 'thomas lemar': '-1.887415287043', 'arthur vermeeren': '-2.2029884897158', 'angel correa': '-1.0340640184723', 'jose maria gimenez': '-0.97637146250556', 'nahuel molina': '-1.2692137944476', 'rodrigo riquelme': '-1.6124704048908', 'pablo barrios': '-1.7057259089473', 'reinildo mandava': '-2.1209565294866', 'marcos llorente': '-1.0339395189288', 'javi galan': '-2.7104261675683', 'koke resurreccion': '-1.5044738680049'}"
Barcelona,"{'lamine yamal': '3.4934627912277', 'pau cubarsi': '3.118992405986', 'marc-andre ter stegen': '1.7247871473987', 'alejandro balde': '2.3008548477449', 'robert lewandowski': '0.46501073625079', 'marc casado': '0', 'hector fort': '0', 'ander astralaga': '0', 'diego kochen': '0', 'iñigo martinez': '0', 'pablo torre': '0', 'eric garcia': '0', 'julian araujo': '0', 'vitor roque': '0', 'fermin lopez': '0', 'oriol romeu': '-2.6366279367704', 'iñaki peña': '-3.0018577171855', 'andreas christensen': '-0.60417156960156', 'ferran torres': '-2.2852154273712', 'jules kounde': '-0.6344734932189', 'pablo gavi': '-1.7587707576448', 'raphinha': '-1.3103282861389', 'ilkay gundogan': '-0.85626796314605', 'ronald araujo': '-1.453273873664', 'frenkie de jong': '-2.057784657305', 'pedri gonzalez': '-2.2242432099313'}"
Betis,"{'ayoze perez': '2.3382403254846', 'rui silva': '1.0341079120643', 'german pezzella': '0.77410995776724', 'juanmi jimenez': '0', 'marc bartra': '0', 'marc roca': '0', 'isco alarcon': '0', 'sergi altimira': '0', 'guilherme fernandes': '0', 'francisco vieites': '0', 'chimy avila': '0', 'assane diao': '0', 'johnny cardoso': '0', 'cedric bakambu': '0', 'pablo fornals': '0', 'abde ezzalzouli': '-1.7616073989275', 'nabil fekir': '-0.42694198848865', 'aitor ruibal': '-2.8013434506779', 'rodri sanchez': '-2.4530370491237', 'youssouf sabaly': '-2.0142180761641', 'william carvalho': '-2.5165920974142', 'hector bellerin': '-1.6916479033898'}"
Celta,"{'unai nuñez': '0', 'carlos dominguez': '0', 'hugo sotelo': '0', 'coke carrillo': '0', 'ivan garri': '0', 'mihailo ristic': '-1.3918545024593', 'borja iglesias': '0', 'javier manquillo': '-1.6658032963128', 'jailson': '-1.8894794988848', 'tadeo allende': '-2.4586506109439', 'iago aspas': '-0.084160179897476', 'kevin vazquez': '-2.75428559402', 'anastasios douvikas': '-0.61934315057594', 'vicente guaita': '-0.62710013152711', 'ivan villar': '-2.2922599121491', 'joseph aidoo': '-1.5169279787636', 'luca de la torre': '-2.6336576177585', 'franco cervi': '-2.9216071361024', 'williot swedberg': '-2.1854104620037', 'carl starfelt': '-1.7231670284467', 'carles perez': '-2.8085098841897', 'fran beltran': '-2.0864758680467', 'oscar mingueza': '-1.4543051459595', 'jonathan bamba': '-1.4137473646594'}"
Espanyol,"{'javi puado': '1.3343889246384', 'jose gragera': '2.2114677353938', 'joan garcia': '0.19812242497699', 'kenneth soler': '0', 'antoniu roca': '0', 'gaston valles': '0', 'omar sadik': '0', 'rafel bauza': '0', 'jose luis catala': '0', 'llorenç serred': '0', 'ian forns': '0', 'angel gomez': '0', 'joan puig': '0', 'angel fortuño': '0', 'roger martinez': '0', 'jose carlos lazo': '-2.4813099948364', 'jofre carreras': '-1.994267142062', 'salvi sanchez': '-2.9667673716012', 'omar el hilali': '-1.4182508018925', 'alvaro aguado': '-1.9454554584527', 'edu exposito': '-2.6875170157915', 'pol lozano': '-2.62483999866', 'fernando pacheco': '-1.3917724695723', 'sergi gomez': '-2.4787756886972', 'fernando calero': '-2.3241844494426', 'pere milla': '-1.6889231578578', 'leandro cabrera': '-1.8463574388939', 'brian olivan': '-2.5354435168141'}"
Getafe,"{'david soria': '2.2514593559513', 'luis milla': '0.59874663612407', 'alex sola': '0', 'gaston alvarez': '0', 'diego rico': '0', 'gorka rivera': '0', 'peter gonzalez': '0', 'yellu santiago': '-1.3671227903556', 'fabrizio angileri': '-2.6846868035153', 'domingos duarte': '-2.3123245350015', 'carles aleña': '-1.715767953005', 'juan iglesias': '-2.1296011450443', 'mauro arambarri': '-1.771428698659', 'omar alderete': '-1.7088136016736', 'dakonam djene': '-1.992721251258', 'borja mayoral': '-1.65087755464'}"
Girona,"{'viktor tsygankov': '1.1789663837326', 'paulo gazzaniga': '1.2982847836074', 'juan carlos martin': '0', 'david lopez': '0', 'juanpe ramirez': '0', 'iker almena': '0', 'silvi clua': '0', 'ricard artero': '0', 'jhon solis': '-2.1405683049809', 'arnau martinez': '-0.60051161111515', 'valery fernandez': '-2.5275810143898', 'cristian portu': '-1.0166318508268', 'toni villa': '-2.8484080794856', 'artem dovbyk': '-0.0903162815314', 'christian stuani': '-2.2225473976388', 'ivan martin': '-0.9084307504878', 'yangel herrera': '-1.0552980777255', 'daley blind': '-1.3012426034788', 'miguel gutierrez': '-1.0372937638223'}"
Las Palmas,"{'alvaro valles': '1.3433327487309', 'alberto moleiro': '0.70371847134533', 'jaime mata': '0', 'marvin park': '0', 'alex suarez': '0', 'juanma herzog': '0', 'iñaki gonzalez': '0', 'ivan cedric': '0', 'adnan januzaj': '-0.13280217928417', 'benito ramirez': '-2.0011735189951', 'daley sinkgraven': '-2.7195781503515', 'jose campaña': '-1.7774408367856', 'sory kaba': '-2.7618564500553', 'omenuke mfulu': '-2.9496662457153', 'fabio gonzalez': '-3.079484167124', 'mika marmol': '-0.41674171941833', 'pejiño': '-2.9542046991829', 'sandro ramirez': '-2.507901601149', 'javi muñoz': '-2.4556069682177', 'marc cardona': '-2.9278327411218', 'enzo loiodice': '-2.4104796220047', 'kirian rodriguez': '-0.86451480713503'}"
