Alavés,"{'Antonio Sivera': 'GK', 'Luka Romero': 'MID', 'Aleksandar Sedlar': 'DEF', 'Jesus Owono': 'GK', 'Ander Sanchez': 'MID', 'Gaizka Garcia': 'GK', 'Adrian Rodriguez': 'GK', 'Tomas Mendes': 'MID', 'Carlos Vicente': 'ATT', 'Joaquin Panichelli': 'ATT', 'Nikola Maras': 'DEF', 'Asier Villalibre': 'ATT', 'Jon Guridi': 'MID', 'Xeber Alkain': 'MID', 'Manu Sanchez': 'DEF', 'Abde Rebbach': 'MID', 'Abdel Abqar': 'DEF', 'Nahuel Tenaglia': 'DEF', 'Antonio Blanco': 'MID', 'Ander Guevara': 'MID', 'Kike Garcia': 'ATT', 'Luis Rioja': 'MID', 'Carlos Benavidez': 'MID'}"
Athletic,"{'Nico Williams': 'ATT', 'Iñaki Williams': 'ATT', 'Oihan Sancet': 'MID', 'Gorka Guruzeta': 'ATT', 'Dani Vivian': 'DEF', 'Iñigo Ruiz De Galarreta': 'MID', 'Aitor Paredes': 'DEF', 'Javier Marton': 'ATT', 'Nico Serrano': 'ATT', 'Andoni Gorosabel': 'DEF', 'Mikel Vesga': 'MID', 'Alex Berenguer': 'ATT', 'Yuri Berchiche': 'DEF', 'Oscar De Marcos': 'DEF', 'Ander Herrera': 'MID', 'Unai Gomez': 'MID', 'Unai Egiluz': 'DEF', 'Yeray Alvarez': 'DEF', 'Malcom Adu Ares': 'ATT', 'Beñat Prados': 'MID', 'Julen Agirrezabala': 'GK', 'Iñigo Lekue': 'DEF', 'Unai Simon': 'GK'}"
Atlético,"{'Jan Oblak': 'GK', 'Robin Le Normand': 'DEF', 'Samuel Lino': 'MID', 'Antoine Griezmann': 'ATT', 'Rodrigo De Paul': 'MID', 'Ilias Kostis': 'DEF', 'Antonio Gomis': 'GK', 'Cesar Azpilicueta': 'DEF', 'Santiago Mouriño': 'DEF', 'Samuel Omorodion': 'ATT', 'Selu Diallo': 'MID', 'Giuliano Simeone': 'ATT', 'Horatiu Moldovan': 'GK', 'Joao Felix': 'ATT', 'Axel Witsel': 'DEF', 'Nahuel Molina': 'DEF', 'Thomas Lemar': 'MID', 'Rodrigo Riquelme': 'MID', 'Arthur Vermeeren': 'MID', 'Marcos Llorente': 'MID', 'Jose Maria Gimenez': 'DEF', 'Angel Correa': 'ATT', 'Reinildo Mandava': 'DEF', 'Pablo Barrios': 'MID', 'Koke Resurreccion': 'MID', 'Javi Galan': 'DEF'}"
Barcelona,"{'Lamine Yamal': 'ATT', 'Pau Cubarsi': 'DEF', 'Marc-Andre Ter Stegen': 'GK', 'Alejandro Balde': 'DEF', 'Robert Lewandowski': 'ATT', 'Marc Casado': 'MID', 'Hector Fort': 'DEF', 'Ander Astralaga': 'GK', 'Diego Kochen': 'GK', 'Iñigo Martinez': 'DEF', 'Pablo Torre': 'MID', 'Eric Garcia': 'DEF', 'Julian Araujo': 'DEF', 'Vitor Roque': 'ATT', 'Fermin Lopez': 'MID', 'Iñaki Peña': 'GK', 'Oriol Romeu': 'MID', 'Andreas Christensen': 'DEF', 'Ferran Torres': 'ATT', 'Jules Kounde': 'DEF', 'Ronald Araujo': 'DEF', 'Raphinha': 'ATT', 'Pablo Gavi': 'MID', 'Frenkie De Jong': 'MID', 'Ilkay Gundogan': 'MID', 'Pedri Gonzalez': 'MID'}"
Betis,"{'Ayoze Perez': 'ATT', 'German Pezzella': 'DEF', 'Rui Silva': 'GK', 'Nabil Fekir': 'MID', 'Juanmi Jimenez': 'ATT', 'Marc Bartra': 'DEF', 'Marc Roca': 'MID', 'Isco Alarcon': 'MID', 'Sergi Altimira': 'MID', 'Guilherme Fernandes': 'GK', 'Francisco Vieites': 'GK', 'Chimy Avila': 'ATT', 'Assane Diao': 'ATT', 'Johnny Cardoso': 'MID', 'Cedric Bakambu': 'ATT', 'Pablo Fornals': 'MID', 'Abde Ezzalzouli': 'ATT', 'Aitor Ruibal': 'ATT', 'Rodri Sanchez': 'MID', 'William Carvalho': 'MID', 'Youssouf Sabaly': 'DEF', 'Hector Bellerin': 'DEF'}"
Celta,"{'Iago Aspas': 'ATT', 'Unai Nuñez': 'DEF', 'Carlos Dominguez': 'DEF', 'Hugo Sotelo': 'MID', 'Coke Carrillo': 'GK', 'Ivan Garri': 'DEF', 'Borja Iglesias': 'ATT', 'Mihailo Ristic': 'DEF', 'Jailson': 'MID', 'Javier Manquillo': 'DEF', 'Tadeo Allende': 'ATT', 'Kevin Vazquez': 'DEF', 'Vicente Guaita': 'GK', 'Anastasios Douvikas': 'ATT', 'Ivan Villar': 'GK', 'Joseph Aidoo': 'DEF', 'Luca De La Torre': 'MID', 'Franco Cervi': 'MID', 'Carl Starfelt': 'DEF', 'Williot Swedberg': 'MID', 'Fran Beltran': 'MID', 'Carles Perez': 'ATT', 'Oscar Mingueza': 'DEF', 'Jonathan Bamba': 'MID'}"
Espanyol,"{'Javi Puado': 'MID', 'Joan Garcia': 'GK', 'Jose Gragera': 'MID', 'Kenneth Soler': 'ATT', 'Antoniu Roca': 'MID', 'Gaston Valles': 'ATT', 'Omar Sadik': 'ATT', 'Rafel Bauza': 'MID', 'Jose Luis Catala': 'DEF', 'Llorenç Serred': 'GK', 'Ian Forns': 'DEF', 'Angel Gomez': 'DEF', 'Joan Puig': 'DEF', 'Angel Fortuño': 'GK', 'Roger Martinez': 'MID', 'Jose Carlos Lazo': 'MID', 'Salvi Sanchez': 'MID', 'Jofre Carreras': 'ATT', 'Omar El Hilali': 'DEF', 'Alvaro Aguado': 'MID', 'Edu Exposito': 'MID', 'Pol Lozano': 'MID', 'Leandro Cabrera': 'DEF', 'Fernando Calero': 'DEF', 'Pere Milla': 'ATT', 'Sergi Gomez': 'DEF', 'Brian Olivan': 'DEF', 'Fernando Pacheco': 'GK'}"
Getafe,"{'David Soria': 'GK', 'Luis Milla': 'MID', 'Alex Sola': 'DEF', 'Gaston Alvarez': 'DEF', 'Diego Rico': 'DEF', 'Gorka Rivera': 'DEF', 'Peter Gonzalez': 'MID', 'Jordi Martin': 'DEF', 'Yellu Santiago': 'MID', 'Fabrizio Angileri': 'DEF', 'Domingos Duarte': 'DEF', 'Juan Iglesias': 'DEF', 'Carles Aleña': 'MID', 'Omar Alderete': 'DEF', 'Mauro Arambarri': 'MID', 'Dakonam Djene': 'DEF', 'Borja Mayoral': 'ATT'}"
Girona,"{'Viktor Tsygankov': 'ATT', 'Paulo Gazzaniga': 'GK', 'Juan Carlos Martin': 'GK', 'David Lopez': 'DEF', 'Juanpe Ramirez': 'DEF', 'Iker Almena': 'MID', 'Silvi Clua': 'MID', 'Ricard Artero': 'MID', 'Jhon Solis': 'MID', 'Arnau Martinez': 'DEF', 'Cristian Portu': 'ATT', 'Valery Fernandez': 'DEF', 'Toni Villa': 'MID', 'Christian Stuani': 'ATT', 'Miguel Gutierrez': 'DEF', 'Ivan Martin': 'MID', 'Yangel Herrera': 'MID', 'Daley Blind': 'DEF', 'Artem Dovbyk': 'ATT'}"
Las Palmas,"{'Alvaro Valles': 'GK', 'Alberto Moleiro': 'MID', 'Jaime Mata': 'ATT', 'Marvin Park': 'MID', 'Alex Suarez': 'DEF', 'Juanma Herzog': 'DEF', 'Iñaki Gonzalez': 'MID', 'Ivan Cedric': 'ATT', 'Benito Ramirez': 'MID', 'Adnan Januzaj': 'MID', 'Sory Kaba': 'ATT', 'Daley Sinkgraven': 'DEF', 'Jose Campaña': 'MID', 'Omenuke Mfulu': 'MID', 'Fabio Gonzalez': 'MID', 'Mika Marmol': 'DEF', 'Pejiño': 'ATT', 'Sandro Ramirez': 'ATT', 'Javi Muñoz': 'MID', 'Marc Cardona': 'ATT', 'Enzo Loiodice': 'MID', 'Kirian Rodriguez': 'MID'}"
