Alavés,"{'antonio sivera': '8454864', 'luka romero': '851587', 'aleksandar sedlar': '7000000', 'jesus owono': '1500000', 'ander sanchez': '600000', 'gaizka garcia': '400000', 'adrian rodriguez': '400000', 'tomas mendes': '500000', 'carlos vicente': '15000000', 'joaquin panichelli': '700000', 'nikola maras': '492132', 'jon guridi': '7380215', 'asier villalibre': '2989337', 'xeber alkain': '1432704', 'manu sanchez': '3279850', 'abde rebbach': '1670856', 'abdel abqar': '4334510', 'nahuel tenaglia': '4321861', 'ander guevara': '5823081', 'antonio blanco': '6539360', 'luis rioja': '13992481', 'kike garcia': '4634412', 'carlos benavidez': '4866257'}"
Athletic,"{'nico williams': '102290500', 'gorka guruzeta': '43837325', 'oihan sancet': '39350493', 'iñaki williams': '65581354', 'dani vivian': '35435302', 'iñigo ruiz de galarreta': '14344146', 'aitor paredes': '14037553', 'andoni gorosabel': '12500000', 'mikel vesga': '6000000', 'alex berenguer': '13000000', 'yuri berchiche': '17000000', 'oscar de marcos': '15000000', 'ander herrera': '3000000', 'unai gomez': '5000000', 'unai egiluz': '1000000', 'malcom adu ares': '980809', 'julen agirrezabala': '3266580', 'yeray alvarez': '7571952', 'iñigo lekue': '3089869', 'beñat prados': '4982234', 'unai simon': '31065137'}"
Atlético,"{'jan oblak': '42679293', 'robin le normand': '46395952', 'samuel lino': '34594055', 'antoine griezmann': '80458992', 'rodrigo de paul': '29441825', 'ilias kostis': '1501194', 'antonio gomis': '1517193', 'cesar azpilicueta': '1538027', 'samuel omorodion': '20000000', 'selu diallo': '1000000', 'giuliano simeone': '1500000', 'horatiu moldovan': '1119910', 'joao felix': '17399429', 'axel witsel': '17900962', 'thomas lemar': '3700375', 'arthur vermeeren': '4080949', 'angel correa': '10322446', 'jose maria gimenez': '10980443', 'nahuel molina': '9766945', 'rodrigo riquelme': '9521647', 'pablo barrios': '9641129', 'reinildo mandava': '8426077', 'marcos llorente': '20241179', 'javi galan': '8089415', 'koke resurreccion': '16243435'}"
Barcelona,"{'lamine yamal': '96851716', 'pau cubarsi': '42473160', 'marc-andre ter stegen': '57293988', 'alejandro balde': '35048412', 'robert lewandowski': '73016500', 'marc casado': '1501194', 'hector fort': '1516385', 'ander astralaga': '1517543', 'diego kochen': '1528634', 'iñigo martinez': '1778452', 'pablo torre': '5000000', 'eric garcia': '25000000', 'julian araujo': '3500000', 'vitor roque': '1925455', 'fermin lopez': '5340716', 'oriol romeu': '2849933', 'iñaki peña': '2583530', 'andreas christensen': '17586585', 'ferran torres': '11363094', 'jules kounde': '43864861', 'pablo gavi': '21640074', 'raphinha': '30781505', 'ilkay gundogan': '55681657', 'ronald araujo': '32841136', 'frenkie de jong': '24210727', 'pedri gonzalez': '38638565'}"
Betis,"{'ayoze perez': '30946783', 'rui silva': '17070833', 'german pezzella': '20076194', 'juanmi jimenez': '1042710', 'marc bartra': '15000000', 'marc roca': '12500000', 'isco alarcon': '60000000', 'sergi altimira': '2500000', 'guilherme fernandes': '300000', 'francisco vieites': '300000', 'chimy avila': '11000000', 'assane diao': '7500000', 'johnny cardoso': '10000000', 'cedric bakambu': '8000000', 'pablo fornals': '25500000', 'abde ezzalzouli': '3675392', 'nabil fekir': '17196528', 'aitor ruibal': '3008313', 'rodri sanchez': '3873904', 'youssouf sabaly': '5222894', 'william carvalho': '4258705', 'hector bellerin': '6575013'}"
Celta,"{'unai nuñez': '8000000', 'carlos dominguez': '2500000', 'hugo sotelo': '3500000', 'coke carrillo': '300000', 'ivan garri': '300000', 'mihailo ristic': '537088', 'borja iglesias': '674069', 'javier manquillo': '1209193', 'jailson': '1176664', 'tadeo allende': '1101632', 'iago aspas': '33852117', 'kevin vazquez': '1108924', 'anastasios douvikas': '6089028', 'vicente guaita': '6808096', 'ivan villar': '2044000', 'joseph aidoo': '3193548', 'luca de la torre': '2163300', 'franco cervi': '2232771', 'williot swedberg': '3167389', 'carl starfelt': '4312412', 'carles perez': '3839059', 'fran beltran': '5954328', 'oscar mingueza': '9445256', 'jonathan bamba': '10163172'}"
Espanyol,"{'javi puado': '11897321', 'jose gragera': '446058', 'joan garcia': '2511497', 'kenneth soler': '100000', 'antoniu roca': '300000', 'gaston valles': '300000', 'omar sadik': '300000', 'rafel bauza': '300000', 'jose luis catala': '300000', 'llorenç serred': '1500000', 'ian forns': '500000', 'angel gomez': '300000', 'joan puig': '1000000', 'angel fortuño': '1500000', 'roger martinez': '500000', 'jose carlos lazo': '912183', 'jofre carreras': '2579702', 'salvi sanchez': '1766490', 'omar el hilali': '4159859', 'alvaro aguado': '3163371', 'edu exposito': '2437703', 'pol lozano': '2499782', 'fernando pacheco': '4895792', 'sergi gomez': '3084137', 'fernando calero': '3364337', 'pere milla': '4735445', 'leandro cabrera': '4832945', 'brian olivan': '3501460'}"
Getafe,"{'david soria': '19740088', 'luis milla': '4105292', 'alex sola': '6000000', 'gaston alvarez': '5000000', 'diego rico': '9500000', 'gorka rivera': '300000', 'peter gonzalez': '5000000', 'yellu santiago': '1896366', 'fabrizio angileri': '1050983', 'domingos duarte': '1312853', 'carles aleña': '1813807', 'juan iglesias': '1511163', 'mauro arambarri': '2647038', 'omar alderete': '3689744', 'dakonam djene': '8676751', 'borja mayoral': '29522176'}"
Girona,"{'viktor tsygankov': '43687560', 'paulo gazzaniga': '32725199', 'juan carlos martin': '4000000', 'david lopez': '20000000', 'juanpe ramirez': '6000000', 'iker almena': '300000', 'silvi clua': '300000', 'ricard artero': '1500000', 'jhon solis': '747603', 'arnau martinez': '5792867', 'valery fernandez': '1950967', 'cristian portu': '4952129', 'toni villa': '2190475', 'artem dovbyk': '72980657', 'christian stuani': '4497007', 'ivan martin': '23776263', 'yangel herrera': '26675739', 'daley blind': '23681996', 'miguel gutierrez': '36842626'}"
Las Palmas,"{'alvaro valles': '23027227', 'alberto moleiro': '13080264', 'jaime mata': '1520926', 'marvin park': '2000000', 'alex suarez': '7000000', 'juanma herzog': '2000000', 'iñaki gonzalez': '500000', 'ivan cedric': '2000000', 'adnan januzaj': '2435727', 'benito ramirez': '696461', 'daley sinkgraven': '1079229', 'jose campaña': '1698547', 'sory kaba': '1115621', 'omenuke mfulu': '1312598', 'fabio gonzalez': '1495690', 'mika marmol': '11825493', 'pejiño': '2185810', 'sandro ramirez': '4025361', 'javi muñoz': '4751641', 'marc cardona': '4210149', 'enzo loiodice': '5577852', 'kirian rodriguez': '23533868'}"
