Real Madrid,"{'Daniel Carvajal': 0.7, 'Antonio Rudiger': 0.9, 'Der Milito': 0.8, 'Ferland Mendy': 0.9, 'Jude Bellingham': 0.8, 'Aurelien Tchouameni': 0.6, 'Federico Valverde': 0.95, 'Rodrygo Goes': 0.6, 'Vinicius Junior': 0.95, 'Thibaut Courtois': 0.95, 'Kylian Mbappe': 0.9, 'Eduardo Camavinga': 0.5, 'Luka Modric': 0.4, 'Brahim Diaz': 0.35, 'Lucas Vazquez': 0.3, 'Arda Gler': 0.15, 'Fran Garcia': 0.1, 'Endrick': 0.05, 'Dani Ceballos': 0.05, 'Andriy Lunin': 0.05, 'Juan Miguel Latasa': 0.0, 'Reinier Jesus': 0.0, 'Jesus Vallejo': 0.0, 'David Alaba': 0.0}"
Espanyol,"{'Javi Puado': 0.95, 'Joan Garcia': 0.9, 'Omar El Hilali': 0.8, 'Fernando Calero': 0.7, 'Leandro Cabrera': 0.95, 'Sergi Gomez': 0.5, 'Jose Gragera': 0.9, 'Alvaro Aguado': 0.8, 'Pere Milla': 0.8, 'Jofre Carreras': 0.9, 'Pol Lozano': 0.6, 'Salvi Sanchez': 0.5, 'Carlos Romero': 0.5, 'Brian Olivan': 0.35, 'Alvaro Tejero': 0.3, 'Jose Carlos Lazo': 0.1, 'Omar Sadik': 0.1, 'Fernando Pacheco': 0.1, 'Max Svensson': 0.05, 'Gaston Valles': 0.0, 'Kenneth Soler': 0.0, 'Edu Exposito': 0.0, 'Antoniu Roca': 0.0}"
Leganés,"{'Juan Cruz ': 0.8, 'Valentin Rosier': 0.9, 'Jorge Saenz': 0.9, 'Sergio Gonzalez ': 0.95, 'Enric Franquesa': 0.8, 'Yvan Neyou': 0.8, 'Seydouba Cisse': 0.6, 'Roberto Lopez': 0.7, 'Daniel Raba': 0.6, 'Miguel De La Fuente': 0.8, 'Juan Soriano': 0.95, 'Darko Brasanac': 0.5, 'Diego Garcia': 0.5, 'Javi Hernandez': 0.45, 'Aritz Aranbarri': 0.4, 'Julian Chicco': 0.2, 'Lalo Aguilar': 0.1, 'Alvin': 0.05, 'Naim Garcia': 0.0, 'Javier Aviles': 0.0, 'Alex Gil': 0.0, 'Luis Perea': 0.0}"
Girona,"{'Abel Ruiz': 0.6, 'Paulo Gazzaniga': 0.95, 'Viktor Tsygankov': 0.7, 'Ivan Martin': 0.9, 'Donny Van De Beek': 0.6, 'Cristian Portu': 0.6, ' David Lopez': 0.8, 'Miguel Gutierrez': 0.7, 'Daley Blind': 0.9, 'Ladislav Krejci': 0.7, 'Arnau Martinez': 0.6, 'Yangel Herrera': 0.5, 'Alejandro Frances': 0.5, 'Christian Stuani': 0.5, 'Bryan Gil': 0.3, 'Gabriel Misehouy': 0.3, 'Ilyas Chaira': 0.2, 'Valery Fernandez': 0.2, 'Manu Vallejo': 0.1, 'Jhon Solis': 0.1, 'Toni Villa': 0.1, 'Juanpe': 0.1, 'Juan Carlos Martin': 0.05, 'Artem Dovbyk': 0.0, 'Joel Roca': 0.0, 'Antal Yaakobishvili': 0.0, 'Jastin': 0.0, 'Scar Urena': 0.0, 'Ricard Artero': 0.0}"
Las Palmas,"{'Viti Rozada': 0.7, 'Alex Suarez': 0.9, 'Mika Marmol': 0.95, 'Alex Mu%C%Boz': 0.7, 'Kirian Rodriguez': 0.95, 'Javi Munoz': 0.6, 'Alberto Moleiro': 0.8, 'Manuel Fuster': 0.8, 'Ivan Cedric': 0.5, 'Sandro Ramirez': 0.6, 'Jasper Cillessen': 0.8, 'Jaime Mata': 0.4, 'Marvin Park': 0.4, 'Enzo Loiodice': 0.4, 'Ivan Gil': 0.35, 'Daley Sinkgraven': 0.3, 'Jose Campana': 0.2, 'Dinko Horkas': 0.2, 'Juanma Herzog': 0.15, 'Pejino': 0.1, 'Oliver Mcburnie': 0.1, 'Adnan Januzaj': 0.1, 'Marc Cardona': 0.0, 'Sory Kaba': 0.0, 'Fabio Gonzalez': 0.0, 'Omenuke Mfulu': 0.0, 'Benito Ramirez': 0.0, 'Enrique Clemente': 0.0, 'Alvaro Valles': 0.0}"
Villarreal,"{'Gerard Moreno': 0.7, 'Diego Conde': 0.9, 'Alexander Sorloth': 0.9, 'Pape Gueye': 0.5, 'Yeremi Pino': 0.8, 'Santi Comesana': 0.7, 'Dani Parejo': 0.9, 'Sergi Cardona': 0.6, 'Eric Bertrand Bailly': 0.8, 'Raul Albiol': 0.7, 'Juan Foyth': 0.7, 'Alfonso Pedraza': 0.4, 'Lex Baena': 0.4, 'Ilias Akhomach': 0.4, 'Arnaut Danjuma': 0.3, 'Kiko Femenia': 0.3, 'Terrats': 0.2, 'Aissa Mandi': 0.2, 'Jorge Cuenca': 0.2, 'Willy Kambwala': 0.1, 'Haissem Hassan': 0.1, 'Denis Suarez': 0.1, 'Iker Lvarez': 0.1, 'Ben Brereton Diaz': 0.0, 'Manu Trigueros': 0.0, 'Filip Jrgensen': 0.0}"
Valladolid,"{'Anuar Mohamed': 0.6, 'Javi Sanchez': 0.5, 'Victor Meseguer': 0.7, 'Mamadou': 0.8, 'Ivan Sanchez': 0.6, 'Lucas Rosa': 0.7, 'Eray Cmert': 0.9, 'Raul Moro': 0.7, 'Boyomo': 0.7, 'Fernando Perez': 0.6, 'Luis Perez': 0.95, 'Arnau Rafus': 0.4, 'Amath Ndiaye': 0.4, 'Stipe Biuk': 0.4, 'Kike Perez': 0.4, 'Selim Amallah': 0.3, 'Stanko Juric': 0.3, 'Marcos Andre': 0.2, 'Cesar De La Hoz': 0.2, 'Israel Salazar': 0.1, 'Kenedy': 0.1, 'David Torres ': 0.05, 'Lvaro Aceves': 0.0, 'Darwin Machis': 0.0, 'Tunde Akinsola': 0.0, 'Monchu Rodriguez': 0.0, 'Andre Ferreira': 0.0}"
Valencia,"{'Christian Mosquera': 0.9, 'Giorgi Mamardashvili': 0.9, 'Thierry Correia': 0.5, 'Jesus Vazquez ': 0.7, 'Javi Guerra ': 0.7, 'Pepelu': 0.95, 'Sergi Canos': 0.5, 'Rafa Mir': 0.6, 'Diego Lopez ': 0.8, 'Hugo Duro': 0.9, 'Cesar Tarrega': 0.5, 'Andre Almeida ': 0.5, 'Cenk Zkacar': 0.5, 'Dimitri Foulquier': 0.5, 'Fran Perez': 0.4, 'Hugo Guillamon': 0.35, 'Jose Gaya': 0.3, 'Alberto Mari': 0.2, 'Yarek Gasiorowski': 0.1, 'Stole Dimitrievski': 0.1, 'Hugo Gonzalez': 0.0, 'Samu Castillejo': 0.0, 'Mouctar Diakhaby': 0.0, 'Jaume Domenech': 0.0}"
Sevilla,"{'Jesus Navas': 0.7, 'Albert Sambi Lokonga': 0.6, 'Rjan Nyland': 0.9, 'Isaac Romero': 0.9, 'Lucas Ocampos': 0.9, 'Suso': 0.6, 'Dodi Lukebakio': 0.6, 'Djibril Sow': 0.8, 'Kike Salas': 0.8, 'Loc Bade': 0.6, 'Adria Pedrosa': 0.6, 'Nemanja Gudelj': 0.5, 'Peque': 0.5, 'Chidera Ejuke': 0.5, 'Marcos Acuna': 0.4, 'Juanlu Sanchez': 0.3, 'Tanguy Kouassi': 0.3, 'Manu Bueno': 0.2, 'Jose Ngel Carmona': 0.1, 'Marcao': 0.1, 'Marko Dmitrovic': 0.1, 'Oscar Rodriguez': 0.0, 'Joan Jordan': 0.0, 'Ludwig Augustinsson': 0.0, 'Gonzalo Montiel': 0.0, 'Saul Niguez': 0.0}"
Real Sociedad,"{'Hamari Traore': 0.8, 'Igor Zubeldia': 0.9, 'Jon Pacheco': 0.8, 'Javi Lopez ': 0.7, 'Martin Zubimendi': 0.9, 'Mikel Merino': 0.6, 'Brais Mendez': 0.95, 'Takefusa Kubo': 0.7, 'Sheraldo Becker': 0.6, 'Mikel Oyarzabal': 0.7, 'Alex Remiro': 0.95, 'Ander Barrenetxea': 0.5, 'Sergio Gomez': 0.4, 'Aritz Elustondo': 0.3, 'Arsen Zakharyan': 0.25, 'Aihen Munoz': 0.2, 'Umar Sadiq': 0.2, 'Jon Aramburu': 0.2, 'Carlos Fernandez': 0.1, 'Benat Turrientes': 0.1, 'Alvaro Odriozola': 0.1, 'Unai Marrero': 0.05, 'Robert Navarro': 0.0, 'Jon Ander Olasagasti': 0.0, 'Urko Gonzalez De Zarate': 0.0}"
Alavés,"{'Jon Guridi': 0.95, 'Carlos Vicente': 0.9, 'Kike Garcia': 0.6, 'Moussa Diarra ': 0.7, 'Stoichkov': 0.6, 'Abdel Abqar': 0.95, 'Antonio Sivera': 0.95, 'Ander Guevara': 0.8, 'Antonio Blanco': 0.6, 'Nahuel Tenaglia': 0.9, 'Manu Sanchez': 0.8, 'Carlos Benavidez': 0.5, 'Asier Villalibre': 0.4, 'Tomas Conechny': 0.4, 'Luis Rioja': 0.3, 'Luka Romero': 0.2, 'Aleksandar Sedlar': 0.2, 'Alvaro Garcia ': 0.1, 'Jesus Owono': 0.05, 'Joaquin Panichelli': 0.0, 'Abde Rebbach': 0.0, 'Xeber Alkain': 0.0, 'Abdallahi Mahmoud': 0.0, 'Nikola Maras': 0.0, 'Hugo Novoa': 0.0}"
Rayo,"{'Ivan Balliu': 0.8, 'Alvaro Garcia': 0.9, 'Raul De Tomas': 0.5, 'Isi Palazon': 0.9, 'Oscar Trejo': 0.5, 'Unai Lopez': 0.5, 'Scar Valentin': 0.7, 'Alfonso Espino': 0.5, 'Abdul Mumin': 0.8, 'Florian Lejeune': 0.95, 'Dani Cardenas': 0.9, 'Sergio Camello': 0.5, 'Pep Chavarria': 0.5, 'Gerard Gumbau': 0.4, 'Pathe Ciss': 0.4, 'Jorge De Frutos': 0.4, 'Adrian Embarba': 0.3, 'Aridane Hernandez': 0.2, 'Andrei Florin': 0.2, 'Miguel Angel Morro': 0.1, 'Pelayo Fernandez': 0.05, 'Andres Martin': 0.0, 'Randy Nteka': 0.0, 'Bebe': 0.0, 'Jonathan Montiel': 0.0, 'Martin Pascual': 0.0, 'Diego Mendez': 0.0}"
Osasuna,"{'Ruben Pena': 0.8, 'Sergio Herrera': 0.7, 'Moi Gomez': 0.6, 'Aimar Oroz': 0.6, 'Jon Moncayola': 0.5, 'Lucas Torro': 0.7, 'Abel Bretones': 0.7, 'Jorge Herrando': 0.8, 'David Garcia Zubiria': 0.5, 'Jesus Areso': 0.9, 'Ante Budimir': 0.95, 'Ruben Garcia': 0.5, 'Iker Munoz': 0.5, 'Pablo Ibanez': 0.4, 'Alejandro Catena': 0.35, 'Unai Garcia': 0.35, 'Juan Cruz ': 0.3, 'Jose Arnaiz': 0.3, 'Aitor Fernandez': 0.3, 'Raul Garcia ': 0.15, 'Nacho Vidal': 0.1, 'Ander Yoldi': 0.0, 'Iker Benito': 0.0, 'Javi Martinez ': 0.0, 'Diego Moreno': 0.0, 'Kike Barja': 0.0}"
Mallorca,"{'Takuma Asano': 0.6, 'Pedrag Rajkovic': 0.9, 'Pablo Maffeo': 0.5, 'Antonio Raillo': 0.95, 'Martin Valjent': 0.8, 'Antonio Lato': 0.6, 'Samu Almeida': 0.8, 'Antonio Sanchez': 0.5, 'Dani Rodriguez': 0.8, 'Sergi Darder': 0.9, 'Vedat Muriqi': 0.95, 'Omar Mascarell': 0.4, 'Mateu Morey': 0.4, 'Siebe Van Der Heyden': 0.35, 'Johan Mojica': 0.3, 'Manuel Morlanes': 0.3, 'Jose Manuel Copete': 0.3, 'Cyle Larin': 0.2, 'Abdon Prats': 0.15, 'Giovanni Gonzalez': 0.1, 'Dominik Greif': 0.1, 'Ivan Cuellar': 0.0, 'Leo Roman': 0.0, 'Javi Llabres': 0.0}"
