Alavés,"{'Kike García ': 'ATT', 'Omorodion ': 'ATT', 'Sylla ': 'ATT', 'Simeone ': 'ATT', 'Panichelli ': 'ATT', 'De La Fuente ': 'ATT', 'Luis Rioja ': 'MID', 'Guridi ': 'MID', 'Guevara ': 'MID', 'Benavidez ': 'MID', 'Blanco ': 'MID', 'Alkain ': 'MID', 'Rebbach ': 'MID', 'Hagi ': 'MID', 'Abdallahi ': 'MID', 'Rubén Duarte ': 'DEF', 'Gorosabel ': 'DEF', 'Sedlar ': 'DEF', 'Rafa Marín ': 'DEF', 'Javier López ': 'DEF', 'Abqar ': 'DEF', 'Tenaglia ': 'DEF', 'Maras ': 'DEF', 'Sebastián Pino ': 'DEF', 'Sivera ': 'GK', 'Owono ': 'GK'}"
Almería,"{'Ramazani ': 'ATT', 'L. Suárez ': 'ATT', 'Ibrahima Koné ': 'ATT', 'Milovanovic ': 'ATT', 'Marciano ': 'ATT', 'Iddrisu Baba ': 'MID', 'Embarba ': 'MID', 'Robertone ': 'MID', 'Sergio Arribas ': 'MID', 'Lopy ': 'MID', 'Melero ': 'MID', 'Lázaro ': 'MID', 'Leo Baptistao ': 'MID', 'Eguaras ': 'MID', 'Puigmal ': 'MID', 'Kaiky ': 'DEF', 'Akieme ': 'DEF', 'Pubill ': 'DEF', 'Chumi ': 'DEF', 'Alejandro Pozo ': 'DEF', 'Edgar González ': 'DEF', 'Centelles ': 'DEF', 'Mendes ': 'DEF', 'Luis Maximiano ': 'GK', 'Diego Mariño ': 'GK', 'Fernando ': 'GK'}"
Athletic de Bilbao,"{'Guruzeta ': 'ATT', 'Iñaki Williams ': 'ATT', 'Nico Williams ': 'ATT', 'Villalibre ': 'ATT', 'Raúl García ': 'ATT', 'Martón ': 'ATT', 'Vesga ': 'MID', 'Galarreta ': 'MID', 'Unai Gómez ': 'MID', 'Berenguer ': 'MID', 'Sancet ': 'MID', 'Ander Herrera ': 'MID', 'Muniain ': 'MID', 'Beñat Prados ': 'MID', 'Dani García ': 'MID', 'Nolaskoain ': 'MID', 'Adu Ares ': 'MID', 'Vivian ': 'DEF', 'Imanol ': 'DEF', 'Aitor Paredes ': 'DEF', 'Lekue ': 'DEF', 'De Marcos ': 'DEF', 'Yuri ': 'DEF', 'Yeray ': 'DEF', 'Unai Simón ': 'GK', 'Agirrezabala ': 'GK'}"
Atlético de Madrid,"{'Memphis Depay ': 'ATT', 'Morata ': 'ATT', 'Griezmann ': 'ATT', 'Correa ': 'ATT', 'Lino ': 'ATT', 'Borja Garcés ': 'ATT', 'João Félix ': 'ATT', 'Pablo Barrios ': 'MID', 'Rodrigo De Paul ': 'MID', 'Marcos Llorente ': 'MID', 'Carrasco ': 'MID', 'Saúl Ñíguez ': 'MID', 'Witsel ': 'MID', 'Riquelme ': 'MID', 'Lemar ': 'MID', 'Vitolo ': 'MID', 'Koke ': 'MID', 'Azpilicueta ': 'DEF', 'Savic ': 'DEF', 'Mario Hermoso ': 'DEF', 'Söyüncü  ': 'DEF', 'Nahuel Molina ': 'DEF', 'Giménez ': 'DEF', 'Javi Galán ': 'DEF', 'Reinildo ': 'DEF', 'Oblak ': 'GK', 'Grbić ': 'GK', 'Antonio Gomis ': 'GK'}"
Barcelona,"{'Lamine Yamal ': 'ATT', 'Ferrán Torres  ': 'ATT', 'Ansu Fati ': 'ATT', 'Abde Ezzalzouli ': 'ATT', 'Lewandowski ': 'ATT', 'Alarcón ': 'ATT', 'Raphinha ': 'ATT', 'De Jong ': 'MID', 'Gavi ': 'MID', 'Gündogan ': 'MID', 'Pedri ': 'MID', 'Oriol Romeu ': 'MID', 'Fermín López ': 'MID', 'Kounde ': 'DEF', 'Baldé ': 'DEF', 'Christensen ': 'DEF', 'Ronald Araújo ': 'DEF', 'Eric García ': 'DEF', 'Sergi Roberto ': 'DEF', 'Marcos Alonso ': 'DEF', 'Íñigo Martínez ': 'DEF', 'Lenglet ': 'DEF', 'Ter Stegen ': 'GK', 'Iñaki Peña ': 'GK'}"
Betis,"{'Willian José ': 'ATT', 'Luiz Henrique ': 'ATT', 'Juan Cruz ': 'ATT', 'Borja Iglesias ': 'ATT', 'Isco ': 'MID', 'Ayoze Pérez ': 'MID', 'Marc Roca ': 'MID', 'Guido Rodríguez ': 'MID', 'Aitor Ruibal ': 'MID', 'Rodri Sánchez ': 'MID', 'Guardado ': 'MID', 'Akouokou ': 'MID', 'Nabil Fekir ': 'MID', 'William Carvalho ': 'MID', 'Altimira ': 'MID', 'Sabaly ': 'DEF', 'Pezzella ': 'DEF', 'Luiz Felipe ': 'DEF', 'Abner Vinicius ': 'DEF', 'Juan Miranda ': 'DEF', 'Bartra ': 'DEF', 'Bellerin ': 'DEF', 'Chadi Riad ': 'DEF', 'Rui Silva ': 'GK', 'Claudio Bravo ': 'GK'}"
Celta de Vigo,"{'Iago Aspas ': 'ATT', 'Larsen ': 'ATT', 'Miguel Rodríguez ': 'ATT', 'Carles Pérez ': 'ATT', 'Paciencia ': 'ATT', 'Pablo Durán ': 'ATT', 'Douvikas ': 'ATT', 'Bamba ': 'MID', 'Fran Beltrán ': 'MID', 'Hugo Sotelo ': 'MID', 'de la Torre ': 'MID', 'Cervi ': 'MID', 'Renato Tapia ': 'MID', 'Baeza ': 'MID', 'Swedberg ': 'MID', 'Carlos Dotor ': 'MID', 'Mingueza ': 'DEF', 'Unai Núñez ': 'DEF', 'Aidoo ': 'DEF', 'Starfelt ': 'DEF', 'Manu Sánchez ': 'DEF', 'Kevin Vázquez ': 'DEF', 'Carreira ': 'DEF', 'Carlos Domínguez ': 'DEF', 'Iván Villar ': 'GK', 'Marchesín ': 'GK'}"
Cádiz,"{'Chris Ramos ': 'ATT', 'Roger Martí ': 'ATT', 'Rubén Sobrino ': 'ATT', 'Maxi Gómez ': 'ATT', 'Guardiola ': 'ATT', 'Negredo ': 'ATT', 'Osmajic ': 'ATT', 'De la Rosa ': 'ATT', 'Darwin Machís ': 'MID', 'Alcaraz ': 'MID', 'Ivi Alejo ': 'MID', 'San Emeterio ': 'MID', 'Álex Fdez ': 'MID', 'José Mari ': 'MID', 'Bastida ': 'MID', 'Brian Ocampo ': 'MID', 'Youba Diarra ': 'MID', 'Escalante ': 'MID', 'Luis Hernández ': 'DEF', 'Javi Hernández ': 'DEF', 'Fali ': 'DEF', 'Iza ': 'DEF', 'Lucas Pires ': 'DEF', 'Meré ': 'DEF', 'Zaldúa ': 'DEF', 'Chust ': 'DEF', 'M. Mbaye ': 'DEF', 'Carlos García ': 'DEF', 'Ledesma ': 'GK', 'David Gil ': 'GK'}"
Getafe,"{'Borja Mayoral ': 'ATT', 'Portu ': 'ATT', '""Choco"" Lozano ': 'ATT', 'Latasa ': 'ATT', 'Enes Ünal ': 'ATT', 'Jaime Mata ': 'ATT', 'Carles Aleñá ': 'MID', 'Maksimovic ': 'MID', 'Santi García ': 'MID', 'Luis Milla ': 'MID', 'Arambarri ': 'MID', 'Djené ': 'DEF', 'Damián Suárez ': 'DEF', 'Domingos Duarte ': 'DEF', 'Gastón Álvarez ': 'DEF', 'Juan Iglesias ': 'DEF', 'Mitrovic ': 'DEF', 'Angileri ': 'DEF', 'Alderete ': 'DEF', 'Carmona ': 'DEF', 'David Soria  ': 'GK', 'Fuzato ': 'GK'}"
Girona,"{'Stuani ': 'ATT', 'Tsygankov ': 'ATT', 'Dovbyk ': 'ATT', 'Joel Roca ': 'ATT', 'Aleix García ': 'MID', 'Yangel Herrera ': 'MID', 'Savio ': 'MID', 'Iván Martín  ': 'MID', 'Valery Fernández ': 'MID', 'Pablo Torre ': 'MID', 'Borja García ': 'MID', 'Toni Villa ': 'MID', 'Kebe ': 'MID', 'Artero ': 'MID', 'David López ': 'DEF', 'Gutiérrez ': 'DEF', 'Blind ': 'DEF', 'Arnau ': 'DEF', 'Juanpe ': 'DEF', 'Yan Couto ': 'DEF', 'Callens ': 'DEF', 'Bernardo ': 'DEF', 'Bueno ': 'DEF', 'Gazzaniga ': 'GK', 'Juan Carlos ': 'GK', 'Fuidias ': 'GK'}"
