Vinícius Júnior,Vinícius Jr
Rodrygo,Rodrygo
Joselu,Joselu
Luka Modrić,Modric
Toni Kroos,Kroos
Jude Bellingham,Jude Bellingham
Federico Valverde,Valverde
Eduardo Camavinga,Camavinga
Aurélien Tchouaméni,Tchouameni
Arda Güler,Arda Güler
Brahim Díaz,Brahim Díaz
Dani Ceballos,Ceballos
Reinier,Reinier
Éder Militão,Militão
David Alaba,David Alaba
Antonio Rüdiger,Rüdiger
Daniel Carvajal,Carvajal
Ferland Mendy,Mendy
Lucas Vázquez,Lucas Vázquez
Nacho Fernández,Nacho
Álvaro Odriozola,Odriozola
Fran García,Fran García
Thibaut Courtois,Courtois
Kepa Arrizabalaga,Kepa
Andriy Lunin,Lunin
Radamel Falcao,Falcao
Raúl de Tomás,De Tomás
Randy Nteka,Randy Nteka
Andrés Martín,Andrés Martín
Sergio Moreno,Sergio Moreno
Ismaila Ciss,Pathé Ciss
Isi Palazón,Isi Palazón
Óscar Trejo,Trejo
Álvaro García,Álvaro García
Óscar Valentín,Óscar Valentín
Unai López,Unai López
Bebé,Bebé
Kike Pérez,Kike Perez
Salvi,Savic
José Pozo,José Pozo
Pablo Muñoz,Pablo Marín
Alfonso Espino,Alfonso Pastor
Abdul Mumin,Abdul Mumin
Florian Lejeune,Lejeune
Ivan Balliu,Iván Balliu
Aridane Hernández,Aridane Hernández
Josep Chavarría,Pep Chavarría
Martín Pascual,Martín Pascual
Jorge Moreno,Jorge Moreno
Sergio Arribas,Sergio Arribas
Stole Dimitrievski,Dimitrievski
Miguel Ángel Morro,Miguel Ángel Morro
Miguel Benedí,Miguel Rubio
Samu Castillejo,Samu Castillejo
Hugo Duro,Hugo Duro
Marcos André,Marcos André
Diego Lopez Noguerol,Diego Lopez
Fran Pérez,Francisco Pérez
Alberto Mari,Alberto Mari
André Almeida,André Almeida
Hugo Guillamón,Guillamón
Sergi Canós,Sergi Canós
Pepelu,Pepelu
Javier Guerra,Javier Guerra
Javi Navarro,Javier Martón
José Luis Gayà,Gayà
Mouctar Diakhaby,Diakhaby
Gabriel Paulista,Gabriel Paulista
Cenk Özkaçar,Cenk Özkacar
Thierry Correia,Thierry Correia
Eray Cömert,Eray Cömert
Jesús Vázquez,Jesús Vázquez
Dimitri Foulquier,Foulquier
Cristhian Mosquera,Cristhian Mosquera
Giorgi Mamardashvili,Giorgi Mamardashvili
Jaume Doménech,Jaume Doménech
Cristian Rivero,Cristian Rivero
Sávio,Sávio
Artem Dovbyk,Artem Dovbyk
Cristhian Stuani,Stuani
Manu Vallejo,Iván Alejo
Iker Almena,Mikel Merino
Pablo Torre,Pablo Torre
Viktor Tsygankov,Tsygankov
Aleix García,Aleix García
Yangel Herrera,Yangel Herrera
Yan Couto,Yan Couto
Iván Martín,Iván Martín
Toni Villa,Toni Villa
Borja García,Borja García
Ibrahima Kébé,Ibrahima Kébé
Silvi Clúa,Azpilicueta
Daley Blind,Daley Blind
Miguel Gutiérrez,Miguel Gutiérrez
Arnau Martínez,Arnau Martínez
