Argentina,"{'Alejandro Garnacho': 7.03, 'Alexis Mac Allister': 7.15, 'Alistair Johnston': 7.27, 'Ángel Di María': 7.71, 'Cristian Romero': 7.26, 'Dibu Martínez': 7.08, 'Emiliano Martínez': 7.08, 'Enzo Fernández': 7.32, 'Exequiel Palacios': 7.57, 'Franco Armani': 7.12, 'Germán Pezzella': 6.95, 'Gerónimo Rulli': 6.82, 'Gonzalo Montiel': 6.77, 'Guido Rodríguez': 7.0, 'Julián Álvarez': 7.3, 'Lautaro Martínez': 7.42, 'Leandro Paredes': 7.16, 'Lionel Messi': 7.88, 'Lisandro Martínez': 6.75, 'Giovani Lo Celso': 7.13, 'Lucas Martínez Quarta': 7.1, 'Marcos Acuña': 6.82, 'Nahuel Molina': 6.86, 'Nicolás González': 7.23, 'Nicolás Otamendi': 7.25, 'Nicolás Tagliafico': 6.99, 'Rodrigo de Paul': 7.23, 'Valentín Carboni': 6.83}"
Brazil,"{'Alisson': 7.08, 'Andreas Pereira': 7.06, 'Bento': 7.07, 'Bremer': 7.12, 'Bruno Guimarães': 7.33, 'Casemiro': 7.23, 'Yan Couto': 6.95, 'Danilo': 7.28, 'Douglas Luiz': 7.17, 'Éder Militão': 6.86, 'Éderson': 7.11, 'Emerson Royal': 6.96, 'Endrick': 7.02, 'Evanilson': 7.31, 'Gabriel Magalhães': 7.08, 'Gabriel Martinelli': 7.05, 'Guilherme Arana': 7.1, 'João Gomes': 6.75, 'Lucas Beraldo': 6.95, 'Lucas Paquetá': 7.14, 'Manfred Ugalde': 7.17, 'Marquinhos': 7.15, 'Neymar': 7.98, 'Pepê': 7.23, 'Rafael': 6.97, 'Raphinha': 7.34, 'Rodrygo': 7.26, 'Sávio': 7.28, 'Vinícius Júnior': 7.37, 'Wendell': 7.28}"
Uruguay,"{'Agustín Canobbio': 7.17, 'Rodrigo Bentancur': 6.87, 'Brian Ocampo': 6.61, 'Brian Rodríguez': 6.88, 'Cristian Olivera': 6.96, 'Darwin Núñez': 7.18, 'Emiliano Martínez': 6.8, 'Éric Davis': 7.04, 'Facundo Pellistri': 6.83, 'Federico Valverde': 7.3, 'Franco Israel': 6.85, 'Giorgian De Arrascaeta': 7.39, 'Guillermo Varela': 6.93, 'José María Giménez': 6.92, 'Lucas Olaza': 6.93, 'Luis Suárez': 7.33, 'Manuel Ugarte': 6.94, 'Mathías Olivera': 7.03, 'Matías Viña': 6.9, 'Maximiliano Araújo': 6.93, 'Nahitan Nández': 6.81, 'Nicolás de la Cruz': 7.5, 'Nicolás Marichal': 6.82, 'Ronald Araújo': 7.0, 'Santiago Mele': 7.1, 'Sebastián Cáceres': 6.93, 'Sergio Rochet': 6.97}"
Colombia,"{'Álvaro Montero': 7.0, 'Camilo Vargas': 6.87, 'Carlos Cuesta': 6.9, 'Cristián Borja': 6.94, 'Daniel Muñoz': 7.4, 'David Ospina': 6.99, 'Davinson Sánchez': 7.0, 'Deiver Machado': 6.91, 'James Rodríguez': 7.14, 'Jefferson Lerma': 7.05, 'Jhon Arias': 7.25, 'Jhon Córdoba': 7.18, 'Jhon Durán': 6.86, 'Jhon Lucumí': 7.08, 'Johan Mojica': 6.76, 'Jorge Carrascal': 6.98, 'Juan Fernando Quintero': 7.44, 'Kevin Castaño': 6.87, 'Luis Díaz': 7.23, 'Luis Sinisterra': 7.18, 'Mateus Uribe': 7.04, 'Miguel Borja': 7.22, 'Santos Borré': 6.81, 'Rafael Borré': 6.81, 'Richard Ríos': 6.74, 'Santiago Arias': 7.11, 'Yáser Asprilla': 7.09, 'Yerry Mina': 6.87}"
USA,"{'Antonee Robinson': 7.04, 'Brenden Aaronson': 6.67, 'Bryan Reynolds': 6.75, 'Cade Cowell': 6.86, 'Cameron Carter-Vickers': 7.11, 'Chris Richards': 6.88, 'Christian Pulišić': 7.22, 'DeJuan Jones': 6.82, 'Đorđe Mihailović': 7.22, 'Ethan Horvath': 6.86, 'Folarin Balogun': 6.77, 'Gianluca Busio': 7.15, 'Gio Reyna': 7.01, 'Giovanni Reyna': 7.01, 'Haji Wright': 6.97, 'James Sands': 6.93, 'Jesús Ferreira': 7.3, 'Johnny': 6.95, 'Josh Sargent': 7.08, 'Julian Gressel': 7.03, 'Kristoffer Lund': 7.0, 'Luca De La Torre': 6.74, 'Malik Tillman': 7.3, 'Mark McKenzie': 7.15, 'Matt Turner': 7.14, 'Miles Robinson': 7.09, 'Jalen Neal': 6.9, 'Ricardo Pepi': 6.84, 'Joseph Scally': 6.64, 'Sean Johnson': 6.86, 'Shaq Moore': 6.9, 'Tim Ream': 6.88, 'Tyler Adams': 6.555, 'Timothy Weah': 6.81, 'Weston McKennie': 7.07, 'Yunus Musah': 6.77}"
Mexico,"{'Alexis Vega': 7.13, 'Brian García': 6.99, 'Bryan González': 6.97, 'Carlos Acevedo': 6.98, 'Carlos Rodríguez': 7.08, 'Cesar Huerta': 7.07, 'César Montes': 6.78, 'Edson Álvarez': 6.88, 'Erick Sánchez': 7.23, 'Gerardo Arteaga': 6.9, 'Guillermo Martínez': 7.2, 'Henry Martín': 7.14, 'Israel Reyes': 7.01, 'Jesús Gallardo': 7.01, 'Jesús Orozco': 6.76, 'Johan Vásquez': 7.03, 'Jordi Cortizo': 7.07, 'Jorge Sánchez': 6.77, 'José Rangel': 7.22, 'Julián Quiñones': 7.27, 'Julio González': 7.17, 'Luis Chávez': 7.22, 'Marcelo Flores': 7.0, 'Orbelín Pineda': 7.13, 'Roberto Alvarado': 7.26, 'Luis Romo': 7.01, 'Santiago Giménez': 7.07, 'Uriel Antuna': 7.26}"
Ecuador,"{'Alan Franco': 6.81, 'Alexander Domínguez': 7.25, 'Andres Micolta': 6.71, 'Andrés Hurtado': 6.75, 'Ángel Mena': 7.28, 'Ángelo Preciado': 6.96, 'Carlos Gruezo': 6.67, 'Enner Valencia': 6.89, 'Félix Torres': 7.12, 'Hernán Galíndez': 7.16, 'Jackson Porozo': 6.91, 'Janner Corozo': 6.85, 'Jeremy Sarmiento': 6.82, 'Joao Ortíz': 6.86, 'Joel Ordóñez': 6.77, 'John Yeboah': 6.98, 'Jordy Caicedo': 6.78, 'José Cifuentes': 6.89, 'Kendry Páez': 7.23, 'Layan Loor': 6.91, 'Alan Minda': 6.84, 'Moisés Caicedo': 7.14, 'Moisés Ramírez': 6.92, 'Pervis Estupiñán': 7.0, 'Piero Hincapié': 7.07, 'Robert Arboleda': 7.13, 'Kevin Rodriguez': 6.72, 'Willian Pacho': 7.01}"
Chile,"{'Alexis Sánchez': 7.0, 'Arturo Vidal': 7.11, 'Ben Brereton Díaz': 6.76, 'Benjamin Kuscevic': 6.85, 'Brayan Cortés': 6.99, 'César Pérez': 7.06, 'Claudio Bravo': 7.03, 'Cristián Zavala': 6.94, 'Darío Osorio': 7.02, 'Diego Valdés': 7.52, 'Eduardo Vargas': 6.82, 'Erick Pulgar': 6.92, 'Esteban Pavez': 6.96, 'Gabriel Arias': 7.02, 'Gabriel Suazo': 6.99, 'Guillermo Maripán': 6.81, 'Igor Lichnovsky': 7.06, 'Luis Advíncula': 6.9, 'Marcelino Núñez': 6.93, 'Marcos Bolados': 6.9, 'Matías Catalán': 7.03, 'Mauricio Isla': 7.11, 'Maximiliano Guerrero': 7.14, 'Nicolás Fernández': 6.72, 'Paulo Díaz': 7.23, 'Rodrigo Echeverría': 6.94, 'Thomas Galdames': 7.13, 'Vicente Pizarro': 6.9, 'Victor Dávila': 7.16}"
Venezuela,"{'Alexander González': 6.76, 'Christian Makoun': 6.64, 'Cristian Cásseres Jr.': 6.84, 'Daniel Pereira': 6.82, 'Darwin Machís': 6.78, 'Eduard Bello': 6.77, 'Eric Ramírez': 6.85, 'Jefferson Savarino': 7.16, 'Jhon Chancellor': 6.91, 'Jhonder Cádiz': 7.07, 'Joel Graterol': 6.96, 'Jon Aramburu': 6.73, 'José Contreras': 7.07, 'José Martínez': 6.86, 'Kervin Andrade': 6.98, 'Matías Lacava': 6.67, 'Miguel Navarro': 6.86, 'Nahuel Ferraresi': 7.06, 'Rafael Romo': 7.17, 'Salomón Rondón': 7.1, 'Telasco Segovia': 6.79, 'Tomás Rincón': 6.73, 'Wilker Ángel': 6.92, 'Yangel Herrera': 7.05, 'Yeferson Soteldo': 7.11, 'Yordan Osorio': 6.96}"
Canada,"{'Ali Ahmed': 7.01, 'Alistair Johnston': 7.27, 'Alphonso Davies': 7.07, 'Theo Bair': 7.09, 'Thelonius Bair': 7.09, 'Moise Bombito': 6.87, 'Cyle Larin': 6.78, 'Dayne St. Clair': 6.91, 'Derek Cornelius': 7.24, 'Kyle Hiebert': 6.61, 'Ismael Koné': 6.96, 'Jacen Russell-Rowe': 6.95, 'Jayden Nelson': 6.86, 'Joel Waterman': 7.09, 'Jonathan David': 7.2, 'Jonathan Osorio': 7.04, 'Junior Hoilett': 7.09, 'Kamal Miller': 6.8, 'Luc De Fougerolles': 6.0, 'Lucas Cavallini': 6.67, 'Mathieu Choinière': 7.2, 'Maxime Crépeau': 6.98, 'Milan Borjan': 6.9, 'Liam Millar': 6.97, 'Tani Oluwaseyi': 7.15, 'Richie Laryea': 7.02, 'Samuel Piette': 6.83, 'Jacob Shaffelburg': 6.81, 'Stephen Eustaquio': 7.09, 'Steven Vitória': 6.55, 'Tajon Buchanan': 6.83, 'Tom McGill': 6.0}"
