Germany,"{'Aleksandar Pavlović': 7.01, 'Antonio Rüdiger': 6.94, 'Benjamin Henrichs': 7.15, 'Chris Führich': 7.24, 'David Raum': 7.34, 'Deniz Undav': 7.57, 'Dominik Szoboszlai': 7.28, 'Emre Can': 7.0, 'Florian Wirtz': 7.55, 'İlkay Gündoğan': 7.33, 'Jamal Musiala': 7.4, 'Jonathan Tah': 7.04, 'Joshua Kimmich': 7.4, 'Kai Havertz': 7.1, 'Leroy Sané': 7.29, 'Manuel Neuer': 6.94, 'Marc-André ter Stegen': 7.13, 'Maximilian Beier': 7.04, 'Maximilian Mittelstädt': 7.31, 'Niclas Füllkrug': 7.08, 'Nico Schlotterbeck': 7.25, 'Oliver Baumann': 7.38, 'Pascal Groß': 7.47, 'Robert Andrich': 7.13, 'Robin Koch': 6.99, 'Thomas Müller': 7.14, 'Toni Kroos': 7.59, 'Waldemar Anton': 7.18}"
Scotland,"{'Andrew Robertson': 7.23, 'Angus Gunn': 6.98, 'Anthony Ralston': 7.12, 'Callum McGregor': 7.17, 'Che Adams': 6.97, 'Billy Gilmour': 6.94, 'Grant Hanley': 6.76, 'Greg Taylor': 7.2, 'Jack Hendry': 6.87, 'James Forrest': 7.01, 'John McGinn': 7.08, 'Kenny McLean': 7.0, 'Kieran Tierney': 6.93, 'Lawrence Shankland': 7.34, 'Lewis Morgan': 7.4, 'Liam Cooper': 6.94, 'Liam Kelly': 6.91, 'Michel Aebischer': 6.84, 'Ryan Porteous': 6.99, 'Ross McCrorie': 6.7, 'Ryan Christie': 7.03, 'Ryan Jack': 6.87, 'Scott McKenna': 6.83, 'Scott McTominay': 6.95, 'Stuart Armstrong': 7.09, 'Tommy Conway': 6.89, 'Zander Clark': 6.94}"
Hungary,"{'Ádám Lang': 6.78, 'Ádám Nagy': 6.74, 'András Schäfer': 6.79, 'Attila Fiola': 6.74, 'Attila Szalai': 6.58, 'Barnabás Varga': 7.55, 'Bendegúz Bolla': 6.88, 'Botond Balogh': 6.75, 'Kevin Csoboth': 6.99, 'Dániel Gazdag': 7.11, 'Dénes Dibusz': 7.02, 'Dominik Szoboszlai': 7.28, 'Endre Botka': 6.85, 'Krisztofer Horváth': 7.29, 'László Kleinheisler': 6.69, 'Loic Négo': 6.77, 'Martin Ádám': 6.92, 'Márton Dárdai': 6.88, 'Mihály Kata': 7.04, 'Miloš Kerkez': 6.75, 'Péter Gulácsi': 7.13, 'Péter Szappanos': 7.04, 'Roland Sallai': 7.09, 'Callum Styles': 6.76, 'Willi Orbán': 7.11, 'Zsolt Nagy': 7.32}"
Switzerland,"{'Ardon Jashari': 7.12, 'Breel Embolo': 6.935, 'Cedric Zesiger': 6.76, 'Dan Ndoye': 6.94, 'Denis Zakaria': 7.07, 'Fabian Rieder': 6.89, 'Fabian Schär': 7.03, 'Granit Xhaka': 7.45, 'Gregor Kobel': 7.21, 'Kwadwo Duah': 7.13, 'Leonidas Stergiou': 6.67, 'Manuel Akanji': 7.16, 'Michel Aebischer': 6.84, 'Nico Elvedi': 6.97, 'Noah Okafor': 6.77, 'Remo Freuler': 6.97, 'Renato Steffen': 7.3, 'Ricardo Rodríguez': 6.96, 'Ruben Vargas': 6.91, 'Silvan Widmer': 6.82, 'Steven Zuber': 7.04, 'Vincent Sierro': 7.07, 'Xherdan Shaqiri': 7.14, 'Yann Sommer': 7.06, 'Yvon Mvogo': 7.16, 'Zeki Amdouni': 6.78}"
Spain,"{'Alejandro Baena': 7.21, 'Alejandro Grimaldo': 7.61, 'Álex Remiro': 7.07, 'Álvaro Morata': 7.0, 'Aymeric Laporte': 7.14, 'Ayoze Pérez': 7.08, 'Dani Olmo': 7.35, 'Daniel Carvajal': 7.25, 'Daniel Vivian': 6.98, 'David Raya': 6.92, 'Fabián Ruiz': 7.28, 'Fermín López': 6.95, 'Ferran Torres': 7.07, 'Jesús Navas': 6.9, 'Joselu': 6.98, 'Lamine Yamal': 7.33, 'Marc Cucurella': 7.06, 'Martín Zubimendi': 7.01, 'Mikel Merino': 7.3, 'Mikel Oyarzabal': 6.92, 'Nacho Fernández': 6.86, 'Nico Williams': 7.24, 'Pedri': 7.16, 'Robin Le Normand': 6.96, 'Rodri': 7.9, 'Unai Simón': 7.06}"
Croatia,"{'Andrej Kramarić': 7.54, 'Ante Budimir': 7.13, 'Borna Sosa': 6.96, 'Bruno Petković': 7.39, 'Domagoj Vida': 7.08, 'Dominik Livaković': 6.94, 'Ivan Perišić': 7.05, 'Ivica Ivušić': 6.95, 'Josip Juranović': 6.88, 'Josip Stanišić': 7.1, 'Josip Šutalo': 6.97, 'Joško Gvardiol': 7.28, 'Lovro Majer': 7.05, 'Luka Ivanušec': 7.18, 'Luka Modrić': 7.26, 'Luka Sučić': 7.29, 'Marcelo Brozović': 7.41, 'Marco Pašalić': 7.12, 'Marin Pongračić': 6.9, 'Mario Pašalić': 6.9, 'Marko Pjaca': 7.22, 'Martin Baturina': 7.27, 'Martin Erlić': 6.77, 'Mateo Kovačić': 7.04, 'Nediljko Labrović': 6.79}"
Italy,"{'Alessandro Bastoni': 7.23, 'Alessandro Buongiorno': 7.17, 'Alex Meret': 6.93, 'Bryan Cristante': 7.01, 'Andrea Cambiaso': 6.95, 'Davide Frattesi': 6.92, 'Fabián Ruiz': 7.28, 'Federico Chiesa': 7.12, 'Federico Dimarco': 7.21, 'Federico Gatti': 7.0, 'Giacomo Raspadori': 6.93, 'Gianluca Mancini': 7.02, 'Gianluca Scamacca': 7.14, 'Gianluigi Donnarumma': 7.14, 'Giovanni Di Lorenzo': 7.2, 'Guglielmo Vicario': 7.05, 'Jorginho': 6.97, 'Lorenzo Pellegrini': 7.13, 'Mateo Retegui': 6.96, 'Matteo Darmian': 6.85, 'Mattia Zaccagni': 7.11, 'Michael Folorunsho': 6.76, 'Nicolò Barella': 7.15, 'Nicolò Fagioli': 7.02, 'Raoul Bellanova': 7.02, 'Riccardo Calafiori': 7.15, 'Stephan El Shaarawy': 7.0}"
Albania,"{'Amir Abrashi': 6.97, 'Arber Hoxha': 6.84, 'Ardian Ismajli': 6.92, 'Arlind Ajeti': 7.1, 'Armando Broja': 6.61, 'Berat Djimsiti': 7.07, 'Elhan Kastrati': 7.01, 'Elseid Hysaj': 6.64, 'Enea Mihaj': 6.97, 'Ernest Muçi': 7.04, 'Etrit Berisha': 7.21, 'Iván Balliu': 6.82, 'Jasir Asani': 6.95, 'Klaus Gjasula': 6.6, 'Kristjan Asllani': 6.95, 'Marash Kumbulla': 6.1465, 'Medon Berisha': 6.2985, 'Mirlind Daku': 7.07, 'Mario Mitaj': 6.8, 'Naser Aliji': 6.78, 'Nedim Bajrami': 6.85, 'Qazim Laci': 7.05, 'Rey Manaj': 7.25, 'Taulant Seferi': 7.24, 'Thomas Strakosha': 6.08, 'Ylber Ramadani': 6.8}"
Slovenia,"{'Adam Gnezda Čerin': 6.96, 'Adrian Zeljković': 6.99, 'Andraž Šporar': 6.9, 'Benjamin Šeško': 6.96, 'Benjamin Verbič': 6.72, 'David Brekalo': 6.91, 'Erik Janža': 7.03, 'Igor Vekić': 7.6, 'Jaka Bijol': 7.05, 'Jan Mlakar': 6.74, 'Jan Oblak': 7.03, 'Jasmin Kurtić': 6.78, 'Jon Gorenc Stanković': 6.8, 'Josip Iličić': 7.51, 'Jure Balkovec': 6.92, 'Miha Blažič': 6.92, 'Nino Žugelj': 6.93, 'Petar Stojanović': 6.9, 'Sandi Lovrić': 6.91, 'Strahinja Pavlović': 7.2, 'Timi Max Elšnik': 7.05, 'Tomi Horvat': 7.06, 'Vanja Drkušić': 6.94, 'Vid Belec': 7.04, 'Žan Celar': 6.97, 'Žan Karničnik': 7.25, 'Žan Vipotnik': 6.87}"
Denmark,"{'Nelsson': 7.00, 'Alexander Bah': 7.2, 'Anders Dreyer': 7.41, 'Andreas Christensen': 6.94, 'Andreas Skov Olsen': 7.47, 'Christian Eriksen': 7.17, 'Christian Nørgaard': 7.05, 'Mikkel Damsgaard': 6.83, 'Frederik Rønnow': 7.16, 'Morten Hjulmand': 7.0, 'Jacob Bruun Larsen': 6.82, 'Jannik Vestergaard': 7.23, 'Joachim Andersen': 7.05, 'Joakim Mæhle': 6.93, 'Jonas Wind': 7.19, 'Kasper Dolberg': 6.93, 'Kasper Schmeichel': 7.2, 'Victor Kristiansen': 7.0, 'Mads Hermansen': 7.03, 'Mathias Jensen': 6.98, 'Pierre-Emile Højbjerg': 6.95, 'Rasmus Højlund': 6.87, 'Rasmus Kristensen': 6.75, 'Simon Kjær': 6.85, 'Thomas Delaney': 6.91, 'Yussuf Poulsen': 6.8, 'Zanka': 6.86}"
