Girona,"{'Aleix García': 7.44, 'Alex Almansa': 6.0, 'Iker Almena': 6.0, 'Juan Arango': 6.0, 'Arnau Martínez': 6.81, 'Artem Dovbyk': 7.02, 'Borja García': 6.77, 'Yan Couto': 6.87, 'Cristhian Stuani': 6.9, 'Daley Blind': 7.02, 'David López': 7.06, 'Eric García': 6.86, 'Eric Monjonell': 6.0, 'Jastin Garca': 6.0, 'Enric Garcia': 6.0, 'Iván Martín': 6.84, 'Jhon Solís': 6.71, 'Joel Roca Casals': 6.0, 'Juan Carlos': 6.0, 'Juanpe': 6.87, 'Miguel Gutiérrez': 6.94, 'Pablo Torre': 6.8, 'Paulo Gazzaniga': 7.09, 'Portu': 6.67, 'Ricard Artero': 6.0, 'Sávio': 7.24, 'Silvi Clúa': 6.0, 'Toni Fuidias': 6.0, 'Toni Villa': 6.0, 'Valery Fernández': 6.75, 'Viktor Tsygankov': 7.07, 'Antal Yaakobishvili': 6.0, 'Yangel Herrera': 6.93}"
Real Madrid,"{'Álvaro Carrillo': 6.0, 'Álvaro Rodríguez': 6.9, 'Andriy Lunin': 7.05, 'Antonio Rüdiger': 6.94, 'Arda Güler': 7.42, 'Aurélien Tchouaméni': 7.12, 'Brahim Díaz': 6.92, 'Eduardo Camavinga': 7.06, 'Dani Ceballos': 6.93, 'Daniel Carvajal': 7.04, 'David Alaba': 6.97, 'Éder Militão': 7.14, 'Federico Valverde': 7.3, 'Ferland Mendy': 6.8, 'Fran García': 6.81, 'Marvelous Antolin Garzon': 6.0, 'Joselu': 7.04, 'Jude Bellingham': 7.71, 'Kepa Arrizabalaga': 6.94, 'Lucas Vázquez': 7.03, 'Luka Modrić': 7.18, 'Mario Martin': 6.0, 'Nacho Fernández': 6.8, 'Nico Paz': 6.63, 'Edgar Climent Pujol Portorreal': 6.0, 'Rafael Obrador': 6.0, 'Rodrygo': 7.24, 'Thibaut Courtois': 7.19, 'Toni Kroos': 7.41, 'Vinícius Júnior': 7.24}"
Athletic Club,"{'Aitor Paredes': 6.8, 'Álex Berenguer': 6.93, 'Ander Herrera': 6.84, 'Asier Villalibre': 6.91, 'Beñat Prados': 6.83, 'Dani García': 6.74, 'Daniel Vivian': 6.85, 'Gorka Guruzeta': 6.94, 'Iker Muniain': 6.98, 'Imanol Garcia de Albeniz': 6.0, 'Iñaki Williams': 7.18, 'Íñigo Lekue': 6.74, 'Iñigo Ruiz de Galarreta': 6.91, 'Julen Agirrezabala': 6.79, 'Malcom Ares': 6.91, 'Mikel Jauregizar': 6.0, 'Mikel Vesga': 6.87, 'Nico Williams': 7.11, 'Oihan Sancet': 6.92, 'Aingeru Olabarrieta': 6.0, 'Óscar de Marcos': 6.84, 'Alex Padilla': 6.0, 'Peru Nolaskoain Esnal': 6.93, 'Raúl García': 6.69, 'Hugo Rincon Lumbreras': 6.0, 'Unai Eguíluz': 6.0, 'Unai Gómez': 6.71, 'Unai Simón': 6.98, 'Yeray Álvarez': 6.81, 'Yuri Berchiche': 7.03}"
Barcelona,"{'Alejandro Balde': 6.83, 'Ander Astralaga': 6.0, 'Andreas Christensen': 7.02, 'Chadi Riad': 6.86, 'Pau Cubarsi': 6.0, 'Fermín López': 6.93, 'Ferran Torres': 7.0, 'Hector Fort': 6.0, 'Frenkie de Jong': 7.27, 'Gavi': 6.9, 'İlkay Gündoğan': 7.29, 'Iñaki Peña': 6.88, 'Iñigo Martínez': 7.06, 'João Cancelo': 7.27, 'João Félix': 7.03, 'Jules Koundé': 7.05, 'Lamine Yamal': 7.08, 'Marc-André ter Stegen': 7.03, 'Marcos Alonso': 6.81, 'Oriol Romeu': 6.87, 'Pau Víctor': 6.0, 'Pedri': 7.17, 'Pau Prim': 6.0, 'Raphinha': 7.29, 'Robert Lewandowski': 7.12, 'Ronald Araújo': 7.02, 'Sergi Roberto': 6.86, 'Vitor Roque': 6.91, 'Aaron Yaakobisvili': 6.0}"
Atl. Madrid,"{'': 6.0, 'Álex Calatrava': 6.0, 'Álvaro Morata': 7.04, 'Ángel Correa': 6.86, 'Antoine Griezmann': 7.66, 'Axel Witsel': 6.86, 'Rayane Belid': 6.0, 'Çağlar Söyüncü': 6.61, 'César Azpilicueta': 6.75, 'Ilias Kostis': 6.0, 'Alejandro Iturbe': 6.0, 'Ivo Grbić': 6.98, 'Jan Oblak': 7.02, 'Javi Galán': 6.96, 'Javier Boñar': 6.0, 'José María Giménez': 7.0, 'Koke': 7.01, 'Marco Moreno': 6.0, 'Marcos Llorente': 7.0, 'Marcos Paulo': 6.83, 'Mario Hermoso': 7.01, 'Memphis Depay': 6.81, 'Nahuel Molina': 6.89, 'Pablo Barrios': 6.89, 'Reinildo Mandava': 6.0, 'Rodrigo de Paul': 7.29, 'Rodrigo Riquelme': 6.8, 'Salim El Jebari': 6.0, 'Samuel Lino': 7.12, 'Saúl Ñíguez': 6.91, 'Sergio Mestre': 6.0, 'Stefan Savić': 6.8, 'Thomas Lemar': 6.84, 'Vitolo': 6.0}"
Real Sociedad,"{'Aihen Muñoz': 6.88, 'Aitor Fraga': 6.0, 'Álex Remiro': 7.06, 'Álvaro Odriozola': 6.74, 'Ander Barrenetxea': 6.83, 'André Silva': 6.53, 'Jon Mikel Aramburu Mejias': 6.0, 'Aritz Elustondo': 6.74, 'Arsen Zakharyan': 6.99, 'Eneko Astigarraga': 6.0, 'Beñat Turrientes': 6.8, 'Brais Méndez': 7.09, 'Carlos Fernández': 6.64, 'Jon Gorrotxategi': 6.0, 'Hamari Traoré': 7.01, 'Igor Zubeldia': 6.86, 'Jon Ander Olasagasti': 6.0, 'Jon Magunazelaia': 6.0, 'Jon Pacheco': 6.84, 'Kieran Tierney': 6.84, 'Takefusa Kubo': 7.35, 'Alex Lebarbier': 6.0, 'Martín Merquelanz': 6.0, 'Martín Zubimendi': 6.95, 'Mikel Merino': 7.11, 'Mikel Oyarzabal': 6.84, 'Robin Le Normand': 6.9, 'Umar Sadiq': 6.66, 'Unai Marrero': 6.0, 'Urko González': 6.0, 'Jon Martin Vicente': 6.0}"
Betis,"{'Abdessamad Ezzalzouli': 6.87, 'Abner Vinícius': 6.68, 'Aitor Ruibal': 6.9, 'Andrés Guardado': 6.87, 'Assane Diao': 6.0, 'Ayoze Pérez': 6.82, 'Borja Iglesias': 6.78, 'Guilherme Sousa Carvalho Fernandes': 6.0, 'Claudio Bravo': 7.22, 'Dani Pérez': 6.0, 'Enrique Fernández López': 6.0, 'Francisco Vieites': 6.0, 'Germán García': 6.0, 'Germán Pezzella': 6.99, 'Guido Rodríguez': 6.97, 'Héctor Bellerín': 6.6, 'Isco': 7.38, 'Johnny': 6.9, 'Juan Cruz': 6.0, 'Juan Miranda': 7.01, 'Luiz Henrique': 6.84, 'Marc Bartra': 6.79, 'Marc Roca': 6.95, 'Nabil Fekir': 6.0, 'Pablo Busto': 6.0, 'Ricardo Visus': 6.0, 'Rodri Sánchez': 7.04, 'Rui Silva': 6.86, 'Sergi Altimira': 6.0, 'Sokratis': 6.88, 'Gines Sorroche Pinero': 6.0, 'William Carvalho': 6.94, 'Willian José': 6.88, 'Youssouf Sabaly': 6.91}"
Valencia,"{'Alberto Mari': 6.0, 'Selim Amallah': 6.73, 'André Almeida': 6.96, 'Cenk Özkaçar': 6.75, 'César Tárrega': 6.0, 'Thierry Correia': 6.86, 'Cristhian Mosquera': 6.83, 'Cristian Rivero': 6.0, 'Diego Lopez': 6.93, 'Dimitri Foulquier': 6.62, 'Ali Fadal': 6.0, 'Fran Pérez': 6.56, 'Gabriel Paulista': 6.78, 'Yarek Gasiorowski': 7.05, 'Giorgi Mamardashvili': 6.87, 'Hugo Duro': 6.84, 'Hugo Guillamón': 6.7, 'Jaume Doménech': 6.0, '': 6.0, 'José Luis Gayà': 7.03, 'Mouctar Diakhaby': 6.86, 'Javier Navarro Girona': 6.0, 'David Otorbi': 6.0, 'Pablo Gozálbez': 6.0, 'Pepelu': 7.28, 'Jose Luis Perez del Amo': 6.0, 'Roman Yaremchuk': 6.63, 'Sergi Canós': 6.95, 'Martin Tejon Fauli': 6.0}"
Las Palmas,"{'Aarón Escandell': 6.92, 'Aboubacar Bassinga': 6.0, 'Alberto Moleiro': 6.83, 'Alex Suárez': 7.01, 'Álvaro Lemos': 6.77, 'Álvaro Valles': 7.27, 'Deo Gracias Maurile Gloire Bassinga': 6.0, 'Benito Ramírez': 6.81, 'Cristian Herrera': 6.8, 'Daley Sinkgraven': 6.58, 'Eric Curbelo': 7.01, 'Fabio González': 6.81, 'Pau Ferrer Besalduch': 6.0, 'Gabriel Palmero': 6.0, 'Ale Gorrin': 6.0, 'Inaki': 6.0, 'Javier Muñoz': 6.64, 'Jonathan Viera': 7.22, 'Juanma Herzog': 6.0, 'Julian Araujo': 6.86, 'Kirian Rodríguez': 7.28, 'Enzo Loiodice': 6.91, 'Marc Cardona': 6.68, 'Máximo Perrone': 6.9, 'Mika Mármol': 7.08, 'Munir El Haddadi': 6.82, 'Omenuke Mfulu': 6.8, 'Marvin Park': 6.68, 'Pejiño': 6.91, 'Sandro Ramírez': 7.12, 'Gustavo Yadam Santana Hernandez': 6.0, 'Saul Coco': 6.96, 'Sergi Cardona': 7.05, 'Sory Kaba': 6.73}"
Getafe,"{'Anthony Lozano': 6.87, 'Jorge Benito de Valle Martin': 6.0, 'Borja Mayoral': 6.98, 'Carles Aleñá': 6.62, 'Damián Suárez': 6.7, 'Daniel Fuzato': 7.16, 'David Soria': 7.12, 'Diego Rico': 6.91, 'Djené': 6.69, 'Domingos Duarte': 6.67, 'Enes Ünal': 7.21, 'Facundo Esnaider  Ruiz': 6.0, 'Fabrizio Angileri': 6.54, 'Gastón Álvarez': 6.82, 'Gorka Rivera': 6.0, 'Ilaix Moriba': 6.92, 'Jaime Mata': 6.73, 'Jordi': 6.0, 'José Ángel Carmona': 6.55, 'Juan Iglesias': 6.78, 'Juanmi Latasa': 6.94, 'Luis Milla': 7.08, 'Mason Greenwood': 7.08, 'Mauro Arambarri': 6.72, 'Nemanja Maksimović': 6.89, 'Omar Alderete': 6.85, 'Óscar Rodríguez': 6.84, 'J Patrick': 6.0, 'Stefan Mitrović': 6.7}"
