Girona,"{'Aleix García': 7.49, 'Arnau Martínez': 6.79, 'Artem Dovbyk': 7.06, 'Bernardo Espinosa': 6.81, 'Borja García': 6.75, 'Yan Couto': 6.81, 'Cristhian Stuani': 6.74, 'Daley Blind': 6.96, 'David López': 7.08, 'Eric García': 6.86, 'Ibrahima Kébé': 6.0, 'Iván Martín': 6.7, 'Jastin García': 6.0, 'Jhon Solís': 6.76, 'Juan Carlos': 6.0, 'Juanpe': 6.63, 'Kim Min-sung': 6.0, 'Marc Aznar': 6.0, 'Miguel Gutiérrez': 6.79, 'Pablo Torre': 6.82, 'Paulo Gazzaniga': 6.93, 'Portu': 6.66, 'Sávio': 7.27, 'Selvi Clua Oya': 6.0, 'Silvi Clúa': 6.0, 'Toni Fuidias': 6.0, 'Toni Villa': 6.51, 'Valery Fernández': 6.64, 'Viktor Tsygankov': 7.05, 'Yangel Herrera': 6.89}"
Real Madrid,"{'Andriy Lunin': 7.0, 'Antonio Rüdiger': 6.88, 'Arda Güler': 7.45, 'Aurélien Tchouaméni': 7.09, 'Brahim Díaz': 6.8, 'Eduardo Camavinga': 7.02, 'Dani Ceballos': 6.99, 'Daniel Carvajal': 6.94, 'David Alaba': 6.93, 'Éder Militão': 7.15, 'Federico Valverde': 7.27, 'Ferland Mendy': 6.68, 'Fran García': 6.79, 'Joselu': 7.02, 'Jude Bellingham': 7.71, 'Kepa Arrizabalaga': 6.99, 'Lucas Vázquez': 6.98, 'Luka Modrić': 7.13, 'Nacho Fernández': 6.85, 'Nico Paz': 6.0, 'Rodrygo': 7.23, 'Thibaut Courtois': 7.18, 'Toni Kroos': 7.39, 'Vinícius Júnior': 7.1}"
Barcelona,"{'Alejandro Baldé': 6.82, 'Andreas Christensen': 6.99, 'Fermín López': 6.94, 'Ferran Torres': 6.92, 'Frenkie de Jong': 7.21, 'Gavi': 6.93, 'Marc Guiu': 6.0, 'İlkay Gündoğan': 7.17, 'Iñaki Peña': 6.0, 'Iñigo Martínez': 7.04, 'João Cancelo': 7.24, 'João Félix': 7.03, 'Jules Koundé': 7.07, 'Lamine Yamal': 6.99, 'Marc-André ter Stegen': 7.08, 'Marc Casadó': 6.0, 'Marcos Alonso': 6.79, 'Oriol Romeu': 6.88, 'Pedri': 7.13, 'Raphinha': 7.23, 'Robert Lewandowski': 7.16, 'Ronald Araújo': 7.04, 'Sergi Roberto': 6.75}"
Atl. Madrid,"{'Antonio Gomis Aleman': 6.0, 'Álvaro Morata': 7.01, 'Ángel Correa': 6.83, 'Antoine Griezmann': 7.63, 'Antonio Gomis': 6.0, 'Axel Witsel': 6.83, 'Çağlar Söyüncü': 6.86, 'César Azpilicueta': 6.76, 'Ivo Grbić': 6.98, 'Jan Oblak': 7.0, 'Javi Galán': 6.95, 'José María Giménez': 7.12, 'Koke': 6.93, 'Reinildo Isnard Mandava': 6.98, 'Marcos Llorente': 6.98, 'Mario Hermoso': 6.95, 'Memphis Depay': 6.74, 'Mini': 6.0, 'Nahuel Molina': 6.95, 'Pablo Barrios': 6.8, 'Rodrigo de Paul': 7.23, 'Rodrigo Riquelme': 6.79, 'Samuel Lino': 6.98, 'Saúl Ñíguez': 6.91, 'Stefan Savić': 6.9, 'Thomas Lemar': 6.81, 'Vitolo': 6.0}"
Athletic Club,"{'Adu Ares': 6.0, 'Aitor Paredes': 6.76, 'Álex Berenguer': 6.87, 'Ander Herrera': 6.79, 'Asier Villalibre': 6.79, 'Beñat Prados': 6.75, 'Dani García': 6.75, 'Daniel Vivian': 6.87, 'Gorka Guruzeta': 6.83, 'Iker Muniain': 7.02, 'Imanol García de Albéniz': 6.94, 'Iñaki Williams': 7.10, 'Íñigo Lekue': 6.63, 'Iñigo Ruiz de Galarreta': 6.85, 'Julen Agirrezabala': 6.79, 'Malcom Ares': 7.08, 'Mikel Vesga': 6.85, 'Nico Williams': 7.04, 'Oihan Sancet': 6.82, 'Óscar de Marcos': 6.87, 'Peru Nolaskoain Esnal': 6.92, 'Raúl García': 6.67, 'Unai Gómez': 6.0, 'Unai Simón': 7.0, 'Wibuala Junior Bita': 6.0, 'Yeray Álvarez': 6.82, 'Yuri Berchiche': 6.98}"
Betis,"{'Abdessamad Ezzalzouli': 6.82, 'Abner Vinícius': 6.64, 'Aitor Ruibal': 6.82, 'Andrés Guardado': 6.82, 'Assane Diao': 6.91, 'Ayoze Pérez': 6.82, 'Borja Iglesias': 6.72, 'Chadi Riad': 6.0, 'Claudio Bravo': 7.15, 'Fran Barbosa': 6.0, 'Germán Pezzella': 6.97, 'Guido Rodríguez': 6.96, 'Héctor Bellerín': 6.74, 'Francisco Vieites': 6.0, 'Isco': 7.41, 'Juan Cruz': 6.0, 'Juan Miranda': 6.98, 'Luiz Henrique': 6.8, 'Marc Bartra': 6.87, 'Marc Roca': 6.88, 'Nabil Fekir': 6.0, 'Rodri Sánchez': 7.07, 'Rui Silva': 6.82, 'Sergi Altimira': 6.0, 'Sokratis': 6.93, 'Gines Sorroche Pinero': 6.0, 'William Carvalho': 6.96, 'Willian José': 6.91, 'Youssouf Sabaly': 6.93}"
Real Sociedad,"{'Aihen Muñoz': 6.85, 'Álex Remiro': 7.12, 'Álvaro Odriozola': 6.0, 'Ander Barrenetxea': 6.84, 'André Silva': 6.54, 'Aritz Elustondo': 6.72, 'Arsen Zakharyan': 7.01, 'Beñat Turrientes': 6.72, 'Brais Méndez': 7.12, 'Carlos Fernández': 6.64, 'Eneko Astigarraga': 6.0, 'Aitor Fraga': 6.0, 'Hamari Traore': 7.04, 'Hugo Martín': 6.0, 'Igor Zubeldia': 6.84, 'Jon Ander Olasagasti': 6.0, 'Jon Pacheco': 6.82, 'Kieran Tierney': 6.75, 'Takefusa Kubo': 7.24, 'Martín Merquelanz': 6.0, 'Martín Zubimendi': 6.93, 'Mikel Merino': 7.04, 'Mikel Oyarzabal': 6.73, 'Mohamed-Ali Cho': 6.64, 'Pablo Marín': 6.6, 'Robin Le Normand': 6.9, 'Umar Sadiq': 6.48, 'Unai Marrero': 6.0, 'Urko González': 6.0}"
Valencia,"{'Alberto Mari': 6.0, 'Selim Amallah': 6.75, 'André Almeida': 6.97, 'Cenk Özkaçar': 6.8, 'Thierry Correia': 6.87, 'Cristhian Mosquera': 6.78, 'Cristian Rivero': 6.0, 'Diego Lopez': 6.93, 'Dimitri Foulquier': 6.60, 'Fran Pérez': 6.62, 'Gabriel Paulista': 6.86, 'Giorgi Mamardashvili': 6.87, 'Hugo Duro': 6.77, 'Hugo Guillamón': 6.63, 'Jaume Doménech': 6.0, 'Javi Navarro': 6.0, 'Javier Guerra': 6.83, 'Jesús Vázquez': 6.61, 'José Luis Gayà': 7.05, 'Joselu': 6.0, 'Mouctar Diakhaby': 6.81, 'Pablo Gozálbez': 6.0, 'Pepelu': 7.24, 'Roman Yaremchuk': 6.53, 'Sergi Canós': 6.88}"
Rayo Vallecano,"{'Abdul Mumin': 6.61, 'Alfonso Espino': 6.93, 'Álvaro García': 6.98, 'Andrei Rațiu': 6.86, 'Aridane Hernández': 6.92, 'Bebé': 6.95, 'Dani Cárdenas': 7.13, 'Florian Lejeune': 6.86, 'Isi Palazón': 7.02, 'Ismaila Ciss': 6.74, 'Ivan Balliu': 6.75, 'Jorge de Frutos': 6.73, 'José Pozo': 6.0, 'Josep Chavarría': 6.71, 'Kike Pérez': 6.79, 'Mario Ramos': 6.0, 'Martín Pascual': 6.81, 'Diego Mendez': 6.0, 'Miguel Benedí': 6.0, 'Óscar Trejo': 6.55, 'Óscar Valentín': 6.72, 'Radamel Falcao': 6.63, 'Randy Nteka': 6.7, 'Raúl de Tomás': 6.79, 'Sergio Arribas': 6.0, 'Sergio Camello': 6.72, 'Stole Dimitrievski': 6.77, 'Unai López': 6.67}"
Las Palmas,"{'Aarón Escandell': 7.08, 'Alberto Moleiro': 6.87, 'Alex Suárez': 6.98, 'Álvaro Lemos': 6.87, 'Álvaro Valles': 7.13, 'Benito Ramírez': 6.0, 'Cristian Herrera': 6.85, 'Daley Sinkgraven': 6.0, 'Eric Curbelo': 7.05, 'Fabio González': 6.85, 'Ale Gorrin': 6.0, 'Javier Muñoz': 6.58, 'Jonathan Viera': 7.22, 'Juanma Herzog': 6.0, 'Julian Araujo': 6.79, 'Kirian Rodríguez': 7.13, 'Enzo Loiodice': 6.88, 'Marc Cardona': 6.7, 'Máximo Perrone': 6.99, 'Mika Mármol': 7.04, 'Munir El Haddadi': 6.88, 'Omenuke Mfulu': 6.61, 'Marvin Park': 6.7, 'Pau': 6.0, 'Pejiño': 6.92, 'Sandro Ramírez': 7.15, 'Saúl Coco': 6.95, 'Sergi Cardona': 7.02, 'Sory Kaba': 6.71, 'Yadam': 6.0}"
Getafe,"{'Anthony Lozano': 6.83, 'Borja Mayoral': 6.89, 'Carles Aleñá': 6.58, 'Damián Suárez': 6.71, 'Daniel Fuzato': 7.04, 'David Soria': 7.02, 'Diego Rico': 6.93, 'Djené': 6.69, 'Domingos Duarte': 6.61, 'Enes Ünal': 7.14, 'Fabrizio Angileri': 6.0, 'Facundo Esnaider': 6.0, 'Santiago Garcia Gonzalez': 6.0, 'Gastón Álvarez': 6.76, 'Jaime Mata': 6.67, 'John Patrick': 6.0, 'Jorge Benito': 6.0, 'José Ángel Carmona': 6.62, 'Juan Iglesias': 6.73, 'Juanmi Latasa': 6.87, 'Luis Milla': 7.02, 'Mason Greenwood': 7.16, 'Mauro Arambarri': 6.72, 'Nemanja Maksimović': 6.87, 'Omar Alderete': 6.81, 'Óscar Rodríguez': 6.86, 'Stefan Mitrović': 6.71}"
Osasuna,"{'Aguinaga': 6.0, 'Aimar Oroz': 6.67, 'Aitor Fernández': 6.86, 'Alejandro Catena': 6.84, 'Ander Ibañez': 6.0, 'Ante Budimir': 7.04, 'Asier Benito': 6.0, 'Chimy Ávila': 6.85, 'Dani Sancho': 6.0, 'Darko Brašanac': 6.65, 'David García': 6.92, 'Jorge Herrando': 6.0, 'Jesús Areso': 6.75, 'Johan Mojica': 6.74, 'Jon Moncayola': 6.86, 'José Manuel Arnáiz': 6.73, 'Juan Cruz': 6.68, 'Kike Barja': 6.75, 'Lucas Torró': 6.83, 'Moi Gómez': 6.98, 'Iker Munoz': 6.74, 'Nacho Vidal': 6.73, 'Pablo Ibáñez Lumbreras': 6.6, 'Raúl García': 6.97, 'Rubén García': 6.88, 'Rubén Peña': 6.79, 'Sergio Herrera': 6.93, 'Unai García': 6.0}"
