Brazil,"{'Alisson': ['England', 'Brazil', 'Italy'], 'Bento': ['Brazil'], 'Rafael': ['Brazil', 'Brazil', 'Brazil', 'Italy'], 'Gabriel Magalhães': ['England', 'France', 'Brazil', 'Croatia', 'France', 'France', 'Croatia', 'England'], 'Éder Militão': ['Spain', 'Brazil', 'Portugal'], 'Bremer': ['Italy', 'Italy', 'Brazil'], 'Marquinhos': ['France', 'Italy', 'Brazil'], 'Lucas Beraldo': ['Brazil', 'France', 'Brazil'], 'Danilo': ['Italy', 'Portugal', 'Brazil', 'England', 'Spain', 'Brazil'], 'Guilherme Arana': ['Brazil', 'Brazil', 'Spain', 'Italy', 'Brazil'], 'Wendell': ['Germany', 'Portugal', 'Brazil', 'Brazil'], 'Yan Couto': ['Spain', 'Portugal', 'Brazil', 'England'], 'Bruno Guimarães': ['England', 'Brazil', 'France', 'Brazil'], 'Douglas Luiz': ['England', 'Spain', 'Brazil'], 'Éderson': ['Italy', 'Brazil', 'Brazil', 'Brazil', 'Italy'], 'João Gomes': ['Brazil', 'England', 'Brazil'], 'Lucas Paquetá': ['Brazil', 'England', 'France', 'Italy'], 'Andreas Pereira': ['England', 'England', 'Brazil', 'England', 'Spain', 'Italy', 'Spain', 'England', 'Netherlands'], 'Vinicius Junior': ['Spain', 'Brazil', 'Spain'], 'Gabriel Martinelli': ['England', 'Brazil', 'England'], 'Sávio': ['Spain', 'Brazil', 'Netherlands', 'Netherlands', 'Brazil'], 'Pepê': ['Portugal', 'Brazil'], 'Rodrygo': ['Spain', 'Brazil', 'Spain'], 'Raphinha': ['Spain', 'Portugal', 'England', 'Portugal', 'France', 'Portugal', 'England', 'Brazil'], 'Endrick': ['Brazil', 'Brazil'], 'Evanilson': ['Portugal', 'Brazil', 'Slovakia', 'Portugal']}"
Argentina,"{'Emiliano Martínez': ['England', 'England', 'England', 'England', 'England', 'England', 'England', 'Spain', 'England'], 'Gerónimo Rulli': ['Spain', 'Spain', 'Argentina', 'Netherlands', 'France', 'Netherlands'], 'Franco Armani': ['Argentina', 'Colombia', 'Argentina'], 'Cristian Romero': ['England', 'Italy', 'Italy', 'Argentina', 'Argentina', 'Italy'], 'Lisandro Martínez': ['Netherlands', 'England', 'Argentina', 'Argentina'], 'Lucas Martínez Quarta': ['Italy', 'Argentina'], 'Germán Pezzella': ['Spain', 'Italy', 'Argentina'], 'Nicolás Otamendi': ['England', 'Portugal', 'Portugal', 'Argentina', 'Spain', 'Brazil'], 'Nicolás Tagliafico': ['Netherlands', 'Argentina', 'France', 'Argentina', 'Spain'], 'Marcos Acuña': ['Spain', 'Portugal', 'Argentina', 'Argentina'], 'Nahuel Molina': ['Spain', 'Italy', 'Argentina', 'Argentina', 'Argentina'], 'Gonzalo Montiel': ['Argentina', 'Spain', 'England', 'Argentina'], 'Guido Rodríguez': ['Spain', 'Mexico', 'Mexico', 'Argentina', 'Argentina'], 'Leandro Paredes': ['France', 'Italy', 'Russia', 'Italy', 'Italy', 'Argentina', 'Italy', 'Italy'], 'Alexis Mac Allister': ['England', 'Argentina', 'England', 'Argentina'], 'Enzo Fernández': ['England', 'Argentina', 'Argentina', 'Portugal', 'Argentina'], 'Exequiel Palacios': ['Germany', 'Argentina'], 'Rodrigo de Paul': ['Italy', 'Spain', 'Argentina', 'Spain'], 'Giovani Lo Celso': ['England', 'Argentina', 'France', 'Spain', 'Spain'], 'Valentín Carboni': ['Italy', 'Italy', 'Italy', 'Italy', 'Italy', 'Italy'], 'Alejandro Garnacho': ['England', 'England', 'England', 'England'], 'Nicolás González': ['Italy', 'Germany', 'Argentina'], 'Lionel Messi': ['Spain', 'France', 'United States', 'Spain'], 'Ángel Di María': ['France', 'Spain', 'Portugal', 'Italy', 'Argentina', 'England'], 'Lautaro Martínez': ['Italy', 'Argentina'], 'Julián Álvarez': ['Argentina', 'England']}"
Uruguay,"{'Sergio Rochet': ['Uruguay', 'Netherlands', 'Brazil', 'Türkiye', 'Netherlands', 'Uruguay'], 'Franco Israel': ['Italy', 'Portugal', 'Italy', 'Uruguay', 'Italy'], 'Santiago Mele': ['Argentina', 'Colombia', 'Uruguay', 'Türkiye', 'Uruguay', 'Spain', 'Türkiye'], 'Ronald Araujo': ['Spain', 'Spain', 'Uruguay', 'Uruguay'], 'José María Giménez': ['Spain', 'Uruguay'], 'Sebastián Cáceres': ['Mexico', 'Uruguay', 'Mexico'], 'Nicolás Marichal': ['Uruguay', 'Russia'], 'Mathías Olivera': ['Spain', 'Italy', 'Spain', 'Uruguay'], 'Matías Viña': ['Brazil', 'Uruguay', 'Italy', 'Italy', 'Brazil', 'England'], 'Lucas Olaza': ['Spain', 'Spain', 'Uruguay', 'Uruguay', 'Russia', 'Spain', 'Argentina', 'Argentina', 'Brazil', 'Spain'], 'Guillermo Varela': ['Denmark', 'Brazil', 'Russia', 'Spain', 'England', 'Uruguay', 'England', 'Germany', 'Denmark'], 'Manuel Ugarte': ['Portugal', 'Uruguay', 'France', 'Portugal'], 'Emiliano Martínez': ['Denmark', 'Uruguay', 'Brazil', 'Uruguay', 'Denmark'], 'Federico Valverde': ['Spain', 'Spain', 'Spain', 'Uruguay', 'Spain'], 'Rodrigo Bentancur': ['Italy', 'England', 'Argentina'], 'Nicolás de la Cruz': ['Argentina', 'Uruguay', 'Brazil', 'Uruguay'], 'Nahitan Nández': ['Italy', 'Uruguay', 'Argentina'], 'Giorgian de Arrascaeta': ['Brazil', 'Brazil', 'Uruguay'], 'Maximiliano Araújo': ['Mexico', 'Mexico', 'Uruguay', 'Mexico'], 'Brian Rodríguez': ['Mexico', 'United States', 'Uruguay', 'Spain', 'Mexico'], 'Brian Ocampo': ['Uruguay', 'Spain', 'Uruguay'], 'Facundo Pellistri': ['Uruguay', 'Spain', 'England', 'Spain', 'England'], 'Agustín Canobbio': ['Uruguay', 'Brazil', 'Uruguay'], 'Cristian Olivera': ['Uruguay', 'Uruguay', 'United States', 'Uruguay', 'Spain'], 'Darwin Núñez': ['England', 'Portugal', 'Spain', 'Uruguay'], 'Luis Suárez': ['Spain', 'Netherlands', 'England', 'Spain', 'Brazil', 'Netherlands', 'United States', 'Uruguay']}"
United States,"{'Matt Turner': ['United States', 'United States', 'England', 'England'], 'Ethan Horvath': ['Belgium', 'Norway', 'England', 'Wales', 'England'], 'Sean Johnson': ['United States', 'United States', 'Canada', 'United States'], 'Cameron Carter-Vickers': ['Scotland', 'Wales', 'England', 'England', 'England', 'England', 'England', 'England', 'England', 'England'], 'Chris Richards': ['England', 'Germany', 'Germany', 'Germany', 'Germany', 'Germany', 'England', 'United States'], 'Mark McKenzie': ['Belgium', 'United States', 'United States'], 'Miles Robinson': ['United States', 'United States', 'United States', 'United States'], 'Tim Ream': ['England', 'England', 'United States', 'England'], 'Antonee Robinson': ['England', 'England', 'England', 'England'], 'Kristoffer Lund': ['Sweden', 'Italy', 'Denmark', 'Denmark', 'Denmark', 'Denmark', 'Denmark'], 'Joe Scally': ['Germany', 'Germany', 'United States'], 'Shaq Moore': ['Spain', 'United States', 'Spain', 'Spain', 'Spain', 'Spain', 'United States'], 'Johnny Cardoso': ['Brazil', 'Spain'], 'Tyler Adams': ['Germany', 'United States', 'United States', 'England', 'England'], 'Weston McKennie': ['Italy', 'Germany', 'Germany', 'England'], 'Yunus Musah': ['Spain', 'Italy', 'England', 'Spain', 'Spain'], 'Luca de la Torre': ['England', 'Netherlands', 'Spain', 'England'], 'Timothy Weah': ['France', 'Italy', 'Scotland', 'France', 'France', 'France', 'France'], 'Malik Tillman': ['Scotland', 'Germany', 'Netherlands', 'Germany', 'Germany', 'Germany', 'Germany', 'Netherlands'], 'Giovanni Reyna': ['Germany', 'Germany', 'England', 'Germany'], 'Brenden Aaronson': ['Austria', 'United States', 'England', 'Germany', 'United States', 'England'], 'Christian Pulisic': ['England', 'Germany', 'Italy', 'Germany', 'Germany'], 'Folarin Balogun': ['England', 'England', 'France', 'Monaco', 'England', 'England'], 'Josh Sargent': ['England', 'Germany', 'Germany'], 'Ricardo Pepi': ['United States', 'Netherlands', 'Netherlands', 'Germany', 'United States', 'Netherlands'], 'Haji Wright': ['Türkiye', 'England', 'Denmark', 'Germany', 'Netherlands', 'Germany', 'Germany', 'Germany', 'Netherlands', 'United States']}"
Colombia,"{'Álvaro Montero': ['Colombia', 'Colombia', 'Colombia', 'Brazil', 'Argentina'], 'David Ospina': ['France', 'Italy', 'England', 'Saudi Arabia', 'Colombia'], 'Camilo Vargas': ['Mexico', 'Colombia', 'Colombia', 'Colombia', 'Argentina'], 'Jhon Lucumí': ['Belgium', 'Italy', 'Colombia'], 'Davinson Sánchez': ['England', 'Netherlands', 'Colombia', 'Türkiye', 'Netherlands'], 'Carlos Cuesta': ['Belgium', 'Colombia'], 'Yerry Mina': ['Colombia', 'England', 'Brazil', 'Colombia', 'Italy', 'Italy', 'Spain'], 'Deiver Machado': ['Colombia', 'France', 'Colombia', 'France', 'Colombia', 'Belgium'], 'Johan Mojica': ['Spain', 'Spain', 'Spain', 'Spain', 'Spain', 'Spain', 'Colombia', 'Italy'], 'Daniel Muñoz': ['Belgium', 'Colombia', 'Colombia', 'England'], 'Santiago Arias': ['Netherlands', 'Spain', 'United States', 'Portugal', 'Colombia', 'Brazil', 'Spain', 'Portugal', 'Netherlands', 'Germany'], 'Jefferson Lerma': ['England', 'Spain', 'Colombia', 'England'], 'Kevin Castaño': ['Colombia', 'Mexico', 'Russia'], 'Mateus Uribe': ['Portugal', 'Colombia', 'Mexico', 'Colombia', 'Colombia', 'Qatar', 'Mexico'], 'Richard Ríos': ['Brazil', 'Brazil', 'Brazil', 'Mexico', 'Mexico', 'Brazil'], 'Yáser Asprilla': ['England', 'Colombia'], 'Jorge Carrascal': ['Argentina', 'Russia', 'Ukraine', 'Russia', 'Colombia', 'Spain'], 'James Rodríguez': ['Spain', 'Portugal', 'Germany', 'Argentina', 'Monaco', 'England', 'Greece', 'Brazil', 'Qatar'], 'Juan Fernando Quintero': ['Argentina', 'Portugal', 'Colombia', 'Colombia', 'Argentina', 'Colombia', 'China', 'Italy', 'France', 'Colombia', 'Portugal'], 'Luis Díaz': ['Portugal', 'Colombia', 'England', 'Colombia'], 'Luis Sinisterra': ['Netherlands', 'Colombia', 'England', 'England', 'Netherlands'], 'Jhon Arias': ['Brazil', 'Colombia', 'Colombia', 'Colombia', 'Mexico', 'Mexico', 'Colombia', 'Mexico'], 'Jhon Durán': ['England', 'Colombia', 'United States', 'United States'], 'Jhon Córdoba': ['Germany', 'Russia', 'Germany', 'Colombia', 'Spain', 'Spain', 'Mexico', 'Germany'], 'Rafael Borré': ['Argentina', 'Germany', 'Colombia', 'Spain', 'Germany', 'Brazil'], 'Miguel Borja': ['Brazil', 'Argentina', 'Colombia', 'Colombia', 'Colombia', 'Colombia', 'Brazil', 'Argentina', 'Italy', 'Colombia', 'Colombia']}"
Ecuador,"{'Moisés Ramírez': ['Ecuador', 'Spain', 'Ecuador'], 'Hernán Galíndez': ['Ecuador', 'Ecuador', 'Argentina', 'Argentina', 'Argentina', 'Chile'], 'Alexander Domínguez': ['Ecuador', 'Argentina', 'Argentina', 'Mexico', 'Colombia', 'Uruguay', 'Mexico'], 'Piero Hincapié': ['Germany', 'Argentina', 'Ecuador', 'Ecuador'], 'Willian Pacho': ['Belgium', 'Germany', 'Ecuador', 'Ecuador'], 'Joel Ordóñez': ['Belgium', 'Belgium', 'Ecuador', 'Belgium', 'Ecuador'], 'Félix Torres': ['Mexico', 'Ecuador', 'Brazil', 'Mexico'], 'Jackson Porozo': ['Portugal', 'France', 'Türkiye', 'Greece', 'Portugal'], 'Andrés Micolta': ['Ecuador', 'Mexico', 'Mexico', 'Brazil'], 'Layan Loor': ['Ecuador'], 'Angelo Preciado': ['Ecuador', 'Belgium', 'Czech Republic', 'Ecuador'], 'José Andrés Hurtado': ['Brazil', 'Ecuador', 'Ecuador'], 'Moisés Caicedo': ['England', 'England', 'Ecuador', 'Belgium', 'England', 'Ecuador'], 'Carlos Gruezo': ['United States', 'Ecuador', 'Germany', 'United States', 'Germany'], 'Joao Ortiz': ['Ecuador', 'Ecuador', 'Ecuador', 'Ecuador', 'Ecuador', 'Uruguay', 'Ecuador'], 'José Cifuentes': ['United States', 'Scotland', 'Ecuador', 'Brazil', 'Ecuador'], 'Alan Franco': ['Brazil', 'Ecuador', 'Argentina', 'United States'], 'Kendry Páez': ['Ecuador', 'Ecuador'], 'John Yeboah': ['Germany', 'Poland', 'Poland', 'Germany', 'Netherlands', 'Germany', 'Netherlands', 'Netherlands', 'Germany', 'Germany', 'Netherlands'], 'Jeremy Sarmiento': ['England', 'England', 'England', 'Portugal', 'England', 'England', 'Portugal'], 'Janner Corozo': ['Ecuador', 'Ecuador', 'Ecuador', 'Ecuador', 'Ecuador', 'Chile'], 'Alan Minda': ['Ecuador', 'Belgium'], 'Ángel Mena': ['Ecuador', 'Mexico', 'Mexico'], 'Kevin Rodríguez': ['Belgium', 'Ecuador', 'Ecuador'], 'Jordy Caicedo': ['Bulgaria', 'Ecuador', 'Brazil', 'Mexico', 'Türkiye', 'Mexico', 'Ecuador'], 'Enner Valencia': ['Mexico', 'Ecuador', 'Türkiye', 'England', 'Brazil', 'Mexico', 'England', 'England']}"
Mexico,"{'Carlos Acevedo': ['Mexico', 'Mexico'], 'Raúl Rangel': ['Mexico', 'Mexico', 'Mexico', 'Mexico'], 'Julio González': ['Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico'], 'Johan Vásquez': ['Italy', 'Mexico', 'Mexico', 'Italy', 'Mexico', 'Mexico'], 'Jesús Orozco Chiquete': ['Mexico', 'Mexico', 'Mexico'], 'César Montes': ['Mexico', 'Spain', 'Spain', 'Mexico'], 'Gerardo Arteaga': ['Belgium', 'Mexico', 'Mexico', 'Mexico'], 'Bryan González': ['Mexico', 'Mexico', 'Mexico'], 'Israel Reyes': ['Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico'], 'Brian García': ['Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico', 'Costa Rica'], 'Jorge Sánchez': ['Mexico', 'Mexico', 'Mexico', 'Netherlands', 'Portugal'], 'Edson Álvarez': ['Netherlands', 'Mexico', 'England', 'Mexico'], 'Luis Chávez': ['Mexico', 'Mexico', 'Mexico', 'Russia'], 'Carlos Rodríguez': ['Mexico', 'Mexico', 'Mexico', 'Spain'], 'Luis Romo': ['Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico'], 'Orbelín Pineda': ['Mexico', 'Mexico', 'Greece', 'Mexico', 'Spain', 'Mexico', 'Mexico'], 'Érick Sánchez': ['Mexico', 'Mexico', 'Mexico'], 'César Huerta': ['Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico'], 'Marcelo Flores': ['England', 'Mexico', 'England', 'Spain', 'England'], 'Roberto Alvarado': ['Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico'], 'Uriel Antuna': ['Mexico', 'Mexico', 'Mexico', 'United States', 'Netherlands', 'Netherlands', 'Mexico', 'Mexico'], 'Jordi Cortizo': ['Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico'], 'Santiago Gimenez': ['Mexico', 'Netherlands', 'Mexico'], 'Julián Quiñones': ['Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico'], 'Alexis Vega': ['Mexico', 'Mexico', 'Mexico', 'Mexico'], 'Guillermo Martínez': ['Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico', 'Mexico']}"
Canada,"{'Maxime Crépeau': ['Canada', 'United States', 'Canada', 'Canada', 'United States', 'Canada', 'United States', 'Canada'], 'Dayne St. Clair': ['United States', 'United States', 'United States', 'United States'], 'Tom McGill': ['England', 'England', 'England', 'England'], 'Kamal Miller': ['Canada', 'United States', 'United States', 'United States'], 'Derek Cornelius': ['Sweden', 'Greece', 'Canada', 'Serbia', 'Germany', 'Germany'], 'Joel Waterman': ['Canada', 'Canada', 'United States'], 'Moïse Bombito': ['United States', 'United States'], 'Kyle Hiebert': ['United States', 'United States', 'United States'], 'Luc De Fougerolles': ['England', 'England', 'England'], 'Alphonso Davies': ['Germany', 'Canada', 'Canada', 'Germany'], 'Alistair Johnston': ['Scotland', 'United States', 'Canada', 'United States', 'Canada'], 'Richie Laryea': ['Canada', 'United States', 'United States', 'Canada', 'England'], 'Samuel Piette': ['Canada', 'Spain', 'Germany', 'Spain', 'Germany', 'Germany'], 'Stephen Eustaquio': ['Portugal', 'Portugal', 'Portugal', 'Portugal', 'Mexico', 'Mexico'], 'Ismaël Koné': ['England', 'Canada'], 'Mathieu Choinière': ['Canada'], 'Ali Ahmed': ['Canada', 'Canada'], 'Jonathan Osorio': ['Canada'], 'Tajon Buchanan': ['Belgium', 'United States', 'Italy'], 'Jacob Shaffelburg': ['United States', 'Canada', 'Canada'], 'Liam Millar': ['Switzerland', 'England', 'England', 'Scotland', 'England', 'England', 'England', 'England'], 'Jonathan David': ['France', 'Belgium'], 'Cyle Larin': ['Türkiye', 'United States', 'Spain', 'Belgium', 'Spain', 'Belgium'], 'Jacen Russell-Rowe': ['United States', 'United States', 'Canada'], 'Tani Oluwaseyi': ['United States', 'United States', 'United States', 'United States'], 'Theo Bair': ['Scotland', 'Canada', 'Scotland', 'Norway', 'Canada']}"
Paraguay,"{'Carlos Coronel': ['United States', 'Austria', 'Austria', 'United States', 'United States'], 'Rodrigo Morínigo': ['Paraguay'], 'Alfredo Aguilar': ['Paraguay', 'Paraguay', 'Paraguay', 'Brazil', 'Paraguay'], 'Júnior Alonso': ['Brazil', 'Russia', 'France', 'Argentina', 'Paraguay', 'Spain'], 'Gustavo Gómez': ['Brazil', 'Argentina', 'Italy', 'Paraguay'], 'Omar Alderete': ['Spain', 'Switzerland', 'Spain', 'Argentina', 'Germany', 'Argentina', 'Paraguay'], 'Fabián Balbuena': ['Brazil', 'Russia', 'England', 'Paraguay', 'Paraguay', 'England'], 'Gustavo Velázquez': ['Argentina', 'Mexico', 'Paraguay', 'Paraguay', 'Mexico', 'Mexico', 'Paraguay'], 'Matías Espinoza': ['Paraguay', 'Paraguay'], 'Néstor Giménez': ['Paraguay', 'Paraguay', 'Paraguay'], 'Iván Ramírez': ['Paraguay', 'Paraguay', 'Argentina', 'Paraguay', 'Argentina'], 'Mathías Villasanti': ['Brazil', 'Paraguay', 'Paraguay', 'Argentina'], 'Andrés Cubas': ['Canada', 'Argentina', 'France', 'Argentina', 'Argentina', 'Italy'], 'Fabrizio Peralta': ['Paraguay', 'Brazil', 'Brazil'], 'Richard Sánchez': ['Mexico', 'Paraguay', 'Mexico'], 'Damián Bobadilla': ['Paraguay', 'Brazil'], 'Hernesto Caballero': ['Paraguay', 'Paraguay', 'Paraguay'], 'Julio Enciso': ['Paraguay', 'England', 'England'], 'Kaku': ['Argentina', 'United States', 'Saudi Arabia', 'United Arab Emirates'], 'Matías Rojas': ['Argentina', 'Brazil', 'Argentina', 'Argentina', 'United States', 'Paraguay'], 'Ramón Sosa': ['Argentina', 'Argentina', 'Paraguay', 'Paraguay'], 'Ángel Romero': ['Brazil', 'Argentina', 'Mexico', 'Paraguay'], 'Miguel Almirón': ['England', 'United States', 'Argentina', 'Paraguay'], 'Derlis González': ['Paraguay', 'Ukraine', 'Brazil', 'Switzerland', 'Paraguay'], 'Adam Bareiro': ['Argentina', 'Paraguay', 'Türkiye', 'Mexico', 'Mexico', 'Mexico'], 'Alex Arce': ['Argentina', 'Paraguay', 'Ecuador']}"
Jamaica,"{'Andre Blake': ['United States'], 'Coniah Boyce-Clarke': ['England', 'England', 'England', 'England', 'England'], 'Jahmali Waite': ['United States', 'United States', 'United States', 'United States', 'United States'], 'Shaquan Davis': ['Jamaica', 'Jamaica', 'Jamaica'], 'Ethan Pinnock': ['England', 'England', 'England'], 'Joel Latibeaudiere': ['Wales', 'England', 'England', 'England', 'England', 'Netherlands', 'Netherlands'], ""Di'Shon Bernard"": ['England', 'England', 'England', 'England', 'England', 'England', 'England', 'England'], 'Wes Harding': ['England', 'England', 'England', 'England', 'England'], 'Damion Lowe': ['Norway', 'United States', 'Egypt', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States'], 'Michael Hector': ['England', 'England', 'England', 'England', 'England', 'England', 'Germany', 'Scotland', 'England', 'Ireland', 'England', 'England', 'England', 'England'], 'Jon Bell': ['United States', 'United States', 'United States', 'United States', 'United States', 'United States'], 'Richard King': ['Jamaica', 'Iceland'], ""Amari'i Bell"": ['England', 'England', 'England', 'England', 'England', 'England', 'England', 'England', 'England'], 'Greg Leigh': ['England', 'England', 'England', 'England', 'England', 'Scotland', 'England', 'Netherlands', 'England', 'Netherlands'], 'Dexter Lembikisa': ['England', 'England', 'England', 'Scotland', 'England'], 'Kevon Lambert': ['United States', 'United States', 'United States'], 'Karoy Anderson': ['England', 'England', 'England'], 'Kasey Palmer': ['England', 'England', 'England', 'England', 'England', 'England', 'England', 'Wales', 'England', 'England'], 'Demarai Gray': ['England', 'England', 'England', 'Saudi Arabia', 'Germany', 'England'], 'Renaldo Cephas': ['North Macedonia', 'Jamaica', 'Türkiye'], 'Leon Bailey': ['Germany', 'England', 'Belgium'], 'Bobby De Cordova-Reid': ['England', 'England', 'England', 'Wales', 'England', 'England'], 'Kaheim Dixon': ['Jamaica', 'Jamaica'], 'Alex Marshall': ['Canada', 'Jamaica', 'Jamaica'], 'Shamar Nicholson': ['Belgium', 'Slovenia', 'Russia', 'France'], 'Michail Antonio': ['England', 'England', 'England', 'England', 'England', 'England', 'England', 'England']}"
