Brazil,"['Lucas Paquetá', 'Lucas Paquetá', 'Lucas Paquetá', 'Neymar', 'Vinicius Junior', 'Neymar']"
Argentina,"['Leandro Paredes', 'Lautaro Martínez', 'Ángel Di María', 'Lionel Messi', 'Lionel Messi', 'Lionel Messi']"
Uruguay,"['Darwin Núñez', 'Facundo Torres', 'Matías Arezo', 'Edinson Cavani', 'Luis Suárez', 'Giorgian de Arrascaeta']"
United States,"['Christian Pulisic', 'Christian Pulisic', 'Jesús Ferreira', 'Haji Wright', 'Christian Pulisic', 'Christian Pulisic']"
Colombia,"['Luis Díaz', 'Rafael Borré', 'Luis Díaz', 'Juan Cuadrado', 'James Rodríguez', 'Miguel Borja']"
Ecuador,"['Kendry Páez', 'Jordy Caicedo', 'Enner Valencia', 'Pervis Estupiñán', 'Enner Valencia', 'Gonzalo Plata']"
Mexico,"['Orbelín Pineda', 'Raúl Jiménez', 'Santiago Gimenez', 'Orbelín Pineda', 'Raúl Jiménez', 'Hirving Lozano']"
Canada,"['Jonathan David', 'Steven Vitória', 'Junior Hoilett', 'Cyle Larin', 'Alphonso Davies', 'Lucas Cavallini']"
Paraguay,"['Antonio Sanabria', 'Alberto Espínola', 'Piris da Motta', 'Braian Samudio', 'David Martínez', 'Júnior Alonso']"
Jamaica,"['Shamar Nicholson', 'Bobby De Cordova-Reid', 'Bobby De Cordova-Reid', 'Bobby De Cordova-Reid', 'Leon Bailey', 'Cory Burke']"
Chile,"['Bruno Barticciotto', 'Alexis Sánchez', 'Gary Medel', 'Ben Brereton Díaz', 'Tomás Alarcón', 'Ronnie Fernández']"
Venezuela,"['Salomón Rondón', 'Salomón Rondón', 'Salomón Rondón', 'Salomón Rondón', 'Darwin Machís', 'Yeferson Soteldo']"
Peru,"['Gianluca Lapadula', 'Paolo Guerrero', 'Christian Cueva', 'Gianluca Lapadula', 'Yoshimar Yotún', 'Miguel Trauco']"
Panama,"['Yoel Bárcenas', 'Éric Davis', 'Éric Davis', 'Éric Davis', 'Éric Davis', 'Éric Davis']"
Costa Rica,"['Francisco Calvo', 'Joel Campbell', 'Celso Borges', 'Celso Borges', 'Yeltsin Tejeda', 'Joseph Mora']"
Bolivia,"['Juan Carlos Arce', 'Marcelo Moreno', 'Marcelo Moreno', 'Erwin Saavedra', 'Marcelo Moreno', 'Marcelo Moreno']"
