Real Madrid,"['Joselu', 'Jude Bellingham', 'Vinicius Junior', 'Joselu', 'Luka Modric', 'Joselu']"
FC Barcelona,"['Robert Lewandowski', 'İlkay Gündoğan', 'Robert Lewandowski', 'Robert Lewandowski', 'Ferran Torres', 'Robert Lewandowski']"
Real Sociedad,"['Mikel Oyarzabal', 'Carlos Fernández', 'Brais Méndez', 'Mikel Oyarzabal', 'Mikel Oyarzabal', 'Mikel Oyarzabal']"
Atlético de Madrid,"['Antoine Griezmann', 'Antoine Griezmann', 'Antoine Griezmann', 'Antoine Griezmann', 'Antoine Griezmann', 'Yannick Carrasco']"
Athletic Bilbao,"['Álex Berenguer', 'Gorka Guruzeta', 'Oihan Sancet', 'Asier Villalibre', 'Álex Berenguer', 'Mikel Vesga']"
Girona FC,"['Cristhian Stuani', 'Cristhian Stuani', 'Artem Dovbyk', 'Artem Dovbyk', 'Artem Dovbyk', 'Cristhian Stuani']"
Villarreal CF,"['Dani Parejo', 'Gerard Moreno', 'Manu Trigueros', 'Gerard Moreno', 'Gerard Moreno', 'Dani Parejo']"
Real Betis Balompié,"['Isco', 'Nabil Fekir', 'Marc Roca', 'Willian José', 'Willian José', 'Borja Iglesias']"
Valencia CF,"['Pepelu', 'Pepelu', 'Pepelu', 'Pepelu', 'Pepelu', 'Pepelu']"
Sevilla FC,"['Lucas Ocampos', 'Sergio Ramos', 'Sergio Ramos', 'Nemanja Gudelj', 'Gonzalo Montiel', 'Ivan Rakitic']"
Celta de Vigo,"['Anastasios Douvikas', 'Iago Aspas', 'Anastasios Douvikas', 'Iago Aspas', 'Iago Aspas', 'Iago Aspas']"
CA Osasuna,"['Ante Budimir', 'Ante Budimir', 'Ante Budimir', 'Aimar Oroz', 'Chimy Ávila', 'Chimy Ávila']"
RCD Mallorca,"['Abdón Prats', 'Abdón Prats', 'Vedat Muriqi', 'Vedat Muriqi', 'Vedat Muriqi', 'Vedat Muriqi']"
Getafe CF,"['Mason Greenwood', 'Borja Mayoral', 'Mason Greenwood', 'Borja Mayoral', 'Borja Mayoral', 'Borja Mayoral']"
Granada CF,"['Myrto Uzuni', 'Myrto Uzuni', 'Bryan Zaragoza', 'Antonio Puertas', 'Myrto Uzuni', 'Myrto Uzuni']"
UD Almería,"['Luis Suárez', 'Adrián Embarba', 'Gonzalo Melero', 'Largie Ramazani']"
Rayo Vallecano,"['Radamel Falcao', 'Bebé', 'Radamel Falcao', 'Isi Palazón', 'Randy Nteka', 'Isi Palazón']"
UD Las Palmas,"['Munir El Haddadi', 'Marc Cardona', 'Jonathan Viera', 'Jonathan Viera', 'Jonathan Viera', 'Jonathan Viera']"
Deportivo Alavés,"['Luis Rioja', 'Luis Rioja', 'Luis Rioja', 'Ianis Hagi', 'Kike García', 'Salva Sevilla']"
Cádiz CF,"['Rubén Alcaraz', 'Darwin Machís', 'Théo Bongonda', 'Rubén Alcaraz', 'Rubén Alcaraz', 'Rubén Alcaraz']"
