Real Madrid,"['Vinicius Junior', 'Joselu', 'Jude Bellingham', 'Vinicius Junior', 'Joselu', 'Luka Modric']"
FC Barcelona,"['İlkay Gündoğan', 'Robert Lewandowski', 'Robert Lewandowski', 'İlkay Gündoğan', 'Robert Lewandowski', 'Robert Lewandowski']"
Real Sociedad,"['André Silva', 'Brais Méndez', 'Mikel Oyarzabal', 'Carlos Fernández', 'Brais Méndez', 'Mikel Oyarzabal']"
Atlético de Madrid,"['Antoine Griezmann', 'Álvaro Morata', 'Ángel Correa', 'Antoine Griezmann', 'Antoine Griezmann', 'Antoine Griezmann']"
Athletic Bilbao,"['Álex Berenguer', 'Gorka Guruzeta', 'Oihan Sancet', 'Asier Villalibre', 'Álex Berenguer', 'Mikel Vesga']"
Girona FC,"['Artem Dovbyk', 'Cristhian Stuani', 'Cristhian Stuani', 'Artem Dovbyk', 'Artem Dovbyk', 'Artem Dovbyk']"
Valencia CF,"['Pepelu', 'Pepelu', 'Pepelu', 'Pepelu', 'Pepelu', 'Pepelu']"
Villarreal CF,"['Dani Parejo', 'Gerard Moreno', 'Álex Baena', 'Dani Parejo', 'Gerard Moreno', 'Manu Trigueros']"
Sevilla FC,"['Lucas Ocampos', 'Sergio Ramos', 'Sergio Ramos', 'Nemanja Gudelj', 'Gonzalo Montiel', 'Ivan Rakitic']"
Real Betis Balompié,"['Isco', 'Nabil Fekir', 'Marc Roca', 'Willian José', 'Willian José', 'Borja Iglesias']"
Celta de Vigo,"['Anastasios Douvikas', 'Iago Aspas', 'Anastasios Douvikas', 'Iago Aspas', 'Iago Aspas', 'Iago Aspas']"
CA Osasuna,"['Ante Budimir', 'Ante Budimir', 'Ante Budimir', 'Ante Budimir', 'Aimar Oroz', 'Chimy Ávila']"
Deportivo Alavés,"['Luis Rioja', 'Luis Rioja', 'Luis Rioja', 'Luis Rioja', 'Ianis Hagi', 'Kike García']"
UD Las Palmas,"['Munir El Haddadi', 'Marc Cardona', 'Jonathan Viera', 'Jonathan Viera', 'Jonathan Viera', 'Jonathan Viera']"
Getafe CF,"['Mason Greenwood', 'Borja Mayoral', 'Mason Greenwood', 'Borja Mayoral', 'Borja Mayoral', 'Borja Mayoral']"
Granada CF,"['Myrto Uzuni', 'Myrto Uzuni', 'Myrto Uzuni', 'Myrto Uzuni', 'Bryan Zaragoza', 'Antonio Puertas']"
RCD Mallorca,"['Abdón Prats', 'Abdón Prats', 'Vedat Muriqi', 'Vedat Muriqi', 'Vedat Muriqi', 'Vedat Muriqi']"
UD Almería,"['Adrián Embarba', 'Luis Suárez', 'Adrián Embarba', 'Gonzalo Melero', 'Largie Ramazani']"
Rayo Vallecano,"['Raúl de Tomás', 'Radamel Falcao', 'Bebé', 'Radamel Falcao', 'Isi Palazón', 'Randy Nteka']"
Cádiz CF,"['Rubén Alcaraz', 'Darwin Machís', 'Théo Bongonda', 'Rubén Alcaraz', 'Rubén Alcaraz', 'Rubén Alcaraz']"
