Real Madrid,"['Vinicius Junior', 'Vinicius Junior', 'Joselu', 'Jude Bellingham', 'Vinicius Junior', 'Joselu']"
FC Barcelona,"['Raphinha', 'Robert Lewandowski', 'İlkay Gündoğan', 'Robert Lewandowski', 'Robert Lewandowski', 'İlkay Gündoğan']"
Atlético de Madrid,"['Antoine Griezmann', 'Álvaro Morata', 'Ángel Correa', 'Antoine Griezmann', 'Antoine Griezmann', 'Antoine Griezmann']"
Real Sociedad,"['André Silva', 'Brais Méndez', 'Mikel Oyarzabal', 'Carlos Fernández', 'Brais Méndez', 'Mikel Oyarzabal']"
Athletic Bilbao,"['Álex Berenguer', 'Gorka Guruzeta', 'Oihan Sancet', 'Asier Villalibre', 'Álex Berenguer', 'Mikel Vesga']"
Valencia CF,"['Alberto Marí', 'Pepelu', 'Pepelu', 'Pepelu', 'Pepelu', 'Pepelu']"
Villarreal CF,"['Dani Parejo', 'Gerard Moreno', 'Álex Baena', 'Dani Parejo', 'Gerard Moreno', 'Manu Trigueros']"
Girona FC,"['Artem Dovbyk', 'Artem Dovbyk', 'Artem Dovbyk', 'Artem Dovbyk', 'Artem Dovbyk', 'Cristhian Stuani']"
Sevilla FC,"['Youssef En-Nesyri', 'Lucas Ocampos', 'Sergio Ramos', 'Sergio Ramos', 'Nemanja Gudelj', 'Gonzalo Montiel']"
Real Betis Balompié,"['Abde Ezzalzouli', 'Isco', 'Isco', 'Nabil Fekir', 'Marc Roca', 'Willian José']"
CA Osasuna,"['Ante Budimir', 'Ante Budimir', 'Ante Budimir', 'Ante Budimir', 'Aimar Oroz', 'Chimy Ávila']"
UD Las Palmas,"['Sandro Ramírez', 'Munir El Haddadi', 'Marc Cardona', 'Jonathan Viera', 'Jonathan Viera', 'Jonathan Viera']"
Celta de Vigo,"['Iago Aspas', 'Iago Aspas', 'Anastasios Douvikas', 'Iago Aspas', 'Anastasios Douvikas', 'Iago Aspas']"
RCD Mallorca,"['Abdón Prats', 'Abdón Prats', 'Vedat Muriqi', 'Vedat Muriqi', 'Vedat Muriqi', 'Vedat Muriqi']"
Deportivo Alavés,"['Giuliano Simeone', 'Luis Rioja', 'Luis Rioja', 'Luis Rioja', 'Luis Rioja', 'Ianis Hagi']"
Getafe CF,"['Mason Greenwood', 'Mason Greenwood', 'Borja Mayoral', 'Mason Greenwood', 'Borja Mayoral', 'Borja Mayoral']"
Rayo Vallecano,"['Raúl de Tomás', 'Radamel Falcao', 'Bebé', 'Radamel Falcao', 'Isi Palazón', 'Randy Nteka']"
Real Valladolid CF,"['Mamadou Sylla', 'Marcos André', 'Monchu', 'Monchu', 'Cyle Larin', 'Cyle Larin']"
RCD Espanyol Barcelona,"['Martin Braithwaite', 'Martin Braithwaite', 'Martin Braithwaite', 'Martin Braithwaite', 'Martin Braithwaite', 'Martin Braithwaite']"
CD Leganés,"['Diego García', 'Dani Raba', 'Yvan Neyou', 'Miguel de la Fuente', 'Diego García', 'Dani Raba']"
